#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT ANGULAR DETECTOR ENERGY SPECTRUM]
# Angular intervals : theta1 =  9.000000E+01,    theta2 =  1.800000E+02
#                        phi1 =  0.000000E+00,    phi2 =  3.600000E+02
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
# Energy spectra of emerging particles (1/(eV*sr*particle)).
#
#             |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  1.01250E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.03750E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  5.06250E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  7.08750E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  9.11250E+02   1.57740E-08   7.042E-10   2.51504E-10   8.892E-11   0.00000E+00   0.000E+00 
  1.11375E+03   3.08486E-07   3.121E-09   1.10112E-08   5.884E-10   0.00000E+00   0.000E+00 
  1.31625E+03   3.08839E-07   3.122E-09   6.75131E-09   4.607E-10   0.00000E+00   0.000E+00 
  1.51875E+03   3.01679E-07   3.085E-09   8.51970E-09   5.175E-10   0.00000E+00   0.000E+00 
  1.72125E+03   2.91988E-07   3.033E-09   1.04217E-08   5.724E-10   0.00000E+00   0.000E+00 
  1.92375E+03   2.87178E-07   3.009E-09   1.35891E-08   6.540E-10   0.00000E+00   0.000E+00 
  2.12625E+03   2.86455E-07   3.005E-09   1.44300E-08   6.735E-10   0.00000E+00   0.000E+00 
  2.32875E+03   2.79319E-07   2.967E-09   1.74167E-08   7.400E-10   0.00000E+00   0.000E+00 
  2.53125E+03   2.74477E-07   2.941E-09   1.97588E-08   7.881E-10   0.00000E+00   0.000E+00 
  2.73375E+03   2.72237E-07   2.928E-09   2.04426E-08   8.017E-10   0.00000E+00   0.000E+00 
  2.93625E+03   2.64056E-07   2.884E-09   2.24389E-08   8.399E-10   0.00000E+00   0.000E+00 
  3.13875E+03   2.60731E-07   2.865E-09   2.41523E-08   8.714E-10   0.00000E+00   0.000E+00 
  3.34125E+03   2.55190E-07   2.835E-09   2.47732E-08   8.825E-10   0.00000E+00   0.000E+00 
  3.54375E+03   2.47700E-07   2.793E-09   2.52369E-08   8.907E-10   0.00000E+00   0.000E+00 
  3.74625E+03   2.42316E-07   2.763E-09   2.64315E-08   9.118E-10   0.00000E+00   0.000E+00 
  3.94875E+03   2.38732E-07   2.742E-09   2.59364E-08   9.030E-10   0.00000E+00   0.000E+00 
  4.15125E+03   2.37066E-07   2.732E-09   2.62429E-08   9.083E-10   0.00000E+00   0.000E+00 
  4.35375E+03   2.35903E-07   2.724E-09   2.64708E-08   9.122E-10   0.00000E+00   0.000E+00 
  4.55625E+03   2.32185E-07   2.704E-09   2.59914E-08   9.039E-10   0.00000E+00   0.000E+00 
  4.75875E+03   2.27729E-07   2.678E-09   2.63215E-08   9.097E-10   0.00000E+00   0.000E+00 
  4.96125E+03   2.28767E-07   2.684E-09   2.52526E-08   8.910E-10   0.00000E+00   0.000E+00 
  5.16375E+03   2.31384E-07   2.699E-09   2.47889E-08   8.828E-10   0.00000E+00   0.000E+00 
  5.36625E+03   2.33184E-07   2.710E-09   2.49303E-08   8.853E-10   0.00000E+00   0.000E+00 
  5.56875E+03   2.35691E-07   2.724E-09   2.42937E-08   8.739E-10   0.00000E+00   0.000E+00 
  5.77125E+03   2.39676E-07   2.746E-09   2.44273E-08   8.763E-10   0.00000E+00   0.000E+00 
  5.97375E+03   2.45099E-07   2.778E-09   2.43252E-08   8.745E-10   0.00000E+00   0.000E+00 
  6.17625E+03   2.50679E-07   2.809E-09   2.35471E-08   8.604E-10   0.00000E+00   0.000E+00 
  6.37875E+03   2.56078E-07   2.839E-09   2.21088E-08   8.337E-10   0.00000E+00   0.000E+00 
  6.58125E+03   2.64818E-07   2.887E-09   2.13700E-08   8.196E-10   0.00000E+00   0.000E+00 
  6.78375E+03   2.71758E-07   2.925E-09   2.13857E-08   8.199E-10   0.00000E+00   0.000E+00 
  6.98625E+03   2.77103E-07   2.954E-09   2.10006E-08   8.125E-10   0.00000E+00   0.000E+00 
  7.18875E+03   2.77771E-07   2.956E-09   2.01911E-08   7.967E-10   0.00000E+00   0.000E+00 
  7.39125E+03   2.85630E-07   2.998E-09   2.02932E-08   7.987E-10   0.00000E+00   0.000E+00 
  7.59375E+03   2.89544E-07   3.018E-09   1.99081E-08   7.911E-10   0.00000E+00   0.000E+00 
  7.79625E+03   2.97215E-07   3.058E-09   1.93815E-08   7.806E-10   0.00000E+00   0.000E+00 
  7.99875E+03   3.04988E-07   3.098E-09   1.93289E-06   7.790E-09   0.00000E+00   0.000E+00 
  8.20125E+03   3.10584E-07   3.126E-09   1.85406E-08   7.635E-10   0.00000E+00   0.000E+00 
  8.40375E+03   3.17610E-07   3.162E-09   1.69844E-08   7.307E-10   0.00000E+00   0.000E+00 
  8.60625E+03   3.22955E-07   3.188E-09   1.72123E-08   7.356E-10   0.00000E+00   0.000E+00 
  8.80875E+03   3.35027E-07   3.246E-09   2.58861E-07   2.853E-09   0.00000E+00   0.000E+00 
  9.01125E+03   3.43790E-07   3.289E-09   1.27560E-08   6.333E-10   0.00000E+00   0.000E+00 
  9.21375E+03   3.53308E-07   3.334E-09   9.98943E-09   5.604E-10   0.00000E+00   0.000E+00 
  9.41625E+03   3.64390E-07   3.386E-09   9.69077E-09   5.520E-10   0.00000E+00   0.000E+00 
  9.61875E+03   3.69420E-07   3.409E-09   9.51786E-09   5.470E-10   0.00000E+00   0.000E+00 
  9.82125E+03   3.80101E-07   3.459E-09   9.37639E-09   5.429E-10   0.00000E+00   0.000E+00 
  1.00238E+04   3.89218E-07   3.498E-09   9.05415E-09   5.335E-10   0.00000E+00   0.000E+00 
  1.02262E+04   3.97329E-07   3.535E-09   9.73007E-09   5.531E-10   0.00000E+00   0.000E+00 
  1.04288E+04   4.08278E-07   3.583E-09   8.89696E-09   5.289E-10   0.00000E+00   0.000E+00 
  1.06312E+04   4.20688E-07   3.637E-09   9.47856E-09   5.459E-10   0.00000E+00   0.000E+00 
  1.08338E+04   4.29192E-07   3.674E-09   9.15632E-09   5.365E-10   0.00000E+00   0.000E+00 
  1.10362E+04   4.38859E-07   3.715E-09   8.88910E-09   5.286E-10   0.00000E+00   0.000E+00 
  1.12388E+04   4.50530E-07   3.764E-09   9.07773E-09   5.342E-10   0.00000E+00   0.000E+00 
  1.14412E+04   4.60614E-07   3.806E-09   8.64545E-09   5.213E-10   0.00000E+00   0.000E+00 
  1.16438E+04   4.71704E-07   3.851E-09   8.54328E-09   5.182E-10   0.00000E+00   0.000E+00 
  1.18462E+04   4.83784E-07   3.900E-09   8.37823E-09   5.132E-10   0.00000E+00   0.000E+00 
  1.20488E+04   4.93019E-07   3.937E-09   8.37037E-09   5.130E-10   0.00000E+00   0.000E+00 
  1.22512E+04   5.05335E-07   3.986E-09   7.92238E-09   4.991E-10   0.00000E+00   0.000E+00 
  1.24538E+04   5.17454E-07   4.034E-09   8.20532E-09   5.079E-10   0.00000E+00   0.000E+00 
  1.26562E+04   5.29927E-07   4.082E-09   8.16602E-09   5.067E-10   0.00000E+00   0.000E+00 
  1.28588E+04   5.45536E-07   4.141E-09   7.92238E-09   4.991E-10   0.00000E+00   0.000E+00 
  1.30612E+04   5.53325E-07   4.171E-09   7.46653E-09   4.845E-10   0.00000E+00   0.000E+00 
  1.32638E+04   5.69720E-07   4.232E-09   7.23860E-09   4.770E-10   0.00000E+00   0.000E+00 
  1.34662E+04   5.81556E-07   4.275E-09   7.79663E-09   4.951E-10   0.00000E+00   0.000E+00 
  1.36688E+04   5.96411E-07   4.329E-09   7.55298E-09   4.873E-10   0.00000E+00   0.000E+00 
  1.38712E+04   6.09174E-07   4.375E-09   7.50583E-09   4.858E-10   0.00000E+00   0.000E+00 
  1.40738E+04   6.22088E-07   4.422E-09   6.64128E-09   4.569E-10   0.00000E+00   0.000E+00 
  1.42762E+04   6.35716E-07   4.469E-09   7.20716E-09   4.760E-10   0.00000E+00   0.000E+00 
  1.44788E+04   6.46334E-07   4.507E-09   6.98710E-09   4.687E-10   0.00000E+00   0.000E+00 
  1.46812E+04   6.62045E-07   4.561E-09   6.84563E-09   4.639E-10   0.00000E+00   0.000E+00 
  1.48838E+04   6.74283E-07   4.603E-09   6.75131E-09   4.607E-10   0.00000E+00   0.000E+00 
  1.50862E+04   6.94419E-07   4.671E-09   6.64128E-09   4.569E-10   0.00000E+00   0.000E+00 
  1.52888E+04   7.10090E-07   4.724E-09   6.47623E-09   4.512E-10   0.00000E+00   0.000E+00 
  1.54912E+04   7.19703E-07   4.756E-09   6.31904E-09   4.457E-10   0.00000E+00   0.000E+00 
  1.56938E+04   7.38055E-07   4.816E-09   6.46051E-09   4.507E-10   0.00000E+00   0.000E+00 
  1.58962E+04   7.55165E-07   4.871E-09   6.00466E-09   4.345E-10   0.00000E+00   0.000E+00 
  1.60988E+04   7.69367E-07   4.917E-09   5.98894E-09   4.339E-10   0.00000E+00   0.000E+00 
  1.63012E+04   7.85400E-07   4.968E-09   5.80817E-09   4.273E-10   0.00000E+00   0.000E+00 
  1.65038E+04   8.03799E-07   5.025E-09   5.94964E-09   4.325E-10   0.00000E+00   0.000E+00 
  1.67062E+04   8.18041E-07   5.069E-09   6.02824E-09   4.353E-10   0.00000E+00   0.000E+00 
  1.69088E+04   8.33893E-07   5.118E-09   5.47021E-09   4.147E-10   0.00000E+00   0.000E+00 
  1.71112E+04   8.51585E-07   5.172E-09   5.80817E-09   4.273E-10   0.00000E+00   0.000E+00 
  1.73138E+04   8.63594E-07   5.208E-09   5.17941E-09   4.035E-10   0.00000E+00   0.000E+00 
  1.75162E+04   8.83707E-07   5.269E-09   5.27373E-09   4.072E-10   0.00000E+00   0.000E+00 
  1.77188E+04   8.97123E-07   5.308E-09   5.28159E-09   4.075E-10   0.00000E+00   0.000E+00 
  1.79212E+04   9.19248E-07   5.373E-09   5.28945E-09   4.078E-10   0.00000E+00   0.000E+00 
  1.81238E+04   9.35328E-07   5.420E-09   4.89647E-09   3.923E-10   0.00000E+00   0.000E+00 
