#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  1.00000E+01  0.00000E+00  0.000E+00  1.17605E-04  7.438E-05  0.00000E+00  0.000E+00
   2.00000E+00  3.00000E+01  1.17605E-05  2.352E-05  9.40837E-05  6.653E-05  0.00000E+00  0.000E+00
   2.00000E+00  5.00000E+01  0.00000E+00  0.000E+00  1.17605E-04  7.438E-05  0.00000E+00  0.000E+00
   2.00000E+00  7.00000E+01  0.00000E+00  0.000E+00  1.29365E-04  7.801E-05  0.00000E+00  0.000E+00
   2.00000E+00  9.00000E+01  0.00000E+00  0.000E+00  1.41126E-04  8.148E-05  0.00000E+00  0.000E+00
   2.00000E+00  1.10000E+02  0.00000E+00  0.000E+00  1.17605E-04  7.438E-05  0.00000E+00  0.000E+00
   2.00000E+00  1.30000E+02  0.00000E+00  0.000E+00  8.23232E-05  6.223E-05  0.00000E+00  0.000E+00
   2.00000E+00  1.50000E+02  0.00000E+00  0.000E+00  5.88023E-05  5.259E-05  0.00000E+00  0.000E+00
   2.00000E+00  1.70000E+02  0.00000E+00  0.000E+00  9.40837E-05  6.653E-05  0.00000E+00  0.000E+00
   2.00000E+00  1.90000E+02  0.00000E+00  0.000E+00  1.41126E-04  8.148E-05  0.00000E+00  0.000E+00
   2.00000E+00  2.10000E+02  1.17605E-05  2.352E-05  7.05628E-05  5.761E-05  0.00000E+00  0.000E+00
   2.00000E+00  2.30000E+02  0.00000E+00  0.000E+00  7.05628E-05  5.761E-05  0.00000E+00  0.000E+00
   2.00000E+00  2.50000E+02  0.00000E+00  0.000E+00  8.23232E-05  6.223E-05  0.00000E+00  0.000E+00
   2.00000E+00  2.70000E+02  0.00000E+00  0.000E+00  3.52814E-05  4.074E-05  0.00000E+00  0.000E+00
   2.00000E+00  2.90000E+02  0.00000E+00  0.000E+00  4.70418E-05  4.704E-05  0.00000E+00  0.000E+00
   2.00000E+00  3.10000E+02  0.00000E+00  0.000E+00  1.05844E-04  7.056E-05  0.00000E+00  0.000E+00
   2.00000E+00  3.30000E+02  0.00000E+00  0.000E+00  8.23232E-05  6.223E-05  0.00000E+00  0.000E+00
   2.00000E+00  3.50000E+02  0.00000E+00  0.000E+00  1.05844E-04  7.056E-05  0.00000E+00  0.000E+00

   6.00000E+00  1.00000E+01  0.00000E+00  0.000E+00  9.81632E-05  3.927E-05  0.00000E+00  0.000E+00
   6.00000E+00  3.00000E+01  0.00000E+00  0.000E+00  8.63837E-05  3.683E-05  0.00000E+00  0.000E+00
   6.00000E+00  5.00000E+01  0.00000E+00  0.000E+00  1.53135E-04  4.904E-05  0.00000E+00  0.000E+00
   6.00000E+00  7.00000E+01  0.00000E+00  0.000E+00  1.33502E-04  4.579E-05  0.00000E+00  0.000E+00
   6.00000E+00  9.00000E+01  0.00000E+00  0.000E+00  1.09943E-04  4.155E-05  0.00000E+00  0.000E+00
   6.00000E+00  1.10000E+02  0.00000E+00  0.000E+00  9.81632E-05  3.927E-05  0.00000E+00  0.000E+00
   6.00000E+00  1.30000E+02  0.00000E+00  0.000E+00  1.02090E-04  4.004E-05  0.00000E+00  0.000E+00
   6.00000E+00  1.50000E+02  3.92653E-06  7.853E-06  8.63837E-05  3.683E-05  0.00000E+00  0.000E+00
   6.00000E+00  1.70000E+02  0.00000E+00  0.000E+00  8.63837E-05  3.683E-05  0.00000E+00  0.000E+00
   6.00000E+00  1.90000E+02  0.00000E+00  0.000E+00  1.06016E-04  4.081E-05  0.00000E+00  0.000E+00
   6.00000E+00  2.10000E+02  0.00000E+00  0.000E+00  9.03102E-05  3.766E-05  0.00000E+00  0.000E+00
   6.00000E+00  2.30000E+02  0.00000E+00  0.000E+00  1.25649E-04  4.442E-05  0.00000E+00  0.000E+00
   6.00000E+00  2.50000E+02  0.00000E+00  0.000E+00  9.03102E-05  3.766E-05  0.00000E+00  0.000E+00
   6.00000E+00  2.70000E+02  0.00000E+00  0.000E+00  5.88979E-05  3.041E-05  0.00000E+00  0.000E+00
   6.00000E+00  2.90000E+02  0.00000E+00  0.000E+00  1.06016E-04  4.081E-05  0.00000E+00  0.000E+00
   6.00000E+00  3.10000E+02  0.00000E+00  0.000E+00  1.45282E-04  4.777E-05  0.00000E+00  0.000E+00
   6.00000E+00  3.30000E+02  0.00000E+00  0.000E+00  8.63837E-05  3.683E-05  0.00000E+00  0.000E+00
   6.00000E+00  3.50000E+02  0.00000E+00  0.000E+00  8.24571E-05  3.599E-05  0.00000E+00  0.000E+00

   1.00000E+01  1.00000E+01  0.00000E+00  0.000E+00  8.27259E-05  2.797E-05  0.00000E+00  0.000E+00
   1.00000E+01  3.00000E+01  0.00000E+00  0.000E+00  9.45438E-05  2.990E-05  0.00000E+00  0.000E+00
   1.00000E+01  5.00000E+01  0.00000E+00  0.000E+00  1.11089E-04  3.241E-05  0.00000E+00  0.000E+00
   1.00000E+01  7.00000E+01  2.36360E-06  4.727E-06  1.08725E-04  3.206E-05  0.00000E+00  0.000E+00
   1.00000E+01  9.00000E+01  0.00000E+00  0.000E+00  8.50895E-05  2.836E-05  0.00000E+00  0.000E+00
   1.00000E+01  1.10000E+02  0.00000E+00  0.000E+00  9.45438E-05  2.990E-05  0.00000E+00  0.000E+00
   1.00000E+01  1.30000E+02  0.00000E+00  0.000E+00  1.22907E-04  3.409E-05  0.00000E+00  0.000E+00
   1.00000E+01  1.50000E+02  0.00000E+00  0.000E+00  9.45438E-05  2.990E-05  0.00000E+00  0.000E+00
   1.00000E+01  1.70000E+02  0.00000E+00  0.000E+00  9.92710E-05  3.064E-05  0.00000E+00  0.000E+00
   1.00000E+01  1.90000E+02  0.00000E+00  0.000E+00  1.13453E-04  3.275E-05  0.00000E+00  0.000E+00
   1.00000E+01  2.10000E+02  0.00000E+00  0.000E+00  9.69074E-05  3.027E-05  0.00000E+00  0.000E+00
   1.00000E+01  2.30000E+02  0.00000E+00  0.000E+00  8.74531E-05  2.875E-05  0.00000E+00  0.000E+00
   1.00000E+01  2.50000E+02  0.00000E+00  0.000E+00  1.34725E-04  3.569E-05  0.00000E+00  0.000E+00
   1.00000E+01  2.70000E+02  0.00000E+00  0.000E+00  1.18180E-04  3.343E-05  0.00000E+00  0.000E+00
   1.00000E+01  2.90000E+02  0.00000E+00  0.000E+00  1.03998E-04  3.136E-05  0.00000E+00  0.000E+00
   1.00000E+01  3.10000E+02  0.00000E+00  0.000E+00  9.69074E-05  3.027E-05  0.00000E+00  0.000E+00
   1.00000E+01  3.30000E+02  0.00000E+00  0.000E+00  9.45438E-05  2.990E-05  0.00000E+00  0.000E+00
   1.00000E+01  3.50000E+02  0.00000E+00  0.000E+00  8.03623E-05  2.756E-05  0.00000E+00  0.000E+00

   1.40000E+01  1.00000E+01  0.00000E+00  0.000E+00  1.10276E-04  2.736E-05  0.00000E+00  0.000E+00
   1.40000E+01  3.00000E+01  1.69656E-06  3.393E-06  9.33106E-05  2.516E-05  0.00000E+00  0.000E+00
   1.40000E+01  5.00000E+01  0.00000E+00  0.000E+00  8.14347E-05  2.351E-05  0.00000E+00  0.000E+00
   1.40000E+01  7.00000E+01  0.00000E+00  0.000E+00  1.08580E-04  2.714E-05  0.00000E+00  0.000E+00
   1.40000E+01  9.00000E+01  0.00000E+00  0.000E+00  9.67037E-05  2.562E-05  0.00000E+00  0.000E+00
   1.40000E+01  1.10000E+02  0.00000E+00  0.000E+00  9.67037E-05  2.562E-05  0.00000E+00  0.000E+00
   1.40000E+01  1.30000E+02  0.00000E+00  0.000E+00  8.48278E-05  2.399E-05  0.00000E+00  0.000E+00
   1.40000E+01  1.50000E+02  0.00000E+00  0.000E+00  1.03490E-04  2.650E-05  0.00000E+00  0.000E+00
   1.40000E+01  1.70000E+02  0.00000E+00  0.000E+00  1.06883E-04  2.693E-05  0.00000E+00  0.000E+00
   1.40000E+01  1.90000E+02  0.00000E+00  0.000E+00  9.16140E-05  2.493E-05  0.00000E+00  0.000E+00
   1.40000E+01  2.10000E+02  1.69656E-06  3.393E-06  1.11973E-04  2.757E-05  0.00000E+00  0.000E+00
   1.40000E+01  2.30000E+02  0.00000E+00  0.000E+00  8.48278E-05  2.399E-05  0.00000E+00  0.000E+00
   1.40000E+01  2.50000E+02  0.00000E+00  0.000E+00  8.99175E-05  2.470E-05  0.00000E+00  0.000E+00
   1.40000E+01  2.70000E+02  0.00000E+00  0.000E+00  1.03490E-04  2.650E-05  0.00000E+00  0.000E+00
   1.40000E+01  2.90000E+02  0.00000E+00  0.000E+00  8.48278E-05  2.399E-05  0.00000E+00  0.000E+00
   1.40000E+01  3.10000E+02  0.00000E+00  0.000E+00  7.80416E-05  2.301E-05  0.00000E+00  0.000E+00
   1.40000E+01  3.30000E+02  0.00000E+00  0.000E+00  9.84003E-05  2.584E-05  0.00000E+00  0.000E+00
   1.40000E+01  3.50000E+02  0.00000E+00  0.000E+00  8.82209E-05  2.447E-05  0.00000E+00  0.000E+00

   1.80000E+01  1.00000E+01  0.00000E+00  0.000E+00  9.56299E-05  2.254E-05  0.00000E+00  0.000E+00
   1.80000E+01  3.00000E+01  0.00000E+00  0.000E+00  7.83634E-05  2.040E-05  0.00000E+00  0.000E+00
   1.80000E+01  5.00000E+01  0.00000E+00  0.000E+00  7.70352E-05  2.023E-05  0.00000E+00  0.000E+00
   1.80000E+01  7.00000E+01  0.00000E+00  0.000E+00  1.08912E-04  2.405E-05  0.00000E+00  0.000E+00
   1.80000E+01  9.00000E+01  0.00000E+00  0.000E+00  9.69581E-05  2.270E-05  0.00000E+00  0.000E+00
   1.80000E+01  1.10000E+02  0.00000E+00  0.000E+00  8.36761E-05  2.108E-05  0.00000E+00  0.000E+00
   1.80000E+01  1.30000E+02  0.00000E+00  0.000E+00  7.03942E-05  1.934E-05  0.00000E+00  0.000E+00
   1.80000E+01  1.50000E+02  0.00000E+00  0.000E+00  1.00943E-04  2.316E-05  0.00000E+00  0.000E+00
   1.80000E+01  1.70000E+02  0.00000E+00  0.000E+00  8.23480E-05  2.092E-05  0.00000E+00  0.000E+00
   1.80000E+01  1.90000E+02  0.00000E+00  0.000E+00  9.82863E-05  2.285E-05  0.00000E+00  0.000E+00
   1.80000E+01  2.10000E+02  0.00000E+00  0.000E+00  9.03171E-05  2.191E-05  0.00000E+00  0.000E+00
   1.80000E+01  2.30000E+02  0.00000E+00  0.000E+00  9.96145E-05  2.300E-05  0.00000E+00  0.000E+00
   1.80000E+01  2.50000E+02  0.00000E+00  0.000E+00  1.11568E-04  2.435E-05  0.00000E+00  0.000E+00
   1.80000E+01  2.70000E+02  0.00000E+00  0.000E+00  1.18209E-04  2.506E-05  0.00000E+00  0.000E+00
   1.80000E+01  2.90000E+02  0.00000E+00  0.000E+00  9.56299E-05  2.254E-05  0.00000E+00  0.000E+00
