#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  4.05000E+04   200
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.01250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.03750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   5.06250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.08750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.11250E+02  9.91111E-08  4.425E-09  1.58025E-09  5.587E-10  0.00000E+00  0.000E+00
   1.11375E+03  1.93827E-06  1.961E-08  6.91852E-08  3.697E-09  0.00000E+00  0.000E+00
   1.31625E+03  1.94049E-06  1.962E-08  4.24198E-08  2.895E-09  0.00000E+00  0.000E+00
   1.51875E+03  1.89551E-06  1.938E-08  5.35309E-08  3.252E-09  0.00000E+00  0.000E+00
   1.72125E+03  1.83462E-06  1.906E-08  6.54815E-08  3.596E-09  0.00000E+00  0.000E+00
   1.92375E+03  1.80440E-06  1.891E-08  8.53827E-08  4.109E-09  0.00000E+00  0.000E+00
   2.12625E+03  1.79985E-06  1.888E-08  9.06667E-08  4.232E-09  0.00000E+00  0.000E+00
   2.32875E+03  1.75501E-06  1.864E-08  1.09432E-07  4.649E-09  0.00000E+00  0.000E+00
   2.53125E+03  1.72459E-06  1.848E-08  1.24148E-07  4.952E-09  0.00000E+00  0.000E+00
   2.73375E+03  1.71052E-06  1.840E-08  1.28444E-07  5.037E-09  0.00000E+00  0.000E+00
   2.93625E+03  1.65911E-06  1.812E-08  1.40988E-07  5.277E-09  0.00000E+00  0.000E+00
   3.13875E+03  1.63822E-06  1.800E-08  1.51753E-07  5.475E-09  0.00000E+00  0.000E+00
   3.34125E+03  1.60341E-06  1.781E-08  1.55654E-07  5.545E-09  0.00000E+00  0.000E+00
   3.54375E+03  1.55635E-06  1.755E-08  1.58568E-07  5.597E-09  0.00000E+00  0.000E+00
   3.74625E+03  1.52252E-06  1.736E-08  1.66074E-07  5.729E-09  0.00000E+00  0.000E+00
   3.94875E+03  1.50000E-06  1.723E-08  1.62963E-07  5.674E-09  0.00000E+00  0.000E+00
   4.15125E+03  1.48953E-06  1.717E-08  1.64889E-07  5.707E-09  0.00000E+00  0.000E+00
   4.35375E+03  1.48222E-06  1.712E-08  1.66321E-07  5.732E-09  0.00000E+00  0.000E+00
   4.55625E+03  1.45886E-06  1.699E-08  1.63309E-07  5.680E-09  0.00000E+00  0.000E+00
   4.75875E+03  1.43086E-06  1.682E-08  1.65383E-07  5.716E-09  0.00000E+00  0.000E+00
   4.96125E+03  1.43738E-06  1.686E-08  1.58667E-07  5.598E-09  0.00000E+00  0.000E+00
   5.16375E+03  1.45383E-06  1.696E-08  1.55753E-07  5.547E-09  0.00000E+00  0.000E+00
   5.36625E+03  1.46514E-06  1.703E-08  1.56642E-07  5.562E-09  0.00000E+00  0.000E+00
   5.56875E+03  1.48089E-06  1.712E-08  1.52642E-07  5.491E-09  0.00000E+00  0.000E+00
   5.77125E+03  1.50593E-06  1.726E-08  1.53481E-07  5.506E-09  0.00000E+00  0.000E+00
   5.97375E+03  1.54000E-06  1.745E-08  1.52840E-07  5.495E-09  0.00000E+00  0.000E+00
   6.17625E+03  1.57506E-06  1.765E-08  1.47951E-07  5.406E-09  0.00000E+00  0.000E+00
   6.37875E+03  1.60899E-06  1.784E-08  1.38914E-07  5.238E-09  0.00000E+00  0.000E+00
   6.58125E+03  1.66390E-06  1.814E-08  1.34272E-07  5.150E-09  0.00000E+00  0.000E+00
   6.78375E+03  1.70751E-06  1.838E-08  1.34370E-07  5.152E-09  0.00000E+00  0.000E+00
   6.98625E+03  1.74109E-06  1.856E-08  1.31951E-07  5.105E-09  0.00000E+00  0.000E+00
   7.18875E+03  1.74528E-06  1.857E-08  1.26864E-07  5.006E-09  0.00000E+00  0.000E+00
   7.39125E+03  1.79467E-06  1.884E-08  1.27506E-07  5.019E-09  0.00000E+00  0.000E+00
   7.59375E+03  1.81926E-06  1.897E-08  1.25086E-07  4.971E-09  0.00000E+00  0.000E+00
   7.79625E+03  1.86746E-06  1.921E-08  1.21778E-07  4.905E-09  0.00000E+00  0.000E+00
   7.99875E+03  1.91630E-06  1.946E-08  1.21447E-05  4.894E-08  0.00000E+00  0.000E+00
   8.20125E+03  1.95146E-06  1.964E-08  1.16494E-07  4.797E-09  0.00000E+00  0.000E+00
   8.40375E+03  1.99560E-06  1.987E-08  1.06716E-07  4.591E-09  0.00000E+00  0.000E+00
   8.60625E+03  2.02919E-06  2.003E-08  1.08148E-07  4.622E-09  0.00000E+00  0.000E+00
   8.80875E+03  2.10504E-06  2.039E-08  1.62647E-06  1.792E-08  0.00000E+00  0.000E+00
   9.01125E+03  2.16010E-06  2.066E-08  8.01481E-08  3.979E-09  0.00000E+00  0.000E+00
   9.21375E+03  2.21990E-06  2.095E-08  6.27654E-08  3.521E-09  0.00000E+00  0.000E+00
   9.41625E+03  2.28953E-06  2.128E-08  6.08889E-08  3.468E-09  0.00000E+00  0.000E+00
   9.61875E+03  2.32114E-06  2.142E-08  5.98025E-08  3.437E-09  0.00000E+00  0.000E+00
   9.82125E+03  2.38825E-06  2.173E-08  5.89136E-08  3.411E-09  0.00000E+00  0.000E+00
   1.00238E+04  2.44553E-06  2.198E-08  5.68889E-08  3.352E-09  0.00000E+00  0.000E+00
   1.02262E+04  2.49649E-06  2.221E-08  6.11358E-08  3.475E-09  0.00000E+00  0.000E+00
   1.04288E+04  2.56528E-06  2.252E-08  5.59012E-08  3.323E-09  0.00000E+00  0.000E+00
   1.06312E+04  2.64326E-06  2.285E-08  5.95556E-08  3.430E-09  0.00000E+00  0.000E+00
   1.08338E+04  2.69669E-06  2.309E-08  5.75309E-08  3.371E-09  0.00000E+00  0.000E+00
   1.10362E+04  2.75743E-06  2.334E-08  5.58519E-08  3.321E-09  0.00000E+00  0.000E+00
   1.12388E+04  2.83077E-06  2.365E-08  5.70370E-08  3.357E-09  0.00000E+00  0.000E+00
   1.14412E+04  2.89412E-06  2.391E-08  5.43210E-08  3.276E-09  0.00000E+00  0.000E+00
   1.16438E+04  2.96380E-06  2.420E-08  5.36790E-08  3.256E-09  0.00000E+00  0.000E+00
   1.18462E+04  3.03970E-06  2.450E-08  5.26420E-08  3.225E-09  0.00000E+00  0.000E+00
   1.20488E+04  3.09773E-06  2.473E-08  5.25926E-08  3.223E-09  0.00000E+00  0.000E+00
   1.22512E+04  3.17511E-06  2.504E-08  4.97778E-08  3.136E-09  0.00000E+00  0.000E+00
   1.24538E+04  3.25126E-06  2.534E-08  5.15556E-08  3.191E-09  0.00000E+00  0.000E+00
   1.26562E+04  3.32963E-06  2.565E-08  5.13086E-08  3.184E-09  0.00000E+00  0.000E+00
   1.28588E+04  3.42770E-06  2.602E-08  4.97778E-08  3.136E-09  0.00000E+00  0.000E+00
   1.30612E+04  3.47664E-06  2.621E-08  4.69136E-08  3.044E-09  0.00000E+00  0.000E+00
   1.32638E+04  3.57965E-06  2.659E-08  4.54815E-08  2.997E-09  0.00000E+00  0.000E+00
   1.34662E+04  3.65402E-06  2.686E-08  4.89877E-08  3.111E-09  0.00000E+00  0.000E+00
   1.36688E+04  3.74736E-06  2.720E-08  4.74568E-08  3.062E-09  0.00000E+00  0.000E+00
   1.38712E+04  3.82756E-06  2.749E-08  4.71605E-08  3.052E-09  0.00000E+00  0.000E+00
   1.40738E+04  3.90869E-06  2.778E-08  4.17284E-08  2.871E-09  0.00000E+00  0.000E+00
   1.42762E+04  3.99432E-06  2.808E-08  4.52840E-08  2.991E-09  0.00000E+00  0.000E+00
   1.44788E+04  4.06104E-06  2.832E-08  4.39012E-08  2.945E-09  0.00000E+00  0.000E+00
   1.46812E+04  4.15975E-06  2.866E-08  4.30123E-08  2.915E-09  0.00000E+00  0.000E+00
   1.48838E+04  4.23664E-06  2.892E-08  4.24198E-08  2.895E-09  0.00000E+00  0.000E+00
   1.50862E+04  4.36316E-06  2.935E-08  4.17284E-08  2.871E-09  0.00000E+00  0.000E+00
   1.52888E+04  4.46163E-06  2.968E-08  4.06914E-08  2.835E-09  0.00000E+00  0.000E+00
   1.54912E+04  4.52202E-06  2.988E-08  3.97037E-08  2.800E-09  0.00000E+00  0.000E+00
   1.56938E+04  4.63733E-06  3.026E-08  4.05926E-08  2.832E-09  0.00000E+00  0.000E+00
   1.58962E+04  4.74484E-06  3.061E-08  3.77284E-08  2.730E-09  0.00000E+00  0.000E+00
   1.60988E+04  4.83407E-06  3.089E-08  3.76296E-08  2.726E-09  0.00000E+00  0.000E+00
   1.63012E+04  4.93481E-06  3.121E-08  3.64938E-08  2.685E-09  0.00000E+00  0.000E+00
   1.65038E+04  5.05042E-06  3.157E-08  3.73827E-08  2.717E-09  0.00000E+00  0.000E+00
   1.67062E+04  5.13990E-06  3.185E-08  3.78765E-08  2.735E-09  0.00000E+00  0.000E+00
   1.69088E+04  5.23951E-06  3.216E-08  3.43704E-08  2.606E-09  0.00000E+00  0.000E+00
   1.71112E+04  5.35067E-06  3.250E-08  3.64938E-08  2.685E-09  0.00000E+00  0.000E+00
   1.73138E+04  5.42612E-06  3.273E-08  3.25432E-08  2.535E-09  0.00000E+00  0.000E+00
   1.75162E+04  5.55249E-06  3.310E-08  3.31358E-08  2.558E-09  0.00000E+00  0.000E+00
   1.77188E+04  5.63679E-06  3.335E-08  3.31852E-08  2.560E-09  0.00000E+00  0.000E+00
   1.79212E+04  5.77580E-06  3.376E-08  3.32346E-08  2.562E-09  0.00000E+00  0.000E+00
   1.81238E+04  5.87684E-06  3.405E-08  3.07654E-08  2.465E-09  0.00000E+00  0.000E+00
   1.83262E+04  5.97926E-06  3.435E-08  3.09136E-08  2.471E-09  0.00000E+00  0.000E+00
   1.85288E+04  6.12617E-06  3.477E-08  2.86914E-08  2.381E-09  0.00000E+00  0.000E+00
   1.87312E+04  6.18919E-06  3.494E-08  2.96296E-08  2.419E-09  0.00000E+00  0.000E+00
   1.89338E+04  6.35556E-06  3.541E-08  2.75556E-08  2.333E-09  0.00000E+00  0.000E+00
