#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  1.30672E-06  1.848E-06  9.40837E-05  1.568E-05  0.00000E+00  0.000E+00
   6.00000E+00  2.18141E-07  4.363E-07  1.02526E-04  9.458E-06  0.00000E+00  0.000E+00
   1.00000E+01  1.31311E-07  2.626E-07  1.01109E-04  7.287E-06  0.00000E+00  0.000E+00
   1.40000E+01  1.88506E-07  2.666E-07  9.51957E-05  5.991E-06  0.00000E+00  0.000E+00
   1.80000E+01  0.00000E+00  0.000E+00  9.57775E-05  5.317E-06  0.00000E+00  0.000E+00
   2.20000E+01  3.65213E-07  2.982E-07  9.36164E-05  4.774E-06  0.00000E+00  0.000E+00
   2.60000E+01  5.20150E-08  1.040E-07  8.37442E-05  4.174E-06  0.00000E+00  0.000E+00
   3.00000E+01  1.82415E-07  1.824E-07  7.82105E-05  3.777E-06  0.00000E+00  0.000E+00
   3.40000E+01  1.63106E-07  1.631E-07  6.99724E-05  3.378E-06  0.00000E+00  0.000E+00
   3.80000E+01  2.22219E-07  1.814E-07  6.52952E-05  3.110E-06  0.00000E+00  0.000E+00
   4.20000E+01  3.40769E-07  2.155E-07  5.84078E-05  2.822E-06  0.00000E+00  0.000E+00
   4.60000E+01  1.26793E-07  1.268E-07  4.87521E-05  2.486E-06  0.00000E+00  0.000E+00
   5.00000E+01  8.92973E-08  1.031E-07  4.03028E-05  2.191E-06  0.00000E+00  0.000E+00
   5.40000E+01  1.40923E-07  1.260E-07  3.59073E-05  2.012E-06  0.00000E+00  0.000E+00
   5.80000E+01  2.68875E-08  5.378E-08  2.70757E-05  1.706E-06  0.00000E+00  0.000E+00
   6.20000E+01  2.84072E-07  1.713E-07  2.03757E-05  1.451E-06  0.00000E+00  0.000E+00
   6.60000E+01  2.74558E-07  1.656E-07  1.83704E-05  1.354E-06  0.00000E+00  0.000E+00
   7.00000E+01  4.85305E-08  6.863E-08  1.80776E-05  1.325E-06  0.00000E+00  0.000E+00
   7.40000E+01  0.00000E+00  0.000E+00  1.94273E-05  1.358E-06  0.00000E+00  0.000E+00
   7.80000E+01  1.16557E-07  1.043E-07  1.88122E-05  1.324E-06  0.00000E+00  0.000E+00
   8.20000E+01  4.60520E-08  6.513E-08  1.90885E-05  1.326E-06  0.00000E+00  0.000E+00
   8.60000E+01  2.28576E-08  4.572E-08  1.95432E-05  1.337E-06  0.00000E+00  0.000E+00
   9.00000E+01  2.81125E-04  5.063E-06  8.54387E-05  2.791E-06  0.00000E+00  0.000E+00
   9.40000E+01  3.11876E-03  1.687E-05  4.20122E-04  6.197E-06  0.00000E+00  0.000E+00
   9.80000E+01  7.95308E-03  2.702E-05  5.66762E-04  7.224E-06  0.00000E+00  0.000E+00
   1.02000E+02  1.39576E-02  3.597E-05  6.50479E-04  7.787E-06  0.00000E+00  0.000E+00
   1.06000E+02  2.08107E-02  4.424E-05  6.90631E-04  8.094E-06  0.00000E+00  0.000E+00
   1.10000E+02  2.81170E-02  5.194E-05  7.21358E-04  8.366E-06  0.00000E+00  0.000E+00
   1.14000E+02  3.57754E-02  5.934E-05  7.45324E-04  8.625E-06  0.00000E+00  0.000E+00
   1.18000E+02  4.35105E-02  6.648E-05  7.64645E-04  8.886E-06  0.00000E+00  0.000E+00
   1.22000E+02  5.13155E-02  7.358E-05  7.72451E-04  9.113E-06  0.00000E+00  0.000E+00
   1.26000E+02  5.88707E-02  8.062E-05  7.87847E-04  9.423E-06  0.00000E+00  0.000E+00
   1.30000E+02  6.60158E-02  8.767E-05  7.95966E-04  9.734E-06  0.00000E+00  0.000E+00
   1.34000E+02  7.28537E-02  9.501E-05  7.95566E-04  1.004E-05  0.00000E+00  0.000E+00
   1.38000E+02  7.91666E-02  1.027E-04  8.09224E-04  1.050E-05  0.00000E+00  0.000E+00
   1.42000E+02  8.48289E-02  1.108E-04  8.18949E-04  1.101E-05  0.00000E+00  0.000E+00
   1.46000E+02  9.00505E-02  1.199E-04  8.23399E-04  1.159E-05  0.00000E+00  0.000E+00
   1.50000E+02  9.46519E-02  1.300E-04  8.26751E-04  1.228E-05  0.00000E+00  0.000E+00
   1.54000E+02  9.87842E-02  1.420E-04  8.30420E-04  1.314E-05  0.00000E+00  0.000E+00
   1.58000E+02  1.01808E-01  1.561E-04  8.37921E-04  1.428E-05  0.00000E+00  0.000E+00
   1.62000E+02  1.04714E-01  1.746E-04  8.20749E-04  1.556E-05  0.00000E+00  0.000E+00
   1.66000E+02  1.06941E-01  1.997E-04  8.14347E-04  1.752E-05  0.00000E+00  0.000E+00
   1.70000E+02  1.08566E-01  2.378E-04  8.32774E-04  2.091E-05  0.00000E+00  0.000E+00
   1.74000E+02  1.09792E-01  3.087E-04  8.68199E-04  2.752E-05  0.00000E+00  0.000E+00
   1.78000E+02  1.10667E-01  5.373E-04  8.37606E-04  4.679E-05  0.00000E+00  0.000E+00
