#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.01250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.03750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   5.06250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.08750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.11250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.11375E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.31625E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.51875E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.72125E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.92375E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.12625E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.32875E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.53125E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.73375E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.93625E+03  1.48148E-10  1.711E-10  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.13875E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.34125E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.54375E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.74625E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.94875E+03  9.87654E-11  1.397E-10  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.15125E+03  9.87654E-11  1.397E-10  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.35375E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.55625E+03  9.87654E-11  1.397E-10  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.75875E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.96125E+03  9.87654E-11  1.397E-10  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00
   5.16375E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   5.36625E+03  9.87654E-11  1.397E-10  9.87654E-11  1.397E-10  0.00000E+00  0.000E+00
   5.56875E+03  0.00000E+00  0.000E+00  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00
   5.77125E+03  4.93827E-11  9.877E-11  2.46914E-10  2.208E-10  0.00000E+00  0.000E+00
   5.97375E+03  9.87654E-11  1.397E-10  9.87654E-11  1.397E-10  0.00000E+00  0.000E+00
   6.17625E+03  1.48148E-10  1.711E-10  4.93827E-10  3.123E-10  0.00000E+00  0.000E+00
   6.37875E+03  9.87654E-11  1.397E-10  4.93827E-10  3.123E-10  0.00000E+00  0.000E+00
   6.58125E+03  9.87654E-11  1.397E-10  7.40741E-10  3.825E-10  0.00000E+00  0.000E+00
   6.78375E+03  9.87654E-11  1.397E-10  1.33333E-09  5.132E-10  0.00000E+00  0.000E+00
   6.98625E+03  2.96296E-10  2.419E-10  1.67901E-09  5.759E-10  0.00000E+00  0.000E+00
   7.18875E+03  1.48148E-10  1.711E-10  2.02469E-09  6.324E-10  0.00000E+00  0.000E+00
   7.39125E+03  9.87654E-11  1.397E-10  3.40741E-09  8.204E-10  0.00000E+00  0.000E+00
   7.59375E+03  4.93827E-11  9.877E-11  3.85185E-09  8.723E-10  0.00000E+00  0.000E+00
   7.79625E+03  9.87654E-11  1.397E-10  5.18519E-09  1.012E-09  0.00000E+00  0.000E+00
   7.99875E+03  4.93827E-11  9.877E-11  5.34963E-07  1.028E-08  0.00000E+00  0.000E+00
   8.20125E+03  9.87654E-11  1.397E-10  7.06173E-09  1.181E-09  0.00000E+00  0.000E+00
   8.40375E+03  0.00000E+00  0.000E+00  8.39506E-09  1.288E-09  0.00000E+00  0.000E+00
   8.60625E+03  0.00000E+00  0.000E+00  8.98765E-09  1.332E-09  0.00000E+00  0.000E+00
   8.80875E+03  9.87654E-11  1.397E-10  1.46963E-07  5.388E-09  0.00000E+00  0.000E+00
   9.01125E+03  0.00000E+00  0.000E+00  3.80247E-09  8.667E-10  0.00000E+00  0.000E+00
   9.21375E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.41625E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.61875E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.82125E+03  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.00238E+04  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.02262E+04  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.04288E+04  4.93827E-11  9.877E-11  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00
   1.06312E+04  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.08338E+04  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.10362E+04  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.12388E+04  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.14412E+04  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.16438E+04  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.18462E+04  0.00000E+00  0.000E+00  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00
   1.20488E+04  4.93827E-11  9.877E-11  1.48148E-10  1.711E-10  0.00000E+00  0.000E+00
   1.22512E+04  4.93827E-11  9.877E-11  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00
   1.24538E+04  0.00000E+00  0.000E+00  9.87654E-11  1.397E-10  0.00000E+00  0.000E+00
   1.26562E+04  0.00000E+00  0.000E+00  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00
   1.28588E+04  4.93827E-11  9.877E-11  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.30612E+04  0.00000E+00  0.000E+00  1.97531E-10  1.975E-10  0.00000E+00  0.000E+00
   1.32638E+04  0.00000E+00  0.000E+00  9.87654E-11  1.397E-10  0.00000E+00  0.000E+00
   1.34662E+04  4.93827E-11  9.877E-11  1.97531E-10  1.975E-10  0.00000E+00  0.000E+00
   1.36688E+04  4.93827E-11  9.877E-11  2.96296E-10  2.419E-10  0.00000E+00  0.000E+00
   1.38712E+04  0.00000E+00  0.000E+00  1.97531E-10  1.975E-10  0.00000E+00  0.000E+00
   1.40738E+04  0.00000E+00  0.000E+00  2.46914E-10  2.208E-10  0.00000E+00  0.000E+00
   1.42762E+04  4.93827E-11  9.877E-11  4.93827E-10  3.123E-10  0.00000E+00  0.000E+00
   1.44788E+04  0.00000E+00  0.000E+00  3.95062E-10  2.794E-10  0.00000E+00  0.000E+00
   1.46812E+04  0.00000E+00  0.000E+00  5.43210E-10  3.276E-10  0.00000E+00  0.000E+00
   1.48838E+04  4.93827E-11  9.877E-11  4.44444E-10  2.963E-10  0.00000E+00  0.000E+00
   1.50862E+04  9.87654E-11  1.397E-10  3.45679E-10  2.613E-10  0.00000E+00  0.000E+00
   1.52888E+04  0.00000E+00  0.000E+00  4.93827E-10  3.123E-10  0.00000E+00  0.000E+00
   1.54912E+04  4.93827E-11  9.877E-11  6.41975E-10  3.561E-10  0.00000E+00  0.000E+00
   1.56938E+04  0.00000E+00  0.000E+00  6.41975E-10  3.561E-10  0.00000E+00  0.000E+00
   1.58962E+04  4.93827E-11  9.877E-11  5.92593E-10  3.421E-10  0.00000E+00  0.000E+00
   1.60988E+04  0.00000E+00  0.000E+00  1.18519E-09  4.838E-10  0.00000E+00  0.000E+00
   1.63012E+04  0.00000E+00  0.000E+00  8.39506E-10  4.072E-10  0.00000E+00  0.000E+00
   1.65038E+04  4.93827E-11  9.877E-11  9.38272E-10  4.305E-10  0.00000E+00  0.000E+00
   1.67062E+04  9.87654E-11  1.397E-10  1.58025E-09  5.587E-10  0.00000E+00  0.000E+00
   1.69088E+04  0.00000E+00  0.000E+00  1.18519E-09  4.838E-10  0.00000E+00  0.000E+00
   1.71112E+04  0.00000E+00  0.000E+00  2.07407E-09  6.401E-10  0.00000E+00  0.000E+00
   1.73138E+04  0.00000E+00  0.000E+00  1.82716E-09  6.008E-10  0.00000E+00  0.000E+00
   1.75162E+04  0.00000E+00  0.000E+00  1.62963E-09  5.674E-10  0.00000E+00  0.000E+00
   1.77188E+04  0.00000E+00  0.000E+00  2.12346E-09  6.476E-10  0.00000E+00  0.000E+00
   1.79212E+04  0.00000E+00  0.000E+00  1.87654E-09  6.088E-10  0.00000E+00  0.000E+00
   1.81238E+04  4.93827E-11  9.877E-11  2.37037E-09  6.843E-10  0.00000E+00  0.000E+00
   1.83262E+04  0.00000E+00  0.000E+00  2.02469E-09  6.324E-10  0.00000E+00  0.000E+00
   1.85288E+04  0.00000E+00  0.000E+00  2.81481E-09  7.457E-10  0.00000E+00  0.000E+00
   1.87312E+04  0.00000E+00  0.000E+00  2.86420E-09  7.522E-10  0.00000E+00  0.000E+00
   1.89338E+04  0.00000E+00  0.000E+00  3.01235E-09  7.714E-10  0.00000E+00  0.000E+00
