#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT ANGULAR DETECTOR ENERGY SPECTRUM]
# Angular intervals : theta1 =  9.000000E+01,    theta2 =  1.800000E+02
#                        phi1 =  0.000000E+00,    phi2 =  3.600000E+02
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
# Energy spectra of emerging particles (1/(eV*sr*particle)).
#
#             |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  1.01250E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.03750E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  5.06250E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  7.08750E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  9.11250E+02   1.66367E-08   2.470E-09   2.93356E-10   6.879E-12   0.00000E+00   0.000E+00 
  1.11375E+03   3.10382E-07   1.069E-08   1.09993E-08   8.838E-11   0.00000E+00   0.000E+00 
  1.31625E+03   3.07261E-07   1.059E-08   6.62615E-09   3.264E-11   0.00000E+00   0.000E+00 
  1.51875E+03   3.00065E-07   1.044E-08   8.49499E-09   3.645E-11   0.00000E+00   0.000E+00 
  1.72125E+03   2.91350E-07   1.026E-08   1.06316E-08   4.078E-11   0.00000E+00   0.000E+00 
  1.92375E+03   2.85990E-07   1.014E-08   1.28496E-08   4.425E-11   0.00000E+00   0.000E+00 
  2.12625E+03   2.87388E-07   1.015E-08   1.51371E-08   4.775E-11   0.00000E+00   0.000E+00 
  2.32875E+03   2.71693E-07   9.849E-09   1.72730E-08   5.092E-11   0.00000E+00   0.000E+00 
  2.53125E+03   2.70565E-07   9.818E-09   1.92321E-08   5.351E-11   0.00000E+00   0.000E+00 
  2.73375E+03   2.70190E-07   9.818E-09   2.09981E-08   5.607E-11   0.00000E+00   0.000E+00 
  2.93625E+03   2.61470E-07   9.638E-09   2.25196E-08   5.791E-11   0.00000E+00   0.000E+00 
  3.13875E+03   2.62066E-07   9.669E-09   2.37152E-08   5.916E-11   0.00000E+00   0.000E+00 
  3.34125E+03   2.50116E-07   9.437E-09   2.46660E-08   6.049E-11   0.00000E+00   0.000E+00 
  3.54375E+03   2.50202E-07   9.457E-09   2.53615E-08   6.141E-11   0.00000E+00   0.000E+00 
  3.74625E+03   2.49982E-07   9.459E-09   2.58617E-08   6.216E-11   0.00000E+00   0.000E+00 
  3.94875E+03   2.41322E-07   9.301E-09   2.61917E-08   6.269E-11   0.00000E+00   0.000E+00 
  4.15125E+03   2.34378E-07   9.161E-09   2.62967E-08   6.270E-11   0.00000E+00   0.000E+00 
  4.35375E+03   2.35798E-07   9.215E-09   2.63535E-08   6.287E-11   0.00000E+00   0.000E+00 
  4.55625E+03   2.29703E-07   9.099E-09   2.61796E-08   6.280E-11   0.00000E+00   0.000E+00 
  4.75875E+03   2.30989E-07   9.139E-09   2.59457E-08   6.259E-11   0.00000E+00   0.000E+00 
  4.96125E+03   2.26758E-07   9.063E-09   2.57064E-08   6.251E-11   0.00000E+00   0.000E+00 
  5.16375E+03   2.28707E-07   9.122E-09   2.52922E-08   6.196E-11   0.00000E+00   0.000E+00 
  5.36625E+03   2.42983E-07   9.430E-09   2.49248E-08   6.153E-11   0.00000E+00   0.000E+00 
  5.56875E+03   2.38957E-07   9.356E-09   2.45292E-08   6.124E-11   0.00000E+00   0.000E+00 
  5.77125E+03   2.42677E-07   9.438E-09   2.40522E-08   6.061E-11   0.00000E+00   0.000E+00 
  5.97375E+03   2.46876E-07   9.529E-09   2.35979E-08   6.029E-11   0.00000E+00   0.000E+00 
  6.17625E+03   2.46193E-07   9.511E-09   2.30991E-08   5.960E-11   0.00000E+00   0.000E+00 
  6.37875E+03   2.61222E-07   9.828E-09   2.26014E-08   5.899E-11   0.00000E+00   0.000E+00 
  6.58125E+03   2.60183E-07   9.785E-09   2.21381E-08   5.844E-11   0.00000E+00   0.000E+00 
  6.78375E+03   2.66543E-07   9.901E-09   2.15682E-08   5.775E-11   0.00000E+00   0.000E+00 
  6.98625E+03   2.77326E-07   1.011E-08   2.10298E-08   5.718E-11   0.00000E+00   0.000E+00 
  7.18875E+03   2.70900E-07   1.013E-08   2.05412E-08   5.642E-11   0.00000E+00   0.000E+00 
  7.39125E+03   2.77572E-07   1.025E-08   2.00772E-08   5.607E-11   0.00000E+00   0.000E+00 
  7.59375E+03   2.99428E-07   1.067E-08   1.97064E-08   5.651E-11   0.00000E+00   0.000E+00 
  7.79625E+03   2.93263E-07   1.056E-08   1.95403E-08   5.849E-11   0.00000E+00   0.000E+00 
  7.99875E+03   3.03563E-07   1.077E-08   1.93438E-06   1.682E-09   0.00000E+00   0.000E+00 
  8.20125E+03   3.07185E-07   1.087E-08   1.81189E-08   5.307E-11   0.00000E+00   0.000E+00 
  8.40375E+03   3.21471E-07   1.113E-08   1.76893E-08   5.270E-11   0.00000E+00   0.000E+00 
  8.60625E+03   3.31442E-07   1.131E-08   1.72800E-08   5.246E-11   0.00000E+00   0.000E+00 
  8.80875E+03   3.36226E-07   1.139E-08   2.56535E-07   5.755E-10   0.00000E+00   0.000E+00 
  9.01125E+03   3.41281E-07   1.149E-08   1.26256E-08   4.657E-11   0.00000E+00   0.000E+00 
  9.21375E+03   3.64766E-07   1.188E-08   9.86844E-09   3.746E-11   0.00000E+00   0.000E+00 
  9.41625E+03   3.72715E-07   1.201E-08   9.76936E-09   3.729E-11   0.00000E+00   0.000E+00 
  9.61875E+03   3.63306E-07   1.186E-08   9.67777E-09   3.715E-11   0.00000E+00   0.000E+00 
  9.82125E+03   3.82372E-07   1.218E-08   9.60399E-09   3.713E-11   0.00000E+00   0.000E+00 
  1.00238E+04   3.94771E-07   1.237E-08   9.49303E-09   3.693E-11   0.00000E+00   0.000E+00 
  1.02262E+04   3.83473E-07   1.220E-08   9.38678E-09   3.671E-11   0.00000E+00   0.000E+00 
  1.04288E+04   4.13472E-07   1.267E-08   9.29256E-09   3.671E-11   0.00000E+00   0.000E+00 
  1.06312E+04   4.27139E-07   1.289E-08   9.16671E-09   3.638E-11   0.00000E+00   0.000E+00 
  1.08338E+04   4.27772E-07   1.290E-08   9.03796E-09   3.627E-11   0.00000E+00   0.000E+00 
  1.10362E+04   4.37723E-07   1.305E-08   8.93034E-09   3.603E-11   0.00000E+00   0.000E+00 
  1.12388E+04   4.55175E-07   1.331E-08   8.82644E-09   3.582E-11   0.00000E+00   0.000E+00 
  1.14412E+04   4.63819E-07   1.345E-08   8.67620E-09   3.556E-11   0.00000E+00   0.000E+00 
  1.16438E+04   4.80100E-07   1.368E-08   8.58665E-09   3.547E-11   0.00000E+00   0.000E+00 
  1.18462E+04   4.86606E-07   1.378E-08   8.47001E-09   3.526E-11   0.00000E+00   0.000E+00 
  1.20488E+04   4.98418E-07   1.395E-08   8.34392E-09   3.505E-11   0.00000E+00   0.000E+00 
  1.22512E+04   5.11675E-07   1.414E-08   8.21758E-09   3.479E-11   0.00000E+00   0.000E+00 
  1.24538E+04   5.32114E-07   1.442E-08   8.06201E-09   3.444E-11   0.00000E+00   0.000E+00 
  1.26562E+04   5.31237E-07   1.441E-08   7.98263E-09   3.433E-11   0.00000E+00   0.000E+00 
  1.28588E+04   5.45869E-07   1.461E-08   7.84624E-09   3.407E-11   0.00000E+00   0.000E+00 
  1.30612E+04   5.57566E-07   1.477E-08   7.73196E-09   3.383E-11   0.00000E+00   0.000E+00 
  1.32638E+04   5.81239E-07   1.508E-08   7.60387E-09   3.364E-11   0.00000E+00   0.000E+00 
  1.34662E+04   5.75780E-07   1.501E-08   7.49205E-09   3.338E-11   0.00000E+00   0.000E+00 
  1.36688E+04   5.95525E-07   1.527E-08   7.35168E-09   3.312E-11   0.00000E+00   0.000E+00 
  1.38712E+04   6.13736E-07   1.551E-08   7.23897E-09   3.286E-11   0.00000E+00   0.000E+00 
  1.40738E+04   6.22718E-07   1.562E-08   7.12066E-09   3.262E-11   0.00000E+00   0.000E+00 
  1.42762E+04   6.35778E-07   1.578E-08   6.99398E-09   3.231E-11   0.00000E+00   0.000E+00 
  1.44788E+04   6.44831E-07   1.590E-08   6.87441E-09   3.208E-11   0.00000E+00   0.000E+00 
  1.46812E+04   6.80377E-07   1.633E-08   6.74665E-09   3.184E-11   0.00000E+00   0.000E+00 
  1.48838E+04   6.84576E-07   1.638E-08   6.63782E-09   3.155E-11   0.00000E+00   0.000E+00 
  1.50862E+04   6.81220E-07   1.634E-08   6.50074E-09   3.128E-11   0.00000E+00   0.000E+00 
  1.52888E+04   7.04890E-07   1.662E-08   6.41760E-09   3.109E-11   0.00000E+00   0.000E+00 
  1.54912E+04   7.22753E-07   1.684E-08   6.32179E-09   3.087E-11   0.00000E+00   0.000E+00 
  1.56938E+04   7.36648E-07   1.700E-08   6.19980E-09   3.057E-11   0.00000E+00   0.000E+00 
  1.58962E+04   7.50928E-07   1.716E-08   6.11219E-09   3.041E-11   0.00000E+00   0.000E+00 
  1.60988E+04   7.55571E-07   1.722E-08   5.98585E-09   3.008E-11   0.00000E+00   0.000E+00 
  1.63012E+04   7.98026E-07   1.769E-08   5.89202E-09   2.994E-11   0.00000E+00   0.000E+00 
  1.65038E+04   7.91580E-07   1.762E-08   5.79570E-09   2.966E-11   0.00000E+00   0.000E+00 
  1.67062E+04   8.15668E-07   1.789E-08   5.67380E-09   2.934E-11   0.00000E+00   0.000E+00 
  1.69088E+04   8.37282E-07   1.812E-08   5.57853E-09   2.908E-11   0.00000E+00   0.000E+00 
  1.71112E+04   8.48275E-07   1.825E-08   5.47965E-09   2.886E-11   0.00000E+00   0.000E+00 
  1.73138E+04   8.72780E-07   1.851E-08   5.36784E-09   2.857E-11   0.00000E+00   0.000E+00 
  1.75162E+04   8.84899E-07   1.864E-08   5.27601E-09   2.835E-11   0.00000E+00   0.000E+00 
  1.77188E+04   9.04383E-07   1.884E-08   5.17789E-09   2.807E-11   0.00000E+00   0.000E+00 
  1.79212E+04   9.24670E-07   1.905E-08   5.09898E-09   2.790E-11   0.00000E+00   0.000E+00 
  1.81238E+04   9.35237E-07   1.916E-08   5.00454E-09   2.762E-11   0.00000E+00   0.000E+00 
