#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  1.00000E+01  1.83757E-07  1.644E-07  9.87511E-05  9.432E-06  0.00000E+00  0.000E+00
   2.00000E+00  3.00000E+01  1.10254E-07  1.273E-07  9.67298E-05  9.388E-06  0.00000E+00  0.000E+00
   2.00000E+00  5.00000E+01  1.10254E-07  1.273E-07  1.01728E-04  9.708E-06  0.00000E+00  0.000E+00
   2.00000E+00  7.00000E+01  4.77769E-07  7.460E-07  9.87144E-05  9.557E-06  0.00000E+00  0.000E+00
   2.00000E+00  9.00000E+01  5.14520E-07  7.496E-07  9.06658E-05  8.805E-06  0.00000E+00  0.000E+00
   2.00000E+00  1.10000E+02  2.20509E-07  1.800E-07  1.07020E-04  1.014E-05  0.00000E+00  0.000E+00
   2.00000E+00  1.30000E+02  1.10254E-07  1.273E-07  9.38264E-05  9.235E-06  0.00000E+00  0.000E+00
   2.00000E+00  1.50000E+02  6.61526E-07  7.639E-07  1.04043E-04  9.624E-06  0.00000E+00  0.000E+00
   2.00000E+00  1.70000E+02  1.47006E-07  1.470E-07  1.05587E-04  9.914E-06  0.00000E+00  0.000E+00
   2.00000E+00  1.90000E+02  1.10254E-07  1.273E-07  9.74648E-05  9.316E-06  0.00000E+00  0.000E+00
   2.00000E+00  2.10000E+02  1.47006E-07  1.470E-07  1.01250E-04  9.677E-06  0.00000E+00  0.000E+00
   2.00000E+00  2.30000E+02  4.77769E-07  7.460E-07  1.07424E-04  1.019E-05  0.00000E+00  0.000E+00
   2.00000E+00  2.50000E+02  4.04266E-07  7.387E-07  1.00405E-04  9.545E-06  0.00000E+00  0.000E+00
   2.00000E+00  2.70000E+02  1.10254E-07  1.273E-07  1.05918E-04  1.013E-05  0.00000E+00  0.000E+00
   2.00000E+00  2.90000E+02  7.35029E-08  1.039E-07  1.06579E-04  1.004E-05  0.00000E+00  0.000E+00
   2.00000E+00  3.10000E+02  2.20509E-07  1.800E-07  9.88614E-05  9.379E-06  0.00000E+00  0.000E+00
   2.00000E+00  3.30000E+02  1.10254E-07  1.273E-07  1.04301E-04  9.851E-06  0.00000E+00  0.000E+00
   2.00000E+00  3.50000E+02  2.20509E-07  1.800E-07  9.34222E-05  8.992E-06  0.00000E+00  0.000E+00

   6.00000E+00  1.00000E+01  2.82219E-07  2.609E-07  1.04360E-04  5.711E-06  0.00000E+00  0.000E+00
   6.00000E+00  3.00000E+01  2.82219E-07  2.609E-07  1.02409E-04  5.676E-06  0.00000E+00  0.000E+00
   6.00000E+00  5.00000E+01  1.22704E-07  7.760E-08  9.91449E-05  5.500E-06  0.00000E+00  0.000E+00
   6.00000E+00  7.00000E+01  3.19031E-07  2.643E-07  9.78442E-05  5.510E-06  0.00000E+00  0.000E+00
   6.00000E+00  9.00000E+01  2.20867E-07  2.550E-07  1.02409E-04  5.630E-06  0.00000E+00  0.000E+00
   6.00000E+00  1.10000E+02  1.47245E-07  8.501E-08  1.01464E-04  5.578E-06  0.00000E+00  0.000E+00
   6.00000E+00  1.30000E+02  2.82219E-07  2.609E-07  1.01231E-04  5.533E-06  0.00000E+00  0.000E+00
   6.00000E+00  1.50000E+02  2.57679E-07  2.586E-07  1.04937E-04  5.670E-06  0.00000E+00  0.000E+00
   6.00000E+00  1.70000E+02  1.84056E-07  9.505E-08  9.45312E-05  5.314E-06  0.00000E+00  0.000E+00
