#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  4.05000E+04   200
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.01250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.03750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   5.06250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.08750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.11250E+02  1.04531E-07  1.552E-08  1.84321E-09  4.322E-11  0.00000E+00  0.000E+00
   1.11375E+03  1.95018E-06  6.715E-08  6.91103E-08  5.553E-10  0.00000E+00  0.000E+00
   1.31625E+03  1.93058E-06  6.652E-08  4.16333E-08  2.051E-10  0.00000E+00  0.000E+00
   1.51875E+03  1.88536E-06  6.559E-08  5.33756E-08  2.290E-10  0.00000E+00  0.000E+00
   1.72125E+03  1.83061E-06  6.448E-08  6.68006E-08  2.562E-10  0.00000E+00  0.000E+00
   1.92375E+03  1.79693E-06  6.372E-08  8.07366E-08  2.780E-10  0.00000E+00  0.000E+00
   2.12625E+03  1.80571E-06  6.376E-08  9.51091E-08  3.001E-10  0.00000E+00  0.000E+00
   2.32875E+03  1.70710E-06  6.189E-08  1.08529E-07  3.199E-10  0.00000E+00  0.000E+00
   2.53125E+03  1.70001E-06  6.169E-08  1.20839E-07  3.362E-10  0.00000E+00  0.000E+00
   2.73375E+03  1.69766E-06  6.169E-08  1.31935E-07  3.523E-10  0.00000E+00  0.000E+00
   2.93625E+03  1.64286E-06  6.055E-08  1.41495E-07  3.638E-10  0.00000E+00  0.000E+00
   3.13875E+03  1.64661E-06  6.076E-08  1.49007E-07  3.717E-10  0.00000E+00  0.000E+00
   3.34125E+03  1.57152E-06  5.929E-08  1.54981E-07  3.801E-10  0.00000E+00  0.000E+00
   3.54375E+03  1.57206E-06  5.942E-08  1.59351E-07  3.859E-10  0.00000E+00  0.000E+00
   3.74625E+03  1.57068E-06  5.943E-08  1.62494E-07  3.906E-10  0.00000E+00  0.000E+00
   3.94875E+03  1.51627E-06  5.844E-08  1.64567E-07  3.939E-10  0.00000E+00  0.000E+00
   4.15125E+03  1.47264E-06  5.756E-08  1.65227E-07  3.939E-10  0.00000E+00  0.000E+00
   4.35375E+03  1.48156E-06  5.790E-08  1.65584E-07  3.950E-10  0.00000E+00  0.000E+00
   4.55625E+03  1.44327E-06  5.717E-08  1.64491E-07  3.946E-10  0.00000E+00  0.000E+00
   4.75875E+03  1.45135E-06  5.742E-08  1.63022E-07  3.932E-10  0.00000E+00  0.000E+00
   4.96125E+03  1.42476E-06  5.694E-08  1.61518E-07  3.927E-10  0.00000E+00  0.000E+00
   5.16375E+03  1.43701E-06  5.732E-08  1.58915E-07  3.893E-10  0.00000E+00  0.000E+00
   5.36625E+03  1.52671E-06  5.925E-08  1.56607E-07  3.866E-10  0.00000E+00  0.000E+00
   5.56875E+03  1.50141E-06  5.878E-08  1.54122E-07  3.848E-10  0.00000E+00  0.000E+00
   5.77125E+03  1.52478E-06  5.930E-08  1.51124E-07  3.808E-10  0.00000E+00  0.000E+00
   5.97375E+03  1.55117E-06  5.988E-08  1.48270E-07  3.788E-10  0.00000E+00  0.000E+00
   6.17625E+03  1.54688E-06  5.976E-08  1.45136E-07  3.745E-10  0.00000E+00  0.000E+00
   6.37875E+03  1.64131E-06  6.175E-08  1.42009E-07  3.706E-10  0.00000E+00  0.000E+00
   6.58125E+03  1.63478E-06  6.148E-08  1.39098E-07  3.672E-10  0.00000E+00  0.000E+00
   6.78375E+03  1.67474E-06  6.221E-08  1.35517E-07  3.628E-10  0.00000E+00  0.000E+00
   6.98625E+03  1.74249E-06  6.354E-08  1.32134E-07  3.593E-10  0.00000E+00  0.000E+00
   7.18875E+03  1.70211E-06  6.364E-08  1.29064E-07  3.545E-10  0.00000E+00  0.000E+00
   7.39125E+03  1.74404E-06  6.443E-08  1.26149E-07  3.523E-10  0.00000E+00  0.000E+00
   7.59375E+03  1.88136E-06  6.706E-08  1.23819E-07  3.551E-10  0.00000E+00  0.000E+00
   7.79625E+03  1.84263E-06  6.634E-08  1.22775E-07  3.675E-10  0.00000E+00  0.000E+00
   7.99875E+03  1.90734E-06  6.766E-08  1.21541E-05  1.057E-08  0.00000E+00  0.000E+00
   8.20125E+03  1.93010E-06  6.827E-08  1.13844E-07  3.335E-10  0.00000E+00  0.000E+00
   8.40375E+03  2.01986E-06  6.991E-08  1.11145E-07  3.311E-10  0.00000E+00  0.000E+00
   8.60625E+03  2.08251E-06  7.105E-08  1.08573E-07  3.296E-10  0.00000E+00  0.000E+00
   8.80875E+03  2.11257E-06  7.156E-08  1.61186E-06  3.616E-09  0.00000E+00  0.000E+00
   9.01125E+03  2.14433E-06  7.218E-08  7.93292E-08  2.926E-10  0.00000E+00  0.000E+00
   9.21375E+03  2.29190E-06  7.467E-08  6.20052E-08  2.354E-10  0.00000E+00  0.000E+00
   9.41625E+03  2.34184E-06  7.545E-08  6.13827E-08  2.343E-10  0.00000E+00  0.000E+00
   9.61875E+03  2.28272E-06  7.454E-08  6.08073E-08  2.334E-10  0.00000E+00  0.000E+00
   9.82125E+03  2.40251E-06  7.652E-08  6.03437E-08  2.333E-10  0.00000E+00  0.000E+00
   1.00238E+04  2.48042E-06  7.774E-08  5.96465E-08  2.321E-10  0.00000E+00  0.000E+00
   1.02262E+04  2.40943E-06  7.668E-08  5.89789E-08  2.306E-10  0.00000E+00  0.000E+00
   1.04288E+04  2.59792E-06  7.963E-08  5.83869E-08  2.306E-10  0.00000E+00  0.000E+00
   1.06312E+04  2.68379E-06  8.096E-08  5.75961E-08  2.286E-10  0.00000E+00  0.000E+00
   1.08338E+04  2.68777E-06  8.106E-08  5.67872E-08  2.279E-10  0.00000E+00  0.000E+00
   1.10362E+04  2.75029E-06  8.200E-08  5.61110E-08  2.264E-10  0.00000E+00  0.000E+00
   1.12388E+04  2.85995E-06  8.363E-08  5.54582E-08  2.250E-10  0.00000E+00  0.000E+00
   1.14412E+04  2.91426E-06  8.453E-08  5.45142E-08  2.234E-10  0.00000E+00  0.000E+00
   1.16438E+04  3.01656E-06  8.594E-08  5.39515E-08  2.228E-10  0.00000E+00  0.000E+00
   1.18462E+04  3.05744E-06  8.660E-08  5.32187E-08  2.215E-10  0.00000E+00  0.000E+00
   1.20488E+04  3.13165E-06  8.763E-08  5.24264E-08  2.203E-10  0.00000E+00  0.000E+00
   1.22512E+04  3.21495E-06  8.883E-08  5.16326E-08  2.186E-10  0.00000E+00  0.000E+00
   1.24538E+04  3.34337E-06  9.058E-08  5.06551E-08  2.164E-10  0.00000E+00  0.000E+00
   1.26562E+04  3.33786E-06  9.052E-08  5.01563E-08  2.157E-10  0.00000E+00  0.000E+00
   1.28588E+04  3.42980E-06  9.180E-08  4.92994E-08  2.141E-10  0.00000E+00  0.000E+00
   1.30612E+04  3.50329E-06  9.278E-08  4.85813E-08  2.126E-10  0.00000E+00  0.000E+00
   1.32638E+04  3.65204E-06  9.475E-08  4.77765E-08  2.114E-10  0.00000E+00  0.000E+00
   1.34662E+04  3.61774E-06  9.431E-08  4.70739E-08  2.098E-10  0.00000E+00  0.000E+00
   1.36688E+04  3.74179E-06  9.594E-08  4.61920E-08  2.081E-10  0.00000E+00  0.000E+00
   1.38712E+04  3.85621E-06  9.744E-08  4.54838E-08  2.065E-10  0.00000E+00  0.000E+00
   1.40738E+04  3.91265E-06  9.812E-08  4.47404E-08  2.050E-10  0.00000E+00  0.000E+00
   1.42762E+04  3.99471E-06  9.916E-08  4.39444E-08  2.030E-10  0.00000E+00  0.000E+00
   1.44788E+04  4.05159E-06  9.988E-08  4.31932E-08  2.015E-10  0.00000E+00  0.000E+00
   1.46812E+04  4.27493E-06  1.026E-07  4.23904E-08  2.001E-10  0.00000E+00  0.000E+00
   1.48838E+04  4.30132E-06  1.029E-07  4.17066E-08  1.982E-10  0.00000E+00  0.000E+00
   1.50862E+04  4.28023E-06  1.027E-07  4.08454E-08  1.966E-10  0.00000E+00  0.000E+00
   1.52888E+04  4.42896E-06  1.044E-07  4.03230E-08  1.954E-10  0.00000E+00  0.000E+00
   1.54912E+04  4.54119E-06  1.058E-07  3.97210E-08  1.940E-10  0.00000E+00  0.000E+00
   1.56938E+04  4.62849E-06  1.068E-07  3.89545E-08  1.921E-10  0.00000E+00  0.000E+00
   1.58962E+04  4.71822E-06  1.078E-07  3.84040E-08  1.911E-10  0.00000E+00  0.000E+00
   1.60988E+04  4.74739E-06  1.082E-07  3.76102E-08  1.890E-10  0.00000E+00  0.000E+00
   1.63012E+04  5.01414E-06  1.112E-07  3.70207E-08  1.881E-10  0.00000E+00  0.000E+00
   1.65038E+04  4.97364E-06  1.107E-07  3.64154E-08  1.864E-10  0.00000E+00  0.000E+00
   1.67062E+04  5.12499E-06  1.124E-07  3.56495E-08  1.844E-10  0.00000E+00  0.000E+00
   1.69088E+04  5.26079E-06  1.139E-07  3.50509E-08  1.827E-10  0.00000E+00  0.000E+00
   1.71112E+04  5.32987E-06  1.147E-07  3.44296E-08  1.813E-10  0.00000E+00  0.000E+00
   1.73138E+04  5.48384E-06  1.163E-07  3.37272E-08  1.795E-10  0.00000E+00  0.000E+00
   1.75162E+04  5.55999E-06  1.171E-07  3.31502E-08  1.781E-10  0.00000E+00  0.000E+00
   1.77188E+04  5.68240E-06  1.184E-07  3.25336E-08  1.764E-10  0.00000E+00  0.000E+00
   1.79212E+04  5.80987E-06  1.197E-07  3.20378E-08  1.753E-10  0.00000E+00  0.000E+00
   1.81238E+04  5.87627E-06  1.204E-07  3.14444E-08  1.735E-10  0.00000E+00  0.000E+00
   1.83262E+04  5.99962E-06  1.216E-07  3.09784E-08  1.726E-10  0.00000E+00  0.000E+00
   1.85288E+04  6.00060E-06  1.216E-07  3.03844E-08  1.709E-10  0.00000E+00  0.000E+00
   1.87312E+04  6.20596E-06  1.237E-07  2.98285E-08  1.693E-10  0.00000E+00  0.000E+00
   1.89338E+04  6.39290E-06  1.256E-07  2.92613E-08  1.678E-10  0.00000E+00  0.000E+00
