#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  2.45010E-07  9.749E-08  1.00705E-04  2.265E-06  0.00000E+00  0.000E+00
   6.00000E+00  2.05870E-07  4.727E-08  1.02070E-04  1.324E-06  0.00000E+00  0.000E+00
   1.00000E+01  2.52363E-07  4.253E-08  9.93904E-05  1.008E-06  0.00000E+00  0.000E+00
   1.40000E+01  2.67149E-07  3.915E-08  9.70354E-05  8.409E-07  0.00000E+00  0.000E+00
   1.80000E+01  2.60335E-07  3.348E-08  9.41004E-05  7.315E-07  0.00000E+00  0.000E+00
   2.20000E+01  2.26737E-07  2.847E-08  8.97864E-05  6.451E-07  0.00000E+00  0.000E+00
   2.60000E+01  2.30329E-07  2.612E-08  8.42712E-05  5.729E-07  0.00000E+00  0.000E+00
   3.00000E+01  2.21748E-07  2.346E-08  7.91162E-05  5.166E-07  0.00000E+00  0.000E+00
   3.40000E+01  2.07195E-07  2.256E-08  7.22980E-05  4.624E-07  0.00000E+00  0.000E+00
   3.80000E+01  1.92705E-07  1.970E-08  6.55266E-05  4.150E-07  0.00000E+00  0.000E+00
   4.20000E+01  1.85080E-07  1.920E-08  5.80661E-05  3.698E-07  0.00000E+00  0.000E+00
   4.60000E+01  1.75728E-07  1.819E-08  5.01001E-05  3.244E-07  0.00000E+00  0.000E+00
   5.00000E+01  1.61944E-07  1.630E-08  4.24889E-05  2.827E-07  0.00000E+00  0.000E+00
   5.40000E+01  1.38986E-07  1.481E-08  3.45093E-05  2.396E-07  0.00000E+00  0.000E+00
   5.80000E+01  1.21582E-07  1.353E-08  2.69873E-05  1.970E-07  0.00000E+00  0.000E+00
   6.20000E+01  1.20892E-07  1.426E-08  2.02776E-05  1.566E-07  0.00000E+00  0.000E+00
   6.60000E+01  9.06352E-08  1.107E-08  1.78026E-05  1.398E-07  0.00000E+00  0.000E+00
   7.00000E+01  7.80280E-08  1.012E-08  1.84860E-05  1.443E-07  0.00000E+00  0.000E+00
   7.40000E+01  6.59735E-08  9.423E-09  1.88662E-05  1.460E-07  0.00000E+00  0.000E+00
   7.80000E+01  4.50928E-08  7.166E-09  1.92906E-05  1.495E-07  0.00000E+00  0.000E+00
   8.20000E+01  3.54744E-08  5.542E-09  1.93978E-05  1.510E-07  0.00000E+00  0.000E+00
   8.60000E+01  2.37147E-08  5.194E-09  1.90774E-05  1.497E-07  0.00000E+00  0.000E+00
   9.00000E+01  2.67389E-04  1.743E-05  8.69900E-05  4.020E-07  0.00000E+00  0.000E+00
   9.40000E+01  3.05833E-03  5.898E-05  4.17314E-04  8.687E-07  0.00000E+00  0.000E+00
   9.80000E+01  7.91445E-03  9.515E-05  5.67489E-04  9.787E-07  0.00000E+00  0.000E+00
   1.02000E+02  1.39363E-02  1.269E-04  6.42888E-04  1.023E-06  0.00000E+00  0.000E+00
   1.06000E+02  2.06905E-02  1.557E-04  6.88070E-04  1.051E-06  0.00000E+00  0.000E+00
   1.10000E+02  2.82590E-02  1.838E-04  7.21279E-04  1.077E-06  0.00000E+00  0.000E+00
   1.14000E+02  3.56970E-02  2.092E-04  7.43714E-04  1.102E-06  0.00000E+00  0.000E+00
   1.18000E+02  4.33397E-02  2.342E-04  7.63435E-04  1.131E-06  0.00000E+00  0.000E+00
   1.22000E+02  5.12495E-02  2.596E-04  7.76399E-04  1.161E-06  0.00000E+00  0.000E+00
   1.26000E+02  5.87427E-02  2.843E-04  7.88710E-04  1.199E-06  0.00000E+00  0.000E+00
   1.30000E+02  6.59187E-02  3.092E-04  7.96214E-04  1.239E-06  0.00000E+00  0.000E+00
   1.34000E+02  7.26205E-02  3.348E-04  8.05745E-04  1.291E-06  0.00000E+00  0.000E+00
   1.38000E+02  7.92011E-02  3.625E-04  8.11494E-04  1.348E-06  0.00000E+00  0.000E+00
   1.42000E+02  8.45014E-02  3.904E-04  8.16714E-04  1.416E-06  0.00000E+00  0.000E+00
   1.46000E+02  8.97784E-02  4.224E-04  8.21384E-04  1.498E-06  0.00000E+00  0.000E+00
   1.50000E+02  9.48009E-02  4.593E-04  8.25480E-04  1.600E-06  0.00000E+00  0.000E+00
   1.54000E+02  9.86158E-02  5.008E-04  8.26356E-04  1.719E-06  0.00000E+00  0.000E+00
   1.58000E+02  1.01917E-01  5.513E-04  8.30155E-04  1.878E-06  0.00000E+00  0.000E+00
   1.62000E+02  1.04824E-01  6.164E-04  8.32702E-04  2.087E-06  0.00000E+00  0.000E+00
   1.66000E+02  1.06762E-01  7.040E-04  8.31963E-04  2.373E-06  0.00000E+00  0.000E+00
   1.70000E+02  1.09016E-01  8.410E-04  8.36330E-04  2.832E-06  0.00000E+00  0.000E+00
   1.74000E+02  1.09650E-01  1.089E-03  8.33977E-04  3.670E-06  0.00000E+00  0.000E+00
   1.78000E+02  1.10685E-01  1.897E-03  8.37931E-04  6.422E-06  0.00000E+00  0.000E+00
