#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  4.05000E+04   200
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.01250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.03750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   5.06250E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.08750E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.11250E+02  6.17284E-13  6.173E-13  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.11375E+03  1.14198E-11  5.741E-12  2.00617E-12  3.132E-12  0.00000E+00  0.000E+00
   1.31625E+03  1.34259E-11  7.152E-12  1.54321E-13  3.086E-13  0.00000E+00  0.000E+00
   1.51875E+03  1.14198E-11  5.741E-12  1.54321E-13  3.086E-13  0.00000E+00  0.000E+00
   1.72125E+03  1.62037E-11  7.839E-12  3.08642E-13  4.365E-13  0.00000E+00  0.000E+00
   1.92375E+03  1.63580E-11  7.845E-12  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.12625E+03  1.82099E-11  7.917E-12  1.54321E-13  3.086E-13  0.00000E+00  0.000E+00
   2.32875E+03  2.22222E-11  9.083E-12  2.00617E-12  3.132E-12  0.00000E+00  0.000E+00
   2.53125E+03  2.54630E-11  9.637E-12  1.54321E-13  3.086E-13  0.00000E+00  0.000E+00
   2.73375E+03  3.20988E-11  1.183E-11  3.08642E-13  4.365E-13  0.00000E+00  0.000E+00
   2.93625E+03  2.62346E-11  9.662E-12  1.54321E-13  3.086E-13  0.00000E+00  0.000E+00
   3.13875E+03  3.81173E-11  1.198E-11  1.54321E-13  3.086E-13  0.00000E+00  0.000E+00
   3.34125E+03  2.90123E-11  1.018E-11  2.31481E-12  3.163E-12  0.00000E+00  0.000E+00
   3.54375E+03  4.49074E-11  1.349E-11  4.16667E-12  4.441E-12  0.00000E+00  0.000E+00
   3.74625E+03  4.96914E-11  1.516E-11  9.25926E-13  7.560E-13  0.00000E+00  0.000E+00
   3.94875E+03  3.54938E-11  1.117E-11  2.16049E-12  3.148E-12  0.00000E+00  0.000E+00
   4.15125E+03  5.49383E-11  1.520E-11  4.62963E-13  5.346E-13  0.00000E+00  0.000E+00
   4.35375E+03  5.10802E-11  1.455E-11  9.25926E-13  7.560E-13  0.00000E+00  0.000E+00
   4.55625E+03  6.25000E-11  1.617E-11  1.85185E-12  1.069E-12  0.00000E+00  0.000E+00
   4.75875E+03  5.95679E-11  1.530E-11  4.47531E-12  3.367E-12  0.00000E+00  0.000E+00
   4.96125E+03  6.48148E-11  1.621E-11  7.71605E-12  2.182E-12  0.00000E+00  0.000E+00
   5.16375E+03  8.20988E-11  1.873E-11  2.39198E-11  3.843E-12  0.00000E+00  0.000E+00
   5.36625E+03  9.44444E-11  2.003E-11  4.59877E-11  5.328E-12  0.00000E+00  0.000E+00
   5.56875E+03  9.79938E-11  2.113E-11  9.07407E-11  7.484E-12  0.00000E+00  0.000E+00
   5.77125E+03  8.17901E-11  1.755E-11  1.70833E-10  1.068E-11  0.00000E+00  0.000E+00
   5.97375E+03  1.31790E-10  2.406E-11  2.69907E-10  1.325E-11  0.00000E+00  0.000E+00
   6.17625E+03  9.30556E-11  1.868E-11  4.32716E-10  1.767E-11  0.00000E+00  0.000E+00
   6.37875E+03  1.09568E-10  2.069E-11  6.21759E-10  1.962E-11  0.00000E+00  0.000E+00
   6.58125E+03  1.35185E-10  2.410E-11  9.50772E-10  2.429E-11  0.00000E+00  0.000E+00
   6.78375E+03  1.39043E-10  2.415E-11  1.31219E-09  3.009E-11  0.00000E+00  0.000E+00
   6.98625E+03  1.42593E-10  2.437E-11  1.74275E-09  3.301E-11  0.00000E+00  0.000E+00
   7.18875E+03  7.85494E-11  1.748E-11  2.29352E-09  3.849E-11  0.00000E+00  0.000E+00
   7.39125E+03  1.17438E-10  2.277E-11  2.95093E-09  4.358E-11  0.00000E+00  0.000E+00
   7.59375E+03  8.54938E-11  1.901E-11  3.75324E-09  5.122E-11  0.00000E+00  0.000E+00
   7.79625E+03  1.00154E-10  2.075E-11  4.85139E-09  6.739E-11  0.00000E+00  0.000E+00
   7.99875E+03  1.25000E-10  2.379E-11  5.33868E-07  1.725E-09  0.00000E+00  0.000E+00
   8.20125E+03  3.07099E-11  9.356E-12  6.43148E-09  6.434E-11  0.00000E+00  0.000E+00
   8.40375E+03  3.14815E-11  9.382E-12  7.56250E-09  7.070E-11  0.00000E+00  0.000E+00
   8.60625E+03  3.42593E-11  1.114E-11  8.71296E-09  7.705E-11  0.00000E+00  0.000E+00
   8.80875E+03  3.19444E-11  8.929E-12  1.44183E-07  8.887E-10  0.00000E+00  0.000E+00
   9.01125E+03  1.62037E-11  3.163E-12  4.13904E-09  5.750E-11  0.00000E+00  0.000E+00
   9.21375E+03  1.85185E-11  3.381E-12  4.62963E-13  5.346E-13  0.00000E+00  0.000E+00
   9.41625E+03  1.74383E-11  3.281E-12  3.08642E-13  4.365E-13  0.00000E+00  0.000E+00
   9.61875E+03  1.51235E-11  3.055E-12  1.54321E-13  3.086E-13  0.00000E+00  0.000E+00
   9.82125E+03  1.94444E-11  3.464E-12  1.08025E-12  8.166E-13  0.00000E+00  0.000E+00
   1.00238E+04  1.80556E-11  3.338E-12  4.62963E-13  5.346E-13  0.00000E+00  0.000E+00
   1.02262E+04  1.89815E-11  3.423E-12  1.08025E-12  8.166E-13  0.00000E+00  0.000E+00
   1.04288E+04  2.17593E-11  3.665E-12  1.85185E-12  1.069E-12  0.00000E+00  0.000E+00
   1.06312E+04  1.92901E-11  3.451E-12  3.39506E-12  1.448E-12  0.00000E+00  0.000E+00
   1.08338E+04  1.80556E-11  3.338E-12  5.55556E-12  1.852E-12  0.00000E+00  0.000E+00
   1.10362E+04  1.99074E-11  3.505E-12  9.72222E-12  2.450E-12  0.00000E+00  0.000E+00
   1.12388E+04  1.80556E-11  3.338E-12  9.87654E-12  2.469E-12  0.00000E+00  0.000E+00
   1.14412E+04  2.03704E-11  3.546E-12  1.49691E-11  3.040E-12  0.00000E+00  0.000E+00
   1.16438E+04  2.11420E-11  3.613E-12  1.80556E-11  3.338E-12  0.00000E+00  0.000E+00
   1.18462E+04  2.19136E-11  3.678E-12  3.08642E-11  4.365E-12  0.00000E+00  0.000E+00
   1.20488E+04  2.02160E-11  3.533E-12  4.29012E-11  5.146E-12  0.00000E+00  0.000E+00
   1.22512E+04  2.16049E-11  3.652E-12  5.13889E-11  5.632E-12  0.00000E+00  0.000E+00
   1.24538E+04  1.83642E-11  3.367E-12  5.95679E-11  6.064E-12  0.00000E+00  0.000E+00
   1.26562E+04  2.16049E-11  3.652E-12  7.87037E-11  6.970E-12  0.00000E+00  0.000E+00
   1.28588E+04  1.65123E-11  3.193E-12  9.67593E-11  7.728E-12  0.00000E+00  0.000E+00
   1.30612E+04  1.92901E-11  3.451E-12  1.26389E-10  8.832E-12  0.00000E+00  0.000E+00
   1.32638E+04  1.89815E-11  3.423E-12  1.56944E-10  9.852E-12  0.00000E+00  0.000E+00
   1.34662E+04  2.16049E-11  3.652E-12  1.76389E-10  1.046E-11  0.00000E+00  0.000E+00
   1.36688E+04  2.17593E-11  3.665E-12  2.10340E-10  1.139E-11  0.00000E+00  0.000E+00
   1.38712E+04  1.91358E-11  3.437E-12  2.56327E-10  1.262E-11  0.00000E+00  0.000E+00
   1.40738E+04  1.95988E-11  3.478E-12  3.01389E-10  1.369E-11  0.00000E+00  0.000E+00
   1.42762E+04  2.00617E-11  3.519E-12  3.56636E-10  1.489E-11  0.00000E+00  0.000E+00
   1.44788E+04  2.23765E-11  3.717E-12  3.92747E-10  1.560E-11  0.00000E+00  0.000E+00
   1.46812E+04  1.82099E-11  3.353E-12  4.56790E-10  1.684E-11  0.00000E+00  0.000E+00
   1.48838E+04  2.09877E-11  3.599E-12  5.00772E-10  1.865E-11  0.00000E+00  0.000E+00
   1.50862E+04  2.31481E-11  3.780E-12  5.96296E-10  1.929E-11  0.00000E+00  0.000E+00
   1.52888E+04  2.31481E-11  3.780E-12  6.47068E-10  2.009E-11  0.00000E+00  0.000E+00
   1.54912E+04  1.82099E-11  3.353E-12  7.17130E-10  2.117E-11  0.00000E+00  0.000E+00
   1.56938E+04  1.95988E-11  3.478E-12  8.18364E-10  2.265E-11  0.00000E+00  0.000E+00
   1.58962E+04  2.17593E-11  3.665E-12  9.22222E-10  2.404E-11  0.00000E+00  0.000E+00
   1.60988E+04  2.08333E-11  3.586E-12  1.01173E-09  2.526E-11  0.00000E+00  0.000E+00
   1.63012E+04  1.75926E-11  3.295E-12  1.11019E-09  2.638E-11  0.00000E+00  0.000E+00
   1.65038E+04  1.91358E-11  3.437E-12  1.20880E-09  2.761E-11  0.00000E+00  0.000E+00
   1.67062E+04  2.19136E-11  3.678E-12  1.32685E-09  2.895E-11  0.00000E+00  0.000E+00
   1.69088E+04  1.52778E-11  3.071E-12  1.42593E-09  3.004E-11  0.00000E+00  0.000E+00
   1.71112E+04  1.88272E-11  3.409E-12  1.58519E-09  3.181E-11  0.00000E+00  0.000E+00
   1.73138E+04  1.91358E-11  3.437E-12  1.68735E-09  3.280E-11  0.00000E+00  0.000E+00
   1.75162E+04  1.97531E-11  3.492E-12  1.80725E-09  3.404E-11  0.00000E+00  0.000E+00
   1.77188E+04  1.86728E-11  3.395E-12  1.95417E-09  3.541E-11  0.00000E+00  0.000E+00
   1.79212E+04  1.72840E-11  3.266E-12  2.04028E-09  3.620E-11  0.00000E+00  0.000E+00
   1.81238E+04  1.99074E-11  3.505E-12  2.21389E-09  3.782E-11  0.00000E+00  0.000E+00
   1.83262E+04  1.68210E-11  3.222E-12  2.33951E-09  3.894E-11  0.00000E+00  0.000E+00
   1.85288E+04  1.38889E-11  2.928E-12  2.49275E-09  4.025E-11  0.00000E+00  0.000E+00
   1.87312E+04  1.63580E-11  3.178E-12  2.61944E-09  4.133E-11  0.00000E+00  0.000E+00
   1.89338E+04  1.48148E-11  3.024E-12  2.81559E-09  4.292E-11  0.00000E+00  0.000E+00
