#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  1.00000E+01  3.76041E-01  5.429E-03  2.68761E+01  4.539E-02  1.61197E-01  3.555E-03
   2.00000E+00  3.00000E+01  3.79353E-01  5.453E-03  2.68823E+01  4.539E-02  1.63627E-01  3.581E-03
   2.00000E+00  5.00000E+01  3.74825E-01  5.421E-03  2.68521E+01  4.537E-02  1.60393E-01  3.546E-03
   2.00000E+00  7.00000E+01  3.78844E-01  5.449E-03  2.68876E+01  4.540E-02  1.62706E-01  3.571E-03
   2.00000E+00  9.00000E+01  3.74218E-01  5.416E-03  2.68748E+01  4.538E-02  1.61452E-01  3.558E-03
   2.00000E+00  1.10000E+02  3.72317E-01  5.402E-03  2.68961E+01  4.540E-02  1.62255E-01  3.566E-03
   2.00000E+00  1.30000E+02  3.74375E-01  5.417E-03  2.68981E+01  4.540E-02  1.60177E-01  3.544E-03
   2.00000E+00  1.50000E+02  3.74943E-01  5.421E-03  2.69144E+01  4.542E-02  1.60471E-01  3.547E-03
   2.00000E+00  1.70000E+02  3.80314E-01  5.460E-03  2.69125E+01  4.542E-02  1.63647E-01  3.582E-03
   2.00000E+00  1.90000E+02  3.74551E-01  5.418E-03  2.68980E+01  4.540E-02  1.61275E-01  3.556E-03
   2.00000E+00  2.10000E+02  3.79824E-01  5.457E-03  2.69424E+01  4.544E-02  1.65450E-01  3.601E-03
   2.00000E+00  2.30000E+02  3.70219E-01  5.387E-03  2.68775E+01  4.539E-02  1.60785E-01  3.550E-03
   2.00000E+00  2.50000E+02  3.77217E-01  5.437E-03  2.69011E+01  4.541E-02  1.61177E-01  3.555E-03
   2.00000E+00  2.70000E+02  3.79294E-01  5.453E-03  2.68856E+01  4.539E-02  1.61726E-01  3.561E-03
   2.00000E+00  2.90000E+02  3.73728E-01  5.412E-03  2.68847E+01  4.539E-02  1.58962E-01  3.530E-03
   2.00000E+00  3.10000E+02  3.74022E-01  5.414E-03  2.68817E+01  4.539E-02  1.60491E-01  3.547E-03
   2.00000E+00  3.30000E+02  3.79804E-01  5.456E-03  2.68815E+01  4.539E-02  1.59609E-01  3.537E-03
   2.00000E+00  3.50000E+02  3.75374E-01  5.425E-03  2.68990E+01  4.540E-02  1.61844E-01  3.562E-03

   6.00000E+00  1.00000E+01  2.56906E-01  2.593E-03  5.99036E+00  1.245E-02  1.07652E-01  1.678E-03
   6.00000E+00  3.00000E+01  2.58883E-01  2.602E-03  5.98909E+00  1.244E-02  1.07718E-01  1.679E-03
   6.00000E+00  5.00000E+01  2.55735E-01  2.586E-03  5.98841E+00  1.244E-02  1.08405E-01  1.684E-03
   6.00000E+00  7.00000E+01  2.58104E-01  2.599E-03  5.99242E+00  1.245E-02  1.07823E-01  1.680E-03
   6.00000E+00  9.00000E+01  2.56860E-01  2.592E-03  5.99898E+00  1.245E-02  1.06795E-01  1.672E-03
   6.00000E+00  1.10000E+02  2.61101E-01  2.614E-03  5.98331E+00  1.244E-02  1.08045E-01  1.682E-03
   6.00000E+00  1.30000E+02  2.57966E-01  2.598E-03  5.98675E+00  1.244E-02  1.08189E-01  1.683E-03
   6.00000E+00  1.50000E+02  2.58843E-01  2.602E-03  5.99503E+00  1.245E-02  1.08745E-01  1.687E-03
   6.00000E+00  1.70000E+02  2.57960E-01  2.598E-03  5.99482E+00  1.245E-02  1.06252E-01  1.668E-03
   6.00000E+00  1.90000E+02  2.59164E-01  2.604E-03  5.99844E+00  1.245E-02  1.07129E-01  1.674E-03
   6.00000E+00  2.10000E+02  2.57652E-01  2.596E-03  5.99410E+00  1.245E-02  1.08647E-01  1.686E-03
   6.00000E+00  2.30000E+02  2.57809E-01  2.597E-03  5.99119E+00  1.244E-02  1.07338E-01  1.676E-03
   6.00000E+00  2.50000E+02  2.57449E-01  2.595E-03  5.99344E+00  1.245E-02  1.07070E-01  1.674E-03
   6.00000E+00  2.70000E+02  2.57456E-01  2.595E-03  5.98635E+00  1.244E-02  1.07476E-01  1.677E-03
   6.00000E+00  2.90000E+02  2.56422E-01  2.590E-03  5.99284E+00  1.245E-02  1.06723E-01  1.671E-03
   6.00000E+00  3.10000E+02  2.57646E-01  2.596E-03  5.99404E+00  1.245E-02  1.08163E-01  1.682E-03
   6.00000E+00  3.30000E+02  2.55591E-01  2.586E-03  5.99446E+00  1.245E-02  1.08536E-01  1.685E-03
   6.00000E+00  3.50000E+02  2.60178E-01  2.609E-03  5.98559E+00  1.244E-02  1.09295E-01  1.691E-03

   1.00000E+01  1.00000E+01  1.53649E-01  1.556E-03  8.06030E-01  3.585E-03  6.27298E-02  9.941E-04
   1.00000E+01  3.00000E+01  1.54619E-01  1.561E-03  8.05762E-01  3.586E-03  6.32735E-02  9.984E-04
   1.00000E+01  5.00000E+01  1.54441E-01  1.560E-03  8.06100E-01  3.586E-03  6.30056E-02  9.963E-04
   1.00000E+01  7.00000E+01  1.54386E-01  1.559E-03  8.07026E-01  3.588E-03  6.38092E-02  1.003E-03
   1.00000E+01  9.00000E+01  1.54335E-01  1.559E-03  8.06301E-01  3.587E-03  6.38289E-02  1.003E-03
   1.00000E+01  1.10000E+02  1.54607E-01  1.560E-03  8.07310E-01  3.589E-03  6.25132E-02  9.924E-04
   1.00000E+01  1.30000E+02  1.53409E-01  1.555E-03  8.07692E-01  3.590E-03  6.39038E-02  1.003E-03
   1.00000E+01  1.50000E+02  1.54099E-01  1.558E-03  8.08094E-01  3.590E-03  6.29662E-02  9.959E-04
   1.00000E+01  1.70000E+02  1.54957E-01  1.562E-03  8.06325E-01  3.587E-03  6.22059E-02  9.899E-04
   1.00000E+01  1.90000E+02  1.53752E-01  1.556E-03  8.09374E-01  3.593E-03  6.32341E-02  9.981E-04
   1.00000E+01  2.10000E+02  1.54875E-01  1.562E-03  8.07030E-01  3.587E-03  6.31632E-02  9.975E-04
   1.00000E+01  2.30000E+02  1.53114E-01  1.553E-03  8.04895E-01  3.582E-03  6.23950E-02  9.914E-04
   1.00000E+01  2.50000E+02  1.53890E-01  1.557E-03  8.08062E-01  3.590E-03  6.32577E-02  9.983E-04
   1.00000E+01  2.70000E+02  1.54039E-01  1.558E-03  8.05939E-01  3.586E-03  6.27220E-02  9.940E-04
   1.00000E+01  2.90000E+02  1.55056E-01  1.563E-03  8.07452E-01  3.588E-03  6.26786E-02  9.937E-04
   1.00000E+01  3.10000E+02  1.52704E-01  1.551E-03  8.07700E-01  3.590E-03  6.45222E-02  1.008E-03
   1.00000E+01  3.30000E+02  1.53736E-01  1.556E-03  8.08173E-01  3.591E-03  6.30489E-02  9.966E-04
   1.00000E+01  3.50000E+02  1.53669E-01  1.556E-03  8.07077E-01  3.589E-03  6.36201E-02  1.001E-03

