#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  1.00000E+05  3.50000E+07   100
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.74500E+05  2.54107E-10  6.976E-12  2.73455E-07  2.471E-10  6.49475E-12  1.114E-12
   6.23500E+05  2.63610E-11  2.260E-12  7.72633E-08  1.204E-10  7.16332E-12  1.170E-12
   9.72500E+05  1.62846E-11  1.764E-12  1.59460E-09  1.756E-11  5.63515E-12  1.038E-12
   1.32150E+06  1.01719E-11  1.394E-12  7.56304E-10  1.206E-11  5.53964E-12  1.029E-12
   1.67050E+06  7.44986E-12  1.193E-12  4.09408E-10  8.868E-12  3.62942E-12  8.326E-13
   2.01950E+06  6.11270E-12  1.081E-12  2.36151E-10  6.722E-12  3.86819E-12  8.596E-13
   2.36850E+06  4.48902E-12  9.260E-13  1.45511E-10  5.277E-12  2.62655E-12  7.083E-13
   2.71750E+06  3.77268E-12  8.489E-13  9.10697E-11  4.173E-12  2.81757E-12  7.336E-13
   3.06650E+06  2.48329E-12  6.887E-13  6.66189E-11  3.570E-12  2.14900E-12  6.407E-13
   3.41550E+06  2.81757E-12  7.336E-13  4.60363E-11  2.969E-12  1.76695E-12  5.810E-13
   3.76450E+06  2.57880E-12  7.019E-13  3.29990E-11  2.511E-12  1.71920E-12  5.731E-13
   4.11350E+06  1.95798E-12  6.116E-13  2.53104E-11  2.199E-12  1.71920E-12  5.731E-13
   4.46250E+06  2.19675E-12  6.478E-13  2.00573E-11  1.957E-12  1.81471E-12  5.888E-13
   4.81150E+06  1.91022E-12  6.041E-13  1.44222E-11  1.660E-12  1.48042E-12  5.318E-13
   5.16050E+06  1.95798E-12  6.116E-13  1.08405E-11  1.439E-12  1.14613E-12  4.679E-13
   5.50950E+06  1.33715E-12  5.054E-13  9.83763E-12  1.371E-12  1.00287E-12  4.377E-13
   5.85850E+06  1.48042E-12  5.318E-13  7.49761E-12  1.197E-12  1.19389E-12  4.776E-13
   6.20750E+06  1.19389E-12  4.776E-13  6.01719E-12  1.072E-12  8.11843E-13  3.938E-13
   6.55650E+06  1.48042E-12  5.318E-13  5.10984E-12  9.880E-13  7.64088E-13  3.820E-13
   6.90550E+06  9.07354E-13  4.163E-13  4.53677E-12  9.309E-13  6.20821E-13  3.444E-13
   7.25450E+06  7.64088E-13  3.820E-13  3.72493E-12  8.435E-13  5.25310E-13  3.168E-13
   7.60350E+06  9.07354E-13  4.163E-13  3.05635E-12  7.641E-13  5.25310E-13  3.168E-13
   7.95250E+06  7.16332E-13  3.699E-13  3.15186E-12  7.759E-13  2.86533E-13  2.340E-13
   8.30150E+06  9.07354E-13  4.163E-13  1.86246E-12  5.965E-13  7.16332E-13  3.699E-13
   8.65050E+06  9.55110E-13  4.271E-13  2.24451E-12  6.548E-13  4.77555E-13  3.020E-13
   8.99950E+06  8.11843E-13  3.938E-13  1.43266E-12  5.231E-13  3.34288E-13  2.527E-13
   9.34850E+06  5.73066E-13  3.309E-13  2.24451E-12  6.548E-13  2.38777E-13  2.136E-13
   9.69750E+06  3.34288E-13  2.527E-13  1.81471E-12  5.888E-13  8.11843E-13  3.938E-13
   1.00465E+07  3.82044E-13  2.701E-13  1.33715E-12  5.054E-13  6.20821E-13  3.444E-13
   1.03955E+07  3.82044E-13  2.701E-13  1.00287E-12  4.377E-13  3.82044E-13  2.701E-13
   1.07445E+07  5.25310E-13  3.168E-13  8.11843E-13  3.938E-13  1.91022E-13  1.910E-13
   1.10935E+07  4.77555E-13  3.020E-13  4.77555E-13  3.020E-13  2.38777E-13  2.136E-13
   1.14425E+07  2.86533E-13  2.340E-13  9.07354E-13  4.163E-13  4.77555E-13  3.020E-13
   1.17915E+07  2.38777E-13  2.136E-13  1.33715E-12  5.054E-13  4.29799E-13  2.865E-13
   1.21405E+07  6.68577E-13  3.574E-13  7.16332E-13  3.699E-13  3.34288E-13  2.527E-13
   1.24895E+07  3.82044E-13  2.701E-13  3.82044E-13  2.701E-13  2.86533E-13  2.340E-13
   1.28385E+07  2.86533E-13  2.340E-13  3.82044E-13  2.701E-13  1.43266E-13  1.654E-13
   1.31875E+07  4.77555E-13  3.020E-13  5.25310E-13  3.168E-13  1.43266E-13  1.654E-13
   1.35365E+07  1.43266E-13  1.654E-13  1.43266E-13  1.654E-13  1.91022E-13  1.910E-13
   1.38855E+07  3.34288E-13  2.527E-13  5.73066E-13  3.309E-13  2.38777E-13  2.136E-13
   1.42345E+07  3.34288E-13  2.527E-13  2.86533E-13  2.340E-13  2.38777E-13  2.136E-13
   1.45835E+07  3.34288E-13  2.527E-13  4.77555E-13  3.020E-13  1.91022E-13  1.910E-13
   1.49325E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  4.77555E-14  9.551E-14
   1.52815E+07  1.43266E-13  1.654E-13  2.38777E-13  2.136E-13  1.91022E-13  1.910E-13
   1.56305E+07  1.91022E-13  1.910E-13  1.43266E-13  1.654E-13  1.91022E-13  1.910E-13
   1.59795E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  0.00000E+00  0.000E+00
   1.63285E+07  2.38777E-13  2.136E-13  1.91022E-13  1.910E-13  1.43266E-13  1.654E-13
   1.66775E+07  3.34288E-13  2.527E-13  1.43266E-13  1.654E-13  1.43266E-13  1.654E-13
   1.70265E+07  1.43266E-13  1.654E-13  1.43266E-13  1.654E-13  9.55110E-14  1.351E-13
   1.73755E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  0.00000E+00  0.000E+00
   1.77245E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  0.00000E+00  0.000E+00
   1.80735E+07  2.38777E-13  2.136E-13  1.43266E-13  1.654E-13  4.77555E-14  9.551E-14
   1.84225E+07  1.43266E-13  1.654E-13  9.55110E-14  1.351E-13  4.77555E-14  9.551E-14
   1.87715E+07  2.38777E-13  2.136E-13  9.55110E-14  1.351E-13  4.77555E-14  9.551E-14
   1.91205E+07  4.77555E-14  9.551E-14  9.55110E-14  1.351E-13  4.77555E-14  9.551E-14
   1.94695E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  4.77555E-14  9.551E-14
   1.98185E+07  1.43266E-13  1.654E-13  9.55110E-14  1.351E-13  9.55110E-14  1.351E-13
   2.01675E+07  0.00000E+00  0.000E+00  4.77555E-14  9.551E-14  4.77555E-14  9.551E-14
   2.05165E+07  1.43266E-13  1.654E-13  9.55110E-14  1.351E-13  0.00000E+00  0.000E+00
   2.08655E+07  9.55110E-14  1.351E-13  1.43266E-13  1.654E-13  4.77555E-14  9.551E-14
   2.12145E+07  4.77555E-14  9.551E-14  9.55110E-14  1.351E-13  0.00000E+00  0.000E+00
   2.15635E+07  9.55110E-14  1.351E-13  4.77555E-14  9.551E-14  9.55110E-14  1.351E-13
