#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  3.76070E-01  1.276E-03  2.68914E+01  8.305E-03  1.61514E-01  8.377E-04
   6.00000E+00  2.57874E-01  6.088E-04  5.99165E+00  2.519E-03  1.07778E-01  3.949E-04
   1.00000E+01  1.54074E-01  3.652E-04  8.07019E-01  8.211E-04  6.31599E-02  2.346E-04
   1.40000E+01  9.76882E-02  2.465E-04  5.32729E-01  5.666E-04  3.94027E-02  1.570E-04
   1.80000E+01  6.52048E-02  1.784E-04  3.79353E-01  4.239E-04  2.60154E-02  1.129E-04
   2.20000E+01  4.55099E-02  1.354E-04  2.88525E-01  3.361E-04  1.78285E-02  8.493E-05
   2.60000E+01  3.27501E-02  1.063E-04  2.30228E-01  2.778E-04  1.25648E-02  6.593E-05
   3.00000E+01  2.40366E-02  8.529E-05  1.90244E-01  2.366E-04  8.97224E-03  5.218E-05
   3.40000E+01  1.81014E-02  7.002E-05  1.60942E-01  2.058E-04  6.56616E-03  4.221E-05
   3.80000E+01  1.37306E-02  5.814E-05  1.38337E-01  1.820E-04  4.81912E-03  3.447E-05
   4.20000E+01  1.05088E-02  4.880E-05  1.20209E-01  1.628E-04  3.57160E-03  2.847E-05
   4.60000E+01  8.14949E-03  4.146E-05  1.04883E-01  1.468E-04  2.64491E-03  2.363E-05
   5.00000E+01  6.28960E-03  3.530E-05  9.13051E-02  1.329E-04  2.00750E-03  1.995E-05
   5.40000E+01  4.81380E-03  3.006E-05  7.88985E-02  1.203E-04  1.49261E-03  1.674E-05
   5.80000E+01  3.72795E-03  2.584E-05  6.76551E-02  1.090E-04  1.10158E-03  1.405E-05
   6.20000E+01  2.80379E-03  2.196E-05  5.71083E-02  9.824E-05  8.12963E-04  1.183E-05
   6.60000E+01  2.08036E-03  1.860E-05  4.69786E-02  8.772E-05  5.81688E-04  9.837E-06
   7.00000E+01  1.49053E-03  1.553E-05  3.74648E-02  7.735E-05  4.03612E-04  8.080E-06
   7.40000E+01  1.00889E-03  1.263E-05  2.85083E-02  6.680E-05  2.71208E-04  6.549E-06
   7.80000E+01  6.42732E-04  9.994E-06  2.01815E-02  5.580E-05  1.66248E-04  5.083E-06
   8.20000E+01  3.43970E-04  7.266E-06  1.24991E-02  4.371E-05  8.95327E-05  3.707E-06
   8.60000E+01  1.25488E-04  4.373E-06  5.72647E-03  2.951E-05  3.16577E-05  2.196E-06
   9.00000E+01  1.08309E-05  1.283E-06  8.92010E-04  1.164E-05  2.50821E-06  6.175E-07
   9.40000E+01  1.18097E-06  4.242E-07  2.27962E-03  1.863E-05  3.42864E-07  2.286E-07
   9.80000E+01  2.91662E-06  6.691E-07  5.23047E-03  2.831E-05  4.60520E-07  2.659E-07
   1.02000E+02  5.90553E-06  9.580E-07  8.80686E-03  3.694E-05  1.20442E-06  4.326E-07
   1.06000E+02  8.77670E-06  1.178E-06  1.29001E-02  4.507E-05  2.29301E-06  6.022E-07
   1.10000E+02  1.14047E-05  1.358E-06  1.73347E-02  5.280E-05  2.58830E-06  6.471E-07
   1.14000E+02  1.41023E-05  1.532E-06  2.21628E-02  6.051E-05  2.62078E-06  6.604E-07
   1.18000E+02  1.76469E-05  1.743E-06  2.69860E-02  6.787E-05  3.40026E-06  7.651E-07
   1.22000E+02  2.05241E-05  1.918E-06  3.19633E-02  7.533E-05  3.36094E-06  7.762E-07
   1.26000E+02  2.39570E-05  2.122E-06  3.68740E-02  8.279E-05  4.36863E-06  9.060E-07
   1.30000E+02  2.76325E-05  2.342E-06  4.15599E-02  9.029E-05  4.21682E-06  9.148E-07
   1.34000E+02  2.94795E-05  2.496E-06  4.61711E-02  9.818E-05  5.65288E-06  1.093E-06
   1.38000E+02  3.24866E-05  2.717E-06  5.04238E-02  1.064E-04  4.31641E-06  9.903E-07
   1.42000E+02  3.61105E-05  2.986E-06  5.46055E-02  1.154E-04  6.17274E-06  1.235E-06
   1.46000E+02  3.62910E-05  3.141E-06  5.81077E-02  1.249E-04  5.64074E-06  1.238E-06
   1.50000E+02  3.61790E-05  3.317E-06  6.14591E-02  1.359E-04  6.08051E-06  1.360E-06
   1.54000E+02  4.03117E-05  3.739E-06  6.44020E-02  1.487E-04  6.84865E-06  1.541E-06
   1.58000E+02  4.26082E-05  4.158E-06  6.69592E-02  1.641E-04  6.79703E-06  1.661E-06
   1.62000E+02  4.35352E-05  4.628E-06  6.90076E-02  1.835E-04  7.00991E-06  1.857E-06
   1.66000E+02  4.58699E-05  5.369E-06  7.10179E-02  2.106E-04  8.32569E-06  2.287E-06
   1.70000E+02  4.24572E-05  6.096E-06  7.22116E-02  2.508E-04  6.56554E-06  2.397E-06
   1.74000E+02  4.72638E-05  8.291E-06  7.28699E-02  3.251E-04  9.08919E-06  3.636E-06
   1.78000E+02  4.13794E-05  1.343E-05  7.32742E-02  5.647E-04  9.80038E-06  6.534E-06
