#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  1.00000E+05  3.50000E+07   100
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.74500E+05  8.60368E-09  4.125E-11  5.89324E-07  3.931E-10  5.16523E-10  9.932E-12
   6.23500E+05  6.94599E-09  3.681E-11  2.59267E-07  2.347E-10  9.96657E-10  1.380E-11
   9.72500E+05  6.25115E-09  3.483E-11  9.47483E-08  1.382E-10  1.30740E-09  1.580E-11
   1.32150E+06  5.82779E-09  3.355E-11  6.89033E-08  1.169E-10  1.53505E-09  1.712E-11
   1.67050E+06  5.58161E-09  3.282E-11  5.36203E-08  1.026E-10  1.72770E-09  1.816E-11
   2.01950E+06  5.43319E-09  3.235E-11  4.34704E-08  9.215E-11  1.84685E-09  1.878E-11
   2.36850E+06  5.28873E-09  3.189E-11  3.63186E-08  8.405E-11  1.92832E-09  1.919E-11
   2.71750E+06  5.15435E-09  3.147E-11  3.10726E-08  7.762E-11  2.01127E-09  1.959E-11
   3.06650E+06  5.05836E-09  3.115E-11  2.69569E-08  7.222E-11  2.06433E-09  1.985E-11
   3.41550E+06  4.96633E-09  3.086E-11  2.36883E-08  6.762E-11  2.11657E-09  2.010E-11
   3.76450E+06  4.88873E-09  3.061E-11  2.10566E-08  6.369E-11  2.12502E-09  2.014E-11
   4.11350E+06  4.77383E-09  3.023E-11  1.89192E-08  6.034E-11  2.14331E-09  2.023E-11
   4.46250E+06  4.71404E-09  3.004E-11  1.69752E-08  5.713E-11  2.13849E-09  2.020E-11
   4.81150E+06  4.62502E-09  2.975E-11  1.55405E-08  5.463E-11  2.12818E-09  2.016E-11
   5.16050E+06  4.56619E-09  2.955E-11  1.41102E-08  5.203E-11  2.15368E-09  2.028E-11
   5.50950E+06  4.50201E-09  2.934E-11  1.30065E-08  4.995E-11  2.12221E-09  2.013E-11
   5.85850E+06  4.41466E-09  2.905E-11  1.20101E-08  4.799E-11  2.12856E-09  2.016E-11
   6.20750E+06  4.35721E-09  2.886E-11  1.11498E-08  4.623E-11  2.10110E-09  2.003E-11
   6.55650E+06  4.29293E-09  2.864E-11  1.03274E-08  4.447E-11  2.07149E-09  1.989E-11
