#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        1.00000e+05 3.50000e+07    100
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.74500E+05   8.86125E-08   1.462E-10   1.00168E-08   4.647E-11   7.78184E-08   1.350E-10   7.77316E-10   1.258E-11 
  6.23500E+05   5.35181E-08   1.050E-10   5.52412E-09   3.323E-11   4.70064E-08   9.715E-11   9.87488E-10   1.389E-11 
  9.72500E+05   1.47190E-08   5.440E-11   3.96810E-09   2.791E-11   9.71953E-09   4.382E-11   1.03133E-09   1.414E-11 
  1.32150E+06   1.10954E-08   4.686E-11   3.20148E-09   2.495E-11   6.87206E-09   3.663E-11   1.02187E-09   1.401E-11 
  1.67050E+06   9.11576E-09   4.232E-11   2.78333E-09   2.321E-11   5.30296E-09   3.208E-11   1.02947E-09   1.406E-11 
  2.01950E+06   7.85162E-09   3.919E-11   2.46375E-09   2.180E-11   4.35654E-09   2.904E-11   1.03133E-09   1.406E-11 
  2.36850E+06   7.02722E-09   3.703E-11   2.30301E-09   2.106E-11   3.68329E-09   2.666E-11   1.04093E-09   1.412E-11 
  2.71750E+06   6.38362E-09   3.524E-11   2.15840E-09   2.037E-11   3.18720E-09   2.479E-11   1.03801E-09   1.410E-11 
  3.06650E+06   5.94847E-09   3.400E-11   2.07736E-09   1.998E-11   2.82011E-09   2.331E-11   1.05100E-09   1.418E-11 
  3.41550E+06   5.50606E-09   3.267E-11   1.99594E-09   1.958E-11   2.47068E-09   2.179E-11   1.03945E-09   1.410E-11 
  3.76450E+06   5.27068E-09   3.194E-11   1.95755E-09   1.939E-11   2.25406E-09   2.080E-11   1.05907E-09   1.423E-11 
  4.11350E+06   5.03606E-09   3.123E-11   1.91800E-09   1.918E-11   2.04933E-09   1.984E-11   1.06872E-09   1.429E-11 
  4.46250E+06   4.81275E-09   3.052E-11   1.87116E-09   1.894E-11   1.87989E-09   1.899E-11   1.06170E-09   1.424E-11 
  4.81150E+06   4.67541E-09   3.005E-11   1.86471E-09   1.890E-11   1.74050E-09   1.828E-11   1.07020E-09   1.430E-11 
  5.16050E+06   4.52884E-09   2.957E-11   1.82808E-09   1.871E-11   1.61251E-09   1.758E-11   1.08825E-09   1.442E-11 
  5.50950E+06   4.39169E-09   2.912E-11   1.81977E-09   1.867E-11   1.50458E-09   1.698E-11   1.06734E-09   1.428E-11 
  5.85850E+06   4.28386E-09   2.876E-11   1.80263E-09   1.858E-11   1.41070E-09   1.645E-11   1.07053E-09   1.430E-11 
  6.20750E+06   4.19943E-09   2.845E-11   1.78873E-09   1.850E-11   1.33754E-09   1.601E-11   1.07316E-09   1.432E-11 
  6.55650E+06   4.12001E-09   2.819E-11   1.79881E-09   1.856E-11   1.25239E-09   1.549E-11   1.06882E-09   1.429E-11 
  6.90550E+06   4.04107E-09   2.791E-11   1.78820E-09   1.849E-11   1.19790E-09   1.514E-11   1.05497E-09   1.419E-11 
  7.25450E+06   3.95621E-09   2.761E-11   1.77588E-09   1.843E-11   1.11184E-09   1.459E-11   1.06848E-09   1.429E-11 
  7.60350E+06   3.88825E-09   2.737E-11   1.76433E-09   1.837E-11   1.06757E-09   1.429E-11   1.05635E-09   1.421E-11 
  7.95250E+06   3.86968E-09   2.729E-11   1.77326E-09   1.841E-11   1.02135E-09   1.398E-11   1.07507E-09   1.433E-11 
  8.30150E+06   3.78204E-09   2.698E-11   1.76213E-09   1.835E-11   9.62321E-10   1.356E-11   1.05759E-09   1.421E-11 
  8.65050E+06   3.74417E-09   2.685E-11   1.76853E-09   1.839E-11   9.29704E-10   1.333E-11   1.04594E-09   1.413E-11 
  8.99950E+06   3.68639E-09   2.664E-11   1.76839E-09   1.838E-11   8.79799E-10   1.297E-11   1.03820E-09   1.408E-11 
  9.34850E+06   3.65602E-09   2.653E-11   1.76022E-09   1.834E-11   8.56304E-10   1.280E-11   1.03949E-09   1.409E-11 
  9.69750E+06   3.60024E-09   2.632E-11   1.76433E-09   1.836E-11   8.12751E-10   1.247E-11   1.02316E-09   1.398E-11 
  1.00465E+07   3.58816E-09   2.628E-11   1.77727E-09   1.843E-11   7.92741E-10   1.231E-11   1.01815E-09   1.395E-11 
  1.03955E+07   3.54303E-09   2.610E-11   1.76399E-09   1.836E-11   7.67861E-10   1.211E-11   1.01117E-09   1.390E-11 
  1.07445E+07   3.49226E-09   2.593E-11   1.75917E-09   1.833E-11   7.35005E-10   1.185E-11   9.98090E-10   1.381E-11 
  1.10935E+07   3.44522E-09   2.574E-11   1.76886E-09   1.838E-11   7.00478E-10   1.157E-11   9.75883E-10   1.365E-11 
  1.14425E+07   3.42904E-09   2.569E-11   1.77794E-09   1.843E-11   6.73018E-10   1.134E-11   9.78080E-10   1.367E-11 
  1.17915E+07   3.39599E-09   2.556E-11   1.76910E-09   1.838E-11   6.63181E-10   1.126E-11   9.63706E-10   1.357E-11 
  1.21405E+07   3.35344E-09   2.541E-11   1.77096E-09   1.839E-11   6.38395E-10   1.104E-11   9.44078E-10   1.343E-11 
  1.24895E+07   3.31624E-09   2.527E-11   1.77011E-09   1.838E-11   6.29131E-10   1.096E-11   9.17001E-10   1.323E-11 
  1.28385E+07   3.28042E-09   2.514E-11   1.77397E-09   1.841E-11   5.97612E-10   1.069E-11   9.08835E-10   1.317E-11 
  1.31875E+07   3.22937E-09   2.494E-11   1.74943E-09   1.828E-11   5.91070E-10   1.063E-11   8.88873E-10   1.303E-11 
  1.35365E+07   3.20057E-09   2.483E-11   1.75817E-09   1.832E-11   5.74881E-10   1.048E-11   8.67526E-10   1.287E-11 
  1.38855E+07   3.17001E-09   2.474E-11   1.76566E-09   1.836E-11   5.62034E-10   1.036E-11   8.42311E-10   1.268E-11 
  1.42345E+07   3.10105E-09   2.447E-11   1.73185E-09   1.818E-11   5.40926E-10   1.017E-11   8.28271E-10   1.258E-11 
  1.45835E+07   3.08271E-09   2.433E-11   1.72889E-09   1.817E-11   5.28701E-10   1.005E-11   8.25119E-10   1.255E-11 
  1.49325E+07   3.01342E-09   2.403E-11   1.69847E-09   1.801E-11   5.12655E-10   9.895E-12   8.02292E-10   1.238E-11 
  1.52815E+07   2.95874E-09   2.376E-11   1.68357E-09   1.793E-11   5.02101E-10   9.793E-12   7.73066E-10   1.215E-11 
  1.56305E+07   2.89451E-09   2.350E-11   1.65396E-09   1.777E-11   4.87822E-10   9.652E-12   7.52722E-10   1.199E-11 
  1.59795E+07   2.85950E-09   2.336E-11   1.64823E-09   1.774E-11   4.83668E-10   9.611E-12   7.27603E-10   1.179E-11 
  1.63285E+07   2.80812E-09   2.315E-11   1.62536E-09   1.762E-11   4.66523E-10   9.439E-12   7.16237E-10   1.170E-11 
  1.66775E+07   2.76156E-09   2.296E-11   1.60382E-09   1.750E-11   4.67049E-10   9.445E-12   6.90688E-10   1.149E-11 
  1.70265E+07   2.69121E-09   2.266E-11   1.56285E-09   1.727E-11   4.58978E-10   9.363E-12   6.69389E-10   1.131E-11 
  1.73755E+07   2.62230E-09   2.237E-11   1.54198E-09   1.716E-11   4.32569E-10   9.089E-12   6.47755E-10   1.112E-11 
  1.77245E+07   2.58663E-09   2.222E-11   1.52302E-09   1.705E-11   4.35626E-10   9.121E-12   6.27985E-10   1.095E-11 
  1.80735E+07   2.51705E-09   2.192E-11   1.48859E-09   1.686E-11   4.17526E-10   8.930E-12   6.10936E-10   1.080E-11 
  1.84225E+07   2.46815E-09   2.170E-11   1.46328E-09   1.671E-11   4.10363E-10   8.853E-12   5.94508E-10   1.066E-11 
  1.87715E+07   2.38997E-09   2.136E-11   1.41839E-09   1.646E-11   4.07832E-10   8.826E-12   5.63754E-10   1.038E-11 
  1.91205E+07   2.36595E-09   2.125E-11   1.41003E-09   1.641E-11   4.05014E-10   8.795E-12   5.50907E-10   1.026E-11 
  1.94695E+07   2.29384E-09   2.093E-11   1.37727E-09   1.622E-11   3.93649E-10   8.671E-12   5.22923E-10   9.995E-12 
  1.98185E+07   2.24069E-09   2.068E-11   1.33415E-09   1.596E-11   3.95893E-10   8.696E-12   5.10649E-10   9.876E-12 
  2.01675E+07   2.18911E-09   2.044E-11   1.31399E-09   1.584E-11   3.88539E-10   8.614E-12   4.86581E-10   9.640E-12 
  2.05165E+07   2.10783E-09   2.006E-11   1.28276E-09   1.565E-11   3.69198E-10   8.397E-12   4.55874E-10   9.331E-12 
  2.08655E+07   2.07569E-09   1.991E-11   1.26032E-09   1.551E-11   3.68863E-10   8.394E-12   4.46514E-10   9.235E-12 
  2.12145E+07   2.01905E-09   1.963E-11   1.22436E-09   1.529E-11   3.70583E-10   8.413E-12   4.24117E-10   9.000E-12 
  2.15635E+07   1.95138E-09   1.930E-11   1.19780E-09   1.512E-11   3.57784E-10   8.267E-12   3.95798E-10   8.695E-12 
  2.19125E+07   1.90879E-09   1.909E-11   1.17808E-09   1.500E-11   3.57736E-10   8.266E-12   3.72970E-10   8.440E-12 
  2.22615E+07   1.82717E-09   1.868E-11   1.12751E-09   1.467E-11   3.50669E-10   8.184E-12   3.48997E-10   8.164E-12 
  2.26105E+07   1.79193E-09   1.850E-11   1.11055E-09   1.456E-11   3.44556E-10   8.112E-12   3.36819E-10   8.021E-12 
  2.29595E+07   1.72125E-09   1.813E-11   1.07001E-09   1.429E-11   3.37440E-10   8.028E-12   3.13801E-10   7.742E-12 
  2.33085E+07   1.67607E-09   1.789E-11   1.05162E-09   1.417E-11   3.35148E-10   8.001E-12   2.89303E-10   7.434E-12 
  2.36575E+07   1.62044E-09   1.759E-11   1.01786E-09   1.394E-11   3.32378E-10   7.968E-12   2.70201E-10   7.184E-12 
  2.40065E+07   1.54924E-09   1.720E-11   9.74164E-10   1.364E-11   3.28510E-10   7.921E-12   2.46562E-10   6.864E-12 
  2.43555E+07   1.48921E-09   1.686E-11   9.41929E-10   1.341E-11   3.24117E-10   7.868E-12   2.23161E-10   6.529E-12 
  2.47045E+07   1.44747E-09   1.662E-11   9.16046E-10   1.323E-11   3.26266E-10   7.894E-12   2.05158E-10   6.260E-12 
  2.50535E+07   1.38157E-09   1.624E-11   8.72684E-10   1.291E-11   3.26409E-10   7.896E-12   1.82474E-10   5.904E-12 
  2.54025E+07   1.31948E-09   1.587E-11   8.40210E-10   1.267E-11   3.14804E-10   7.754E-12   1.64470E-10   5.605E-12 
