#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  1.00000E+01  4.70418E-04  1.488E-04  1.05256E-02  7.037E-04  0.00000E+00  0.000E+00
   2.00000E+00  3.00000E+01  2.94012E-04  1.176E-04  1.05139E-02  7.033E-04  0.00000E+00  0.000E+00
   2.00000E+00  5.00000E+01  4.93939E-04  1.524E-04  1.06550E-02  7.080E-04  0.00000E+00  0.000E+00
   2.00000E+00  7.00000E+01  3.76335E-04  1.331E-04  1.01022E-02  6.894E-04  0.00000E+00  0.000E+00
   2.00000E+00  9.00000E+01  3.76335E-04  1.331E-04  1.02434E-02  6.942E-04  0.00000E+00  0.000E+00
   2.00000E+00  1.10000E+02  4.35137E-04  1.431E-04  1.04786E-02  7.021E-04  0.00000E+00  0.000E+00
   2.00000E+00  1.30000E+02  5.17460E-04  1.560E-04  1.08314E-02  7.138E-04  0.00000E+00  0.000E+00
   2.00000E+00  1.50000E+02  4.93939E-04  1.524E-04  1.06903E-02  7.091E-04  0.00000E+00  0.000E+00
   2.00000E+00  1.70000E+02  4.70418E-04  1.488E-04  1.07961E-02  7.126E-04  1.17605E-05  2.352E-05
   2.00000E+00  1.90000E+02  3.29293E-04  1.245E-04  9.84351E-03  6.805E-04  0.00000E+00  0.000E+00
   2.00000E+00  2.10000E+02  4.23377E-04  1.411E-04  1.05609E-02  7.048E-04  0.00000E+00  0.000E+00
   2.00000E+00  2.30000E+02  3.52814E-04  1.288E-04  1.10196E-02  7.200E-04  0.00000E+00  0.000E+00
   2.00000E+00  2.50000E+02  4.70418E-04  1.488E-04  1.03610E-02  6.981E-04  0.00000E+00  0.000E+00
   2.00000E+00  2.70000E+02  5.40981E-04  1.595E-04  9.92583E-03  6.833E-04  0.00000E+00  0.000E+00
   2.00000E+00  2.90000E+02  4.23377E-04  1.411E-04  1.01375E-02  6.906E-04  0.00000E+00  0.000E+00
   2.00000E+00  3.10000E+02  5.88023E-04  1.663E-04  1.05962E-02  7.060E-04  0.00000E+00  0.000E+00
   2.00000E+00  3.30000E+02  3.99856E-04  1.371E-04  1.02551E-02  6.946E-04  0.00000E+00  0.000E+00
   2.00000E+00  3.50000E+02  4.35137E-04  1.431E-04  1.06197E-02  7.068E-04  0.00000E+00  0.000E+00

   6.00000E+00  1.00000E+01  4.51551E-04  8.421E-05  1.05388E-02  4.068E-04  0.00000E+00  0.000E+00
   6.00000E+00  3.00000E+01  4.35845E-04  8.274E-05  1.07273E-02  4.105E-04  0.00000E+00  0.000E+00
   6.00000E+00  5.00000E+01  4.20139E-04  8.123E-05  1.04367E-02  4.049E-04  0.00000E+00  0.000E+00
   6.00000E+00  7.00000E+01  4.55477E-04  8.458E-05  1.06095E-02  4.082E-04  0.00000E+00  0.000E+00
   6.00000E+00  9.00000E+01  4.31918E-04  8.236E-05  1.08254E-02  4.123E-04  0.00000E+00  0.000E+00
   6.00000E+00  1.10000E+02  4.16212E-04  8.085E-05  1.06487E-02  4.090E-04  3.92653E-06  7.853E-06
   6.00000E+00  1.30000E+02  3.73020E-04  7.654E-05  1.04878E-02  4.059E-04  0.00000E+00  0.000E+00
   6.00000E+00  1.50000E+02  4.71184E-04  8.603E-05  1.08647E-02  4.131E-04  0.00000E+00  0.000E+00
   6.00000E+00  1.70000E+02  3.69094E-04  7.614E-05  1.06095E-02  4.082E-04  0.00000E+00  0.000E+00
   6.00000E+00  1.90000E+02  4.43698E-04  8.348E-05  1.07234E-02  4.104E-04  0.00000E+00  0.000E+00
   6.00000E+00  2.10000E+02  3.76947E-04  7.694E-05  1.09943E-02  4.155E-04  0.00000E+00  0.000E+00
   6.00000E+00  2.30000E+02  3.92653E-04  7.853E-05  1.08608E-02  4.130E-04  0.00000E+00  0.000E+00
   6.00000E+00  2.50000E+02  4.75110E-04  8.638E-05  1.02129E-02  4.005E-04  0.00000E+00  0.000E+00
   6.00000E+00  2.70000E+02  3.61241E-04  7.532E-05  1.07548E-02  4.110E-04  0.00000E+00  0.000E+00
   6.00000E+00  2.90000E+02  4.04433E-04  7.970E-05  1.06802E-02  4.096E-04  0.00000E+00  0.000E+00
   6.00000E+00  3.10000E+02  3.84800E-04  7.774E-05  1.07351E-02  4.106E-04  0.00000E+00  0.000E+00
   6.00000E+00  3.30000E+02  3.45535E-04  7.367E-05  1.05192E-02  4.065E-04  0.00000E+00  0.000E+00
   6.00000E+00  3.50000E+02  3.69094E-04  7.614E-05  1.10846E-02  4.172E-04  0.00000E+00  0.000E+00

   1.00000E+01  1.00000E+01  4.04175E-04  6.182E-05  1.10971E-02  3.239E-04  4.72719E-06  6.685E-06
   1.00000E+01  3.00000E+01  4.06539E-04  6.200E-05  1.08087E-02  3.197E-04  0.00000E+00  0.000E+00
   1.00000E+01  5.00000E+01  4.37265E-04  6.430E-05  1.05795E-02  3.163E-04  0.00000E+00  0.000E+00
   1.00000E+01  7.00000E+01  3.56903E-04  5.809E-05  1.06551E-02  3.174E-04  2.36360E-06  4.727E-06
   1.00000E+01  9.00000E+01  3.68721E-04  5.904E-05  1.09033E-02  3.211E-04  0.00000E+00  0.000E+00
   1.00000E+01  1.10000E+02  3.19085E-04  5.492E-05  1.06929E-02  3.179E-04  0.00000E+00  0.000E+00
   1.00000E+01  1.30000E+02  4.23084E-04  6.325E-05  1.10002E-02  3.225E-04  0.00000E+00  0.000E+00
   1.00000E+01  1.50000E+02  4.53810E-04  6.550E-05  1.09884E-02  3.223E-04  0.00000E+00  0.000E+00
   1.00000E+01  1.70000E+02  3.80539E-04  5.998E-05  1.09056E-02  3.211E-04  0.00000E+00  0.000E+00
   1.00000E+01  1.90000E+02  3.80539E-04  5.998E-05  1.07898E-02  3.194E-04  0.00000E+00  0.000E+00
   1.00000E+01  2.10000E+02  4.08902E-04  6.218E-05  1.05700E-02  3.161E-04  0.00000E+00  0.000E+00
   1.00000E+01  2.30000E+02  3.63994E-04  5.866E-05  1.08796E-02  3.208E-04  0.00000E+00  0.000E+00
   1.00000E+01  2.50000E+02  4.27811E-04  6.360E-05  1.08371E-02  3.201E-04  2.36360E-06  4.727E-06
   1.00000E+01  2.70000E+02  4.79810E-04  6.735E-05  1.06078E-02  3.167E-04  0.00000E+00  0.000E+00
   1.00000E+01  2.90000E+02  4.30174E-04  6.377E-05  1.09576E-02  3.219E-04  0.00000E+00  0.000E+00
   1.00000E+01  3.10000E+02  4.20720E-04  6.307E-05  1.06007E-02  3.166E-04  0.00000E+00  0.000E+00
   1.00000E+01  3.30000E+02  4.30174E-04  6.377E-05  1.09104E-02  3.212E-04  0.00000E+00  0.000E+00
   1.00000E+01  3.50000E+02  4.15993E-04  6.271E-05  1.07496E-02  3.188E-04  0.00000E+00  0.000E+00

   1.40000E+01  1.00000E+01  3.81725E-04  5.090E-05  1.10480E-02  2.738E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.00000E+01  4.27532E-04  5.386E-05  1.08936E-02  2.719E-04  0.00000E+00  0.000E+00
   1.40000E+01  5.00000E+01  4.10567E-04  5.278E-05  1.10073E-02  2.733E-04  0.00000E+00  0.000E+00
   1.40000E+01  7.00000E+01  4.36015E-04  5.440E-05  1.09411E-02  2.725E-04  0.00000E+00  0.000E+00
   1.40000E+01  9.00000E+01  4.37712E-04  5.450E-05  1.09106E-02  2.721E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.10000E+02  4.42801E-04  5.482E-05  1.09055E-02  2.720E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.30000E+02  3.56277E-04  4.917E-05  1.08868E-02  2.718E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.50000E+02  4.36015E-04  5.440E-05  1.11990E-02  2.757E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.70000E+02  3.88511E-04  5.135E-05  1.07579E-02  2.702E-04  1.69656E-06  3.393E-06
   1.40000E+01  1.90000E+02  4.17353E-04  5.322E-05  1.10972E-02  2.744E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.10000E+02  3.61367E-04  4.952E-05  1.09716E-02  2.729E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.30000E+02  3.69849E-04  5.010E-05  1.08529E-02  2.714E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.50000E+02  4.12263E-04  5.289E-05  1.09106E-02  2.721E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.70000E+02  3.74939E-04  5.044E-05  1.10632E-02  2.740E-04  1.69656E-06  3.393E-06
   1.40000E+01  2.90000E+02  4.05477E-04  5.246E-05  1.08817E-02  2.717E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.10000E+02  4.51284E-04  5.534E-05  1.08274E-02  2.711E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.30000E+02  4.07174E-04  5.257E-05  1.11549E-02  2.751E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.50000E+02  4.34318E-04  5.429E-05  1.09954E-02  2.732E-04  0.00000E+00  0.000E+00

   1.80000E+01  1.00000E+01  3.78535E-04  4.484E-05  1.11090E-02  2.429E-04  1.32819E-06  2.656E-06
   1.80000E+01  3.00000E+01  3.71894E-04  4.445E-05  1.13215E-02  2.452E-04  0.00000E+00  0.000E+00
   1.80000E+01  5.00000E+01  3.75879E-04  4.469E-05  1.09921E-02  2.416E-04  0.00000E+00  0.000E+00
   1.80000E+01  7.00000E+01  4.31663E-04  4.789E-05  1.11369E-02  2.432E-04  0.00000E+00  0.000E+00
   1.80000E+01  9.00000E+01  3.65253E-04  4.405E-05  1.11900E-02  2.438E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.10000E+02  3.94473E-04  4.578E-05  1.09470E-02  2.412E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.30000E+02  3.98458E-04  4.601E-05  1.09961E-02  2.417E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.50000E+02  3.78535E-04  4.484E-05  1.12020E-02  2.440E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.70000E+02  3.66581E-04  4.413E-05  1.09536E-02  2.412E-04  1.32819E-06  2.656E-06
   1.80000E+01  1.90000E+02  3.94473E-04  4.578E-05  1.10240E-02  2.420E-04  2.65639E-06  3.757E-06
   1.80000E+01  2.10000E+02  3.63925E-04  4.397E-05  1.09895E-02  2.416E-04  0.00000E+00  0.000E+00
   1.80000E+01  2.30000E+02  3.95801E-04  4.586E-05  1.10585E-02  2.424E-04  0.00000E+00  0.000E+00
   1.80000E+01  2.50000E+02  3.86504E-04  4.531E-05  1.11874E-02  2.438E-04  1.32819E-06  2.656E-06
   1.80000E+01  2.70000E+02  4.10412E-04  4.669E-05  1.08566E-02  2.402E-04  0.00000E+00  0.000E+00
   1.80000E+01  2.90000E+02  3.69238E-04  4.429E-05  1.10120E-02  2.419E-04  0.00000E+00  0.000E+00
   1.80000E+01  3.10000E+02  3.82520E-04  4.508E-05  1.11475E-02  2.434E-04  1.32819E-06  2.656E-06
   1.80000E+01  3.30000E+02  4.02442E-04  4.624E-05  1.11940E-02  2.439E-04  0.00000E+00  0.000E+00
   1.80000E+01  3.50000E+02  3.79863E-04  4.492E-05  1.08394E-02  2.400E-04  0.00000E+00  0.000E+00

   2.20000E+01  1.00000E+01  3.57179E-04  3.956E-05  1.11701E-02  2.212E-04  0.00000E+00  0.000E+00
   2.20000E+01  3.00000E+01  3.81283E-04  4.088E-05  1.14757E-02  2.242E-04  0.00000E+00  0.000E+00
   2.20000E+01  5.00000E+01  4.09770E-04  4.238E-05  1.10890E-02  2.204E-04  0.00000E+00  0.000E+00
   2.20000E+01  7.00000E+01  3.82379E-04  4.094E-05  1.13103E-02  2.226E-04  0.00000E+00  0.000E+00
   2.20000E+01  9.00000E+01  3.96622E-04  4.169E-05  1.13727E-02  2.233E-04  0.00000E+00  0.000E+00
   2.20000E+01  1.10000E+02  3.93335E-04  4.152E-05  1.14681E-02  2.242E-04  1.09564E-06  2.191E-06
   2.20000E+01  1.30000E+02  4.02100E-04  4.198E-05  1.11854E-02  2.214E-04  0.00000E+00  0.000E+00
   2.20000E+01  1.50000E+02  3.83474E-04  4.100E-05  1.12018E-02  2.216E-04  1.09564E-06  2.191E-06
   2.20000E+01  1.70000E+02  3.97717E-04  4.175E-05  1.14111E-02  2.237E-04  0.00000E+00  0.000E+00
   2.20000E+01  1.90000E+02  3.60466E-04  3.975E-05  1.13706E-02  2.232E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.10000E+02  3.58274E-04  3.963E-05  1.11985E-02  2.215E-04  1.09564E-06  2.191E-06
   2.20000E+01  2.30000E+02  3.75805E-04  4.058E-05  1.11536E-02  2.211E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.50000E+02  4.30587E-04  4.344E-05  1.10714E-02  2.203E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.70000E+02  3.93335E-04  4.152E-05  1.13103E-02  2.226E-04  1.09564E-06  2.191E-06
   2.20000E+01  2.90000E+02  3.82379E-04  4.094E-05  1.11931E-02  2.215E-04  1.09564E-06  2.191E-06
   2.20000E+01  3.10000E+02  3.90048E-04  4.134E-05  1.13738E-02  2.233E-04  0.00000E+00  0.000E+00
