#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  1.45000E+06   280
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.58929E+03  0.00000E+00  0.000E+00  1.54483E-11  1.092E-11  0.00000E+00  0.000E+00
   7.76786E+03  0.00000E+00  0.000E+00  4.84303E-09  1.940E-10  0.00000E+00  0.000E+00
   1.29464E+04  0.00000E+00  0.000E+00  2.81931E-10  4.667E-11  0.00000E+00  0.000E+00
   1.81250E+04  0.00000E+00  0.000E+00  4.78897E-10  6.082E-11  0.00000E+00  0.000E+00
   2.33036E+04  0.00000E+00  0.000E+00  8.78621E-10  8.238E-11  0.00000E+00  0.000E+00
   2.84821E+04  0.00000E+00  0.000E+00  2.62930E-08  4.515E-10  0.00000E+00  0.000E+00
   3.36607E+04  0.00000E+00  0.000E+00  9.18400E-09  2.664E-10  0.00000E+00  0.000E+00
   3.88393E+04  0.00000E+00  0.000E+00  1.71476E-09  1.151E-10  0.00000E+00  0.000E+00
   4.40179E+04  0.00000E+00  0.000E+00  2.13379E-09  1.284E-10  0.00000E+00  0.000E+00
   4.91964E+04  2.89655E-10  4.730E-11  2.52000E-09  1.397E-10  0.00000E+00  0.000E+00
   5.43750E+04  9.57793E-10  8.601E-11  3.35228E-09  1.610E-10  1.93103E-12  3.862E-12
   5.95536E+04  9.77103E-10  8.687E-11  3.95476E-09  1.749E-10  0.00000E+00  0.000E+00
   6.47321E+04  1.13738E-09  9.373E-11  5.28331E-09  2.022E-10  0.00000E+00  0.000E+00
   6.99107E+04  1.20303E-09  9.655E-11  7.31669E-09  2.378E-10  0.00000E+00  0.000E+00
   7.50893E+04  1.34014E-09  1.017E-10  9.76910E-09  2.747E-10  1.93103E-12  3.862E-12
   8.02679E+04  1.26483E-09  9.884E-11  1.39575E-08  3.284E-10  1.93103E-12  3.862E-12
   8.54464E+04  1.37103E-09  1.029E-10  1.92910E-08  3.861E-10  0.00000E+00  0.000E+00
   9.06250E+04  1.48883E-09  1.072E-10  2.59898E-08  4.482E-10  0.00000E+00  0.000E+00
   9.58036E+04  1.59697E-09  1.111E-10  3.50676E-08  5.206E-10  0.00000E+00  0.000E+00
   1.00982E+05  1.62979E-09  1.122E-10  4.52577E-08  5.913E-10  0.00000E+00  0.000E+00
   1.06161E+05  1.67807E-09  1.138E-10  5.75062E-08  6.667E-10  1.93103E-12  3.862E-12
   1.11339E+05  1.73986E-09  1.159E-10  7.13131E-08  7.424E-10  0.00000E+00  0.000E+00
   1.16518E+05  1.85572E-09  1.197E-10  8.61898E-08  8.159E-10  1.93103E-12  3.862E-12
   1.21696E+05  1.96772E-09  1.233E-10  1.01559E-07  8.858E-10  5.79310E-12  6.689E-12
   1.26875E+05  1.88662E-09  1.207E-10  1.12948E-07  9.340E-10  0.00000E+00  0.000E+00
   1.32054E+05  1.96000E-09  1.233E-10  1.20556E-07  9.649E-10  0.00000E+00  0.000E+00
   1.37232E+05  1.97352E-09  1.235E-10  1.25768E-07  9.857E-10  0.00000E+00  0.000E+00
   1.42411E+05  2.01600E-09  1.248E-10  1.30354E-07  1.003E-09  1.93103E-12  3.862E-12
   1.47589E+05  2.04110E-09  1.256E-10  1.35391E-07  1.023E-09  0.00000E+00  0.000E+00
   1.52768E+05  2.21876E-09  1.309E-10  1.39473E-07  1.038E-09  0.00000E+00  0.000E+00
   1.57946E+05  2.17821E-09  1.297E-10  1.42593E-07  1.049E-09  1.93103E-12  3.862E-12
   1.63125E+05  2.21103E-09  1.308E-10  1.46278E-07  1.063E-09  3.86207E-12  5.462E-12
   1.68304E+05  2.33076E-09  1.342E-10  1.49690E-07  1.075E-09  0.00000E+00  0.000E+00
   1.73482E+05  2.25159E-09  1.320E-10  1.52262E-07  1.084E-09  0.00000E+00  0.000E+00
   1.78661E+05  2.33076E-09  1.342E-10  1.55738E-07  1.097E-09  0.00000E+00  0.000E+00
   1.83839E+05  2.49876E-09  1.389E-10  1.58880E-07  1.108E-09  0.00000E+00  0.000E+00
   1.89018E+05  2.36552E-09  1.353E-10  1.62259E-07  1.119E-09  3.86207E-12  5.462E-12
   1.94196E+05  2.40800E-09  1.364E-10  1.64881E-07  1.128E-09  1.93103E-12  3.862E-12
   1.99375E+05  2.39641E-09  1.361E-10  1.68172E-07  1.139E-09  0.00000E+00  0.000E+00
   2.04554E+05  2.38676E-09  1.358E-10  1.70553E-07  1.147E-09  0.00000E+00  0.000E+00
   2.09732E+05  2.34621E-09  1.346E-10  1.74023E-07  1.159E-09  0.00000E+00  0.000E+00
   2.14911E+05  2.64359E-09  1.429E-10  1.75790E-07  1.165E-09  3.86207E-12  5.462E-12
   2.20089E+05  2.54703E-09  1.403E-10  1.78499E-07  1.174E-09  1.93103E-12  3.862E-12
   2.25268E+05  2.49297E-09  1.388E-10  1.81730E-07  1.184E-09  0.00000E+00  0.000E+00
   2.30446E+05  2.57021E-09  1.409E-10  1.84317E-07  1.193E-09  0.00000E+00  0.000E+00
   2.35625E+05  2.54317E-09  1.402E-10  1.85905E-07  1.198E-09  0.00000E+00  0.000E+00
   2.40804E+05  2.58566E-09  1.413E-10  1.88090E-07  1.205E-09  0.00000E+00  0.000E+00
   2.45982E+05  2.51807E-09  1.395E-10  1.89361E-07  1.209E-09  1.93103E-12  3.862E-12
   2.51161E+05  2.65131E-09  1.432E-10  1.93594E-07  1.222E-09  1.93103E-12  3.862E-12
   2.56339E+05  2.64166E-09  1.428E-10  1.93368E-07  1.222E-09  0.00000E+00  0.000E+00
   2.61518E+05  2.70924E-09  1.447E-10  1.97448E-07  1.234E-09  0.00000E+00  0.000E+00
   2.66696E+05  2.67448E-09  1.437E-10  1.98655E-07  1.238E-09  0.00000E+00  0.000E+00
   2.71875E+05  2.63586E-09  1.427E-10  1.99433E-07  1.241E-09  0.00000E+00  0.000E+00
   2.77054E+05  2.70345E-09  1.445E-10  2.02693E-07  1.251E-09  0.00000E+00  0.000E+00
   2.82232E+05  2.63393E-09  1.426E-10  2.03948E-07  1.255E-09  0.00000E+00  0.000E+00
   2.87411E+05  2.66097E-09  1.434E-10  2.06016E-07  1.261E-09  0.00000E+00  0.000E+00
   2.92589E+05  2.65324E-09  1.433E-10  2.08318E-07  1.268E-09  0.00000E+00  0.000E+00
   2.97768E+05  2.62234E-09  1.423E-10  2.09813E-07  1.272E-09  0.00000E+00  0.000E+00
