#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  4.38404E-04  3.385E-05  1.04531E-02  1.653E-04  6.53359E-07  1.307E-06
   6.00000E+00  4.09886E-04  1.891E-05  1.06841E-02  9.653E-05  2.18141E-07  4.363E-07
   1.00000E+01  4.06013E-04  1.460E-05  1.08074E-02  7.531E-05  5.25244E-07  5.252E-07
   1.40000E+01  4.08399E-04  1.241E-05  1.09614E-02  6.425E-05  1.88506E-07  2.666E-07
   1.80000E+01  3.85914E-04  1.067E-05  1.10643E-02  5.710E-05  4.42731E-07  3.615E-07
   2.20000E+01  3.89439E-04  9.737E-06  1.12779E-02  5.235E-05  3.04345E-07  2.722E-07
   2.60000E+01  3.69619E-04  8.770E-06  1.15244E-02  4.891E-05  2.60075E-07  2.326E-07
   3.00000E+01  3.50374E-04  7.995E-06  1.18347E-02  4.640E-05  2.28019E-07  2.039E-07
   3.40000E+01  3.30167E-04  7.338E-06  1.22007E-02  4.454E-05  2.03882E-07  1.824E-07
   3.80000E+01  3.12254E-04  6.801E-06  1.26698E-02  4.325E-05  1.48146E-07  1.481E-07
   4.20000E+01  2.87132E-04  6.256E-06  1.32176E-02  4.237E-05  2.38538E-07  1.803E-07
   4.60000E+01  2.65189E-04  5.798E-06  1.38596E-02  4.183E-05  3.16984E-08  6.340E-08
   5.00000E+01  2.40865E-04  5.355E-06  1.45309E-02  4.149E-05  2.38126E-07  1.684E-07
   5.40000E+01  2.18431E-04  4.963E-06  1.52468E-02  4.135E-05  1.97293E-07  1.491E-07
   5.80000E+01  1.97677E-04  4.611E-06  1.60316E-02  4.140E-05  1.34438E-07  1.202E-07
   6.20000E+01  1.76151E-04  4.266E-06  1.68852E-02  4.163E-05  1.29124E-07  1.155E-07
   6.60000E+01  1.50458E-04  3.876E-06  1.77339E-02  4.193E-05  4.99196E-08  7.060E-08
   7.00000E+01  1.27465E-04  3.517E-06  1.86248E-02  4.236E-05  9.70611E-08  9.706E-08
   7.40000E+01  1.11844E-04  3.258E-06  1.95200E-02  4.286E-05  2.37208E-08  4.744E-08
   7.80000E+01  9.57162E-05  2.989E-06  2.04663E-02  4.349E-05  2.33113E-08  4.662E-08
   8.20000E+01  8.25712E-05  2.758E-06  2.14379E-02  4.423E-05  2.30260E-08  4.605E-08
   8.60000E+01  6.82070E-05  2.497E-06  2.23572E-02  4.499E-05  0.00000E+00  0.000E+00
   9.00000E+01  6.48942E-05  2.433E-06  2.35270E-02  4.608E-05  0.00000E+00  0.000E+00
   9.40000E+01  7.40585E-05  2.602E-06  2.57804E-02  4.828E-05  2.28576E-08  4.572E-08
   9.80000E+01  9.46598E-05  2.953E-06  2.83899E-02  5.082E-05  0.00000E+00  0.000E+00
   1.02000E+02  1.20286E-04  3.349E-06  3.11505E-02  5.353E-05  0.00000E+00  0.000E+00
   1.06000E+02  1.48682E-04  3.756E-06  3.41934E-02  5.655E-05  0.00000E+00  0.000E+00
   1.10000E+02  1.80485E-04  4.185E-06  3.74931E-02  5.986E-05  0.00000E+00  0.000E+00
   1.14000E+02  2.19446E-04  4.681E-06  4.11203E-02  6.354E-05  0.00000E+00  0.000E+00
   1.18000E+02  2.57447E-04  5.157E-06  4.51612E-02  6.770E-05  2.58247E-08  5.165E-08
   1.22000E+02  3.00683E-04  5.687E-06  4.96187E-02  7.238E-05  5.37750E-08  7.605E-08
   1.26000E+02  3.42698E-04  6.215E-06  5.45240E-02  7.764E-05  0.00000E+00  0.000E+00
   1.30000E+02  3.91420E-04  6.826E-06  5.99717E-02  8.365E-05  0.00000E+00  0.000E+00
   1.34000E+02  4.44823E-04  7.510E-06  6.59386E-02  9.048E-05  0.00000E+00  0.000E+00
   1.38000E+02  5.02328E-04  8.275E-06  7.24479E-02  9.831E-05  3.40769E-08  6.815E-08
   1.42000E+02  5.69731E-04  9.186E-06  7.96407E-02  1.074E-04  7.40728E-08  1.048E-07
   1.46000E+02  6.26612E-04  1.011E-05  8.72509E-02  1.180E-04  4.07764E-08  8.155E-08
   1.50000E+02  6.94409E-04  1.125E-05  9.53146E-02  1.305E-04  1.36811E-07  1.580E-07
   1.54000E+02  7.57339E-04  1.255E-05  1.03984E-01  1.456E-04  5.20150E-08  1.040E-07
   1.58000E+02  8.38895E-04  1.429E-05  1.15868E-01  1.664E-04  6.08689E-08  1.217E-07
   1.62000E+02  9.13428E-04  1.642E-05  1.31288E-01  1.951E-04  7.37885E-08  1.476E-07
   1.66000E+02  9.89281E-04  1.931E-05  1.46149E-01  2.329E-04  2.82759E-07  3.265E-07
   1.70000E+02  1.01530E-03  2.309E-05  1.59394E-01  2.876E-04  3.93933E-07  4.549E-07
   1.74000E+02  1.11601E-03  3.120E-05  1.74327E-01  3.885E-04  0.00000E+00  0.000E+00
   1.78000E+02  1.09830E-03  5.357E-05  1.49637E+01  5.491E-03  0.00000E+00  0.000E+00
