#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  1.45000E+06   280
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.58929E+03  0.00000E+00  0.000E+00  5.79310E-12  6.689E-12  0.00000E+00  0.000E+00
   7.76786E+03  0.00000E+00  0.000E+00  3.92000E-10  5.530E-11  0.00000E+00  0.000E+00
   1.29464E+04  0.00000E+00  0.000E+00  4.38345E-10  5.819E-11  0.00000E+00  0.000E+00
   1.81250E+04  0.00000E+00  0.000E+00  8.82483E-10  8.274E-11  0.00000E+00  0.000E+00
   2.33036E+04  0.00000E+00  0.000E+00  1.76497E-09  1.170E-10  0.00000E+00  0.000E+00
   2.84821E+04  0.00000E+00  0.000E+00  9.55263E-08  8.633E-10  0.00000E+00  0.000E+00
   3.36607E+04  0.00000E+00  0.000E+00  3.15299E-08  4.941E-10  0.00000E+00  0.000E+00
   3.88393E+04  0.00000E+00  0.000E+00  5.94759E-10  6.778E-11  0.00000E+00  0.000E+00
   4.40179E+04  0.00000E+00  0.000E+00  7.70483E-10  7.714E-11  0.00000E+00  0.000E+00
   4.91964E+04  2.68414E-10  4.553E-11  9.90621E-10  8.747E-11  0.00000E+00  0.000E+00
   5.43750E+04  8.99862E-10  8.337E-11  1.25710E-09  9.854E-11  3.86207E-12  5.462E-12
   5.95536E+04  1.07945E-09  9.131E-11  1.55255E-09  1.095E-10  0.00000E+00  0.000E+00
   6.47321E+04  1.11034E-09  9.261E-11  1.93683E-09  1.224E-10  3.86207E-12  5.462E-12
   6.99107E+04  1.17214E-09  9.515E-11  2.39834E-09  1.361E-10  9.65517E-12  8.636E-12
   7.50893E+04  1.27641E-09  9.929E-11  3.09159E-09  1.545E-10  7.72414E-12  7.724E-12
   8.02679E+04  1.33241E-09  1.014E-10  3.71531E-09  1.694E-10  1.93103E-12  3.862E-12
