#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - DEPOSITED ENERGY SPECTRUM]
# detector number:  1
# Mean energy deposited: 5.22143e+05  +- 1.044e+02
# Units are 1/(eV*particle)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#       0.00000e+00  1.45000e+06      280
#
# deposited E (eV) :     prob     : +-2sigma
  2.58929E+03   2.55941E-07   1.405E-09 
  7.76786E+03   3.07179E-07   1.539E-09 
  1.29464E+04   3.04912E-07   1.533E-09 
  1.81250E+04   3.03018E-07   1.529E-09 
  2.33036E+04   3.02058E-07   1.526E-09 
  2.84821E+04   2.98889E-07   1.518E-09 
  3.36607E+04   3.03547E-07   1.530E-09 
  3.88393E+04   3.05677E-07   1.535E-09 
  4.40179E+04   3.05098E-07   1.534E-09 
  4.91964E+04   3.03734E-07   1.530E-09 
  5.43750E+04   3.01809E-07   1.526E-09 
  5.95536E+04   3.03288E-07   1.529E-09 
  6.47321E+04   3.01425E-07   1.525E-09 
  6.99107E+04   3.02624E-07   1.528E-09 
  7.50893E+04   3.03738E-07   1.530E-09 
  8.02679E+04   3.05337E-07   1.535E-09 
  8.54464E+04   3.08174E-07   1.542E-09 
  9.06250E+04   3.13695E-07   1.555E-09 
  9.58036E+04   3.15290E-07   1.559E-09 
  1.00982E+05   3.18221E-07   1.567E-09 
  1.06161E+05   3.21732E-07   1.575E-09 
  1.11339E+05   3.24373E-07   1.582E-09 
  1.16518E+05   3.25783E-07   1.585E-09 
  1.21696E+05   3.26005E-07   1.586E-09 
  1.26875E+05   3.31644E-07   1.599E-09 
  1.32054E+05   3.31640E-07   1.599E-09 
  1.37232E+05   3.34026E-07   1.605E-09 
  1.42411E+05   3.37325E-07   1.613E-09 
  1.47589E+05   3.56119E-07   1.657E-09 
  1.52768E+05   3.48882E-07   1.640E-09 
  1.57946E+05   3.56307E-07   1.657E-09 
  1.63125E+05   3.61430E-07   1.669E-09 
  1.68304E+05   3.67466E-07   1.683E-09 
  1.73482E+05   3.71340E-07   1.692E-09 
  1.78661E+05   3.75076E-07   1.700E-09 
  1.83839E+05   3.81273E-07   1.714E-09 
  1.89018E+05   3.83922E-07   1.720E-09 
  1.94196E+05   3.91544E-07   1.737E-09 
  1.99375E+05   3.98019E-07   1.752E-09 
  2.04554E+05   4.14047E-07   1.786E-09 
  2.09732E+05   4.61201E-07   1.885E-09 
  2.14911E+05   5.34170E-07   2.028E-09 
  2.20089E+05   5.58200E-07   2.073E-09 
  2.25268E+05   5.48545E-07   2.055E-09 
  2.30446E+05   5.31403E-07   2.023E-09 
  2.35625E+05   5.11201E-07   1.984E-09 
  2.40804E+05   4.91941E-07   1.947E-09 
  2.45982E+05   4.70226E-07   1.903E-09 
  2.51161E+05   4.50792E-07   1.864E-09 
  2.56339E+05   4.33326E-07   1.827E-09 
  2.61518E+05   4.17835E-07   1.795E-09 
  2.66696E+05   4.03482E-07   1.764E-09 
  2.71875E+05   3.89291E-07   1.732E-09 
  2.77054E+05   3.76847E-07   1.704E-09 
  2.82232E+05   3.65948E-07   1.680E-09 
  2.87411E+05   3.57344E-07   1.660E-09 
  2.92589E+05   3.48334E-07   1.639E-09 
  2.97768E+05   3.41894E-07   1.624E-09 
  3.02946E+05   3.35301E-07   1.608E-09 
  3.08125E+05   4.01927E-07   1.760E-09 
  3.13304E+05   3.27803E-07   1.590E-09 
  3.18482E+05   3.23174E-07   1.579E-09 
  3.23661E+05   3.18057E-07   1.566E-09 
  3.28839E+05   3.15180E-07   1.559E-09 
  3.34018E+05   3.13133E-07   1.554E-09 
  3.39196E+05   3.10960E-07   1.549E-09 
  3.44375E+05   3.09491E-07   1.545E-09 
  3.49554E+05   3.05766E-07   1.536E-09 
  3.54732E+05   3.05565E-07   1.535E-09 
  3.59911E+05   3.04856E-07   1.533E-09 
  3.65089E+05   3.05439E-07   1.535E-09 
  3.70268E+05   3.03265E-07   1.529E-09 
  3.75446E+05   3.04630E-07   1.533E-09 
  3.80625E+05   3.04831E-07   1.533E-09 
  3.85804E+05   3.04800E-07   1.533E-09 
  3.90982E+05   3.05177E-07   1.534E-09 
  3.96161E+05   3.05291E-07   1.534E-09 
  4.01339E+05   3.05492E-07   1.535E-09 
  4.06518E+05   3.05326E-07   1.534E-09 
  4.11696E+05   3.07851E-07   1.541E-09 
  4.16875E+05   3.06642E-07   1.538E-09 
  4.22054E+05   3.06679E-07   1.538E-09 
  4.27232E+05   3.09394E-07   1.545E-09 
  4.32411E+05   3.10425E-07   1.547E-09 
  4.37589E+05   3.09643E-07   1.545E-09 
  4.42768E+05   3.10483E-07   1.547E-09 
  4.47946E+05   3.11358E-07   1.550E-09 
  4.53125E+05   3.13364E-07   1.555E-09 
  4.58304E+05   3.11893E-07   1.551E-09 
  4.63482E+05   3.12451E-07   1.552E-09 
  4.68661E+05   3.15042E-07   1.559E-09 
  4.73839E+05   3.15952E-07   1.561E-09 
  4.79018E+05   3.15933E-07   1.561E-09 
  4.84196E+05   3.18014E-07   1.566E-09 
  4.89375E+05   3.18404E-07   1.567E-09 
  4.94554E+05   3.19677E-07   1.570E-09 
  4.99732E+05   3.20052E-07   1.571E-09 
