#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    45
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.00000E+00  4.00000E+00  1.46961E-05  2.939E-05  1.83701E-05  1.643E-05  0.00000E+00  0.000E+00
   1.00000E+00  1.20000E+01  0.00000E+00  0.000E+00  1.83701E-05  1.643E-05  0.00000E+00  0.000E+00
   1.00000E+00  2.00000E+01  5.90783E-03  1.176E-02  1.10221E-05  1.273E-05  0.00000E+00  0.000E+00
   1.00000E+00  2.80000E+01  0.00000E+00  0.000E+00  2.57182E-05  1.944E-05  0.00000E+00  0.000E+00
   1.00000E+00  3.60000E+01  5.87844E-03  1.176E-02  2.93922E-05  2.078E-05  0.00000E+00  0.000E+00
   1.00000E+00  4.40000E+01  1.17569E-02  1.663E-02  1.83701E-05  1.643E-05  0.00000E+00  0.000E+00
   1.00000E+00  5.20000E+01  5.87844E-03  1.176E-02  2.20441E-05  1.800E-05  0.00000E+00  0.000E+00
   1.00000E+00  6.00000E+01  1.46961E-05  2.939E-05  1.46961E-05  1.470E-05  0.00000E+00  0.000E+00
   1.00000E+00  6.80000E+01  5.89314E-03  1.176E-02  2.20441E-05  1.800E-05  0.00000E+00  0.000E+00
   1.00000E+00  7.60000E+01  5.87844E-03  1.176E-02  2.20441E-05  1.800E-05  0.00000E+00  0.000E+00
   1.00000E+00  8.40000E+01  1.17606E-02  1.663E-02  1.46961E-05  1.470E-05  0.00000E+00  0.000E+00
   1.00000E+00  9.20000E+01  5.89314E-03  1.176E-02  2.57182E-05  1.944E-05  0.00000E+00  0.000E+00
   1.00000E+00  1.00000E+02  1.46961E-05  2.939E-05  1.83701E-05  1.643E-05  0.00000E+00  0.000E+00
   1.00000E+00  1.08000E+02  1.17716E-02  1.663E-02  3.30662E-05  2.204E-05  0.00000E+00  0.000E+00
   1.00000E+00  1.16000E+02  0.00000E+00  0.000E+00  1.83701E-05  1.643E-05  0.00000E+00  0.000E+00
   1.00000E+00  1.24000E+02  0.00000E+00  0.000E+00  2.20441E-05  1.800E-05  0.00000E+00  0.000E+00
   1.00000E+00  1.32000E+02  5.87844E-03  1.176E-02  2.20441E-05  1.800E-05  0.00000E+00  0.000E+00
