#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  1.65000E+05   160
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   5.15625E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.54688E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.57812E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.60938E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.64062E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   5.67188E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.70312E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.73438E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   8.76562E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.79688E+03  8.15191E-08  1.192E-08  6.04924E-08  3.528E-10  0.00000E+00  0.000E+00
   1.08281E+04  2.70058E-07  2.175E-08  1.81007E-07  6.034E-10  0.00000E+00  0.000E+00
   1.18594E+04  2.78612E-07  2.211E-08  1.00531E-07  4.512E-10  0.00000E+00  0.000E+00
   1.28906E+04  2.62029E-07  2.138E-08  7.65612E-08  3.977E-10  0.00000E+00  0.000E+00
   1.39219E+04  2.42408E-07  2.053E-08  8.20788E-08  4.147E-10  0.00000E+00  0.000E+00
   1.49531E+04  2.57624E-07  2.120E-08  8.74836E-08  4.314E-10  0.00000E+00  0.000E+00
   1.59844E+04  2.56349E-07  2.118E-08  9.15603E-08  4.440E-10  0.00000E+00  0.000E+00
   1.70156E+04  2.54505E-07  2.111E-08  9.48045E-08  4.550E-10  0.00000E+00  0.000E+00
   1.80469E+04  2.53229E-07  2.116E-08  9.76694E-08  4.644E-10  0.00000E+00  0.000E+00
   1.90781E+04  2.49439E-07  2.098E-08  9.97061E-08  4.735E-10  0.00000E+00  0.000E+00
   2.01094E+04  2.76491E-07  2.228E-08  1.01185E-07  4.799E-10  0.00000E+00  0.000E+00
   2.11406E+04  2.62412E-07  2.168E-08  1.01586E-07  4.839E-10  0.00000E+00  0.000E+00
   2.21719E+04  2.47241E-07  2.104E-08  1.02557E-07  4.903E-10  0.00000E+00  0.000E+00
   2.32031E+04  2.54875E-07  2.146E-08  1.02082E-07  4.916E-10  0.00000E+00  0.000E+00
   2.42344E+04  2.94314E-07  2.323E-08  1.01576E-07  4.928E-10  0.00000E+00  0.000E+00
   2.52656E+04  2.87025E-07  2.301E-08  1.00451E-07  4.928E-10  0.00000E+00  0.000E+00
   2.62969E+04  2.75363E-07  2.253E-08  9.93855E-08  4.923E-10  0.00000E+00  0.000E+00
   2.73281E+04  2.92912E-07  2.333E-08  9.77561E-08  4.902E-10  0.00000E+00  0.000E+00
   2.83594E+04  2.88994E-07  2.321E-08  9.59488E-08  4.879E-10  0.00000E+00  0.000E+00
   2.93906E+04  3.02894E-07  2.383E-08  9.44827E-08  4.864E-10  0.00000E+00  0.000E+00
   3.04219E+04  3.11354E-07  2.420E-08  9.25382E-08  4.823E-10  0.00000E+00  0.000E+00
   3.14531E+04  3.04865E-07  2.401E-08  9.05636E-08  4.787E-10  0.00000E+00  0.000E+00
   3.24844E+04  3.13639E-07  2.434E-08  8.84627E-08  4.747E-10  0.00000E+00  0.000E+00
   3.35156E+04  3.35552E-07  2.521E-08  8.63482E-08  4.699E-10  0.00000E+00  0.000E+00
   3.45469E+04  3.55017E-07  2.600E-08  8.41564E-08  4.662E-10  0.00000E+00  0.000E+00
   3.55781E+04  3.50421E-07  2.580E-08  8.19639E-08  4.605E-10  0.00000E+00  0.000E+00
   3.66094E+04  3.63902E-07  2.630E-08  7.96945E-08  4.549E-10  0.00000E+00  0.000E+00
   3.76406E+04  3.69762E-07  2.653E-08  7.75924E-08  4.493E-10  0.00000E+00  0.000E+00
   3.86719E+04  3.76078E-07  2.680E-08  7.58100E-08  4.456E-10  0.00000E+00  0.000E+00
   3.97031E+04  3.80805E-07  2.697E-08  7.34521E-08  4.395E-10  0.00000E+00  0.000E+00
   4.07344E+04  4.01290E-07  2.768E-08  7.20615E-08  4.356E-10  0.00000E+00  0.000E+00
   4.17656E+04  4.26410E-07  2.855E-08  6.98694E-08  4.293E-10  0.00000E+00  0.000E+00
   4.27969E+04  4.23167E-07  2.848E-08  6.77461E-08  4.235E-10  0.00000E+00  0.000E+00
   4.38281E+04  4.20195E-07  2.835E-08  6.57558E-08  4.168E-10  0.00000E+00  0.000E+00
   4.48594E+04  4.50633E-07  2.937E-08  6.42658E-08  4.120E-10  0.00000E+00  0.000E+00
   4.58906E+04  4.63074E-07  2.979E-08  6.24409E-08  4.071E-10  0.00000E+00  0.000E+00
   4.69219E+04  4.72527E-07  3.013E-08  6.06867E-08  4.014E-10  0.00000E+00  0.000E+00
   4.79531E+04  4.91592E-07  3.072E-08  5.94306E-08  3.982E-10  0.00000E+00  0.000E+00
   4.89844E+04  4.91712E-07  3.076E-08  5.76736E-08  3.916E-10  0.00000E+00  0.000E+00
   5.00156E+04  5.19972E-07  3.165E-08  5.63794E-08  3.878E-10  0.00000E+00  0.000E+00
   5.10469E+04  5.27133E-07  3.184E-08  5.47794E-08  3.822E-10  0.00000E+00  0.000E+00
   5.20781E+04  5.42402E-07  3.234E-08  5.33809E-08  3.777E-10  0.00000E+00  0.000E+00
