#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.00000E+00  3.53172E-03  1.358E-03  2.03296E-05  2.577E-06  0.00000E+00  0.000E+00
   3.00000E+00  4.44874E-03  8.799E-04  2.12363E-05  1.526E-06  0.00000E+00  0.000E+00
   5.00000E+00  3.92840E-03  6.407E-04  2.06323E-05  1.173E-06  0.00000E+00  0.000E+00
   7.00000E+00  4.32566E-03  5.686E-04  2.06832E-05  9.859E-07  0.00000E+00  0.000E+00
   9.00000E+00  3.96922E-03  4.807E-04  2.15237E-05  8.936E-07  0.00000E+00  0.000E+00
   1.10000E+01  4.42563E-03  4.596E-04  2.25972E-05  8.288E-07  0.00000E+00  0.000E+00
   1.30000E+01  4.84944E-03  4.431E-04  2.39246E-05  7.838E-07  0.00000E+00  0.000E+00
   1.50000E+01  4.76230E-03  4.093E-04  2.54349E-05  7.563E-07  0.00000E+00  0.000E+00
   1.70000E+01  4.96464E-03  3.932E-04  2.70680E-05  7.332E-07  0.00000E+00  0.000E+00
   1.90000E+01  5.22288E-03  3.822E-04  2.83608E-05  7.127E-07  0.00000E+00  0.000E+00
   2.10000E+01  5.71258E-03  3.810E-04  3.06000E-05  7.036E-07  0.00000E+00  0.000E+00
   2.30000E+01  5.59598E-03  3.611E-04  3.24233E-05  6.952E-07  0.00000E+00  0.000E+00
   2.50000E+01  6.21613E-03  3.659E-04  3.43904E-05  6.897E-07  0.00000E+00  0.000E+00
   2.70000E+01  6.20353E-03  3.527E-04  3.65366E-05  6.839E-07  0.00000E+00  0.000E+00
   2.90000E+01  6.38872E-03  3.463E-04  3.81759E-05  6.767E-07  0.00000E+00  0.000E+00
   3.10000E+01  6.99234E-03  3.515E-04  4.05472E-05  6.784E-07  0.00000E+00  0.000E+00
   3.30000E+01  7.09815E-03  3.444E-04  4.14097E-05  6.663E-07  0.00000E+00  0.000E+00
   3.50000E+01  6.51768E-03  3.216E-04  4.35413E-05  6.639E-07  0.00000E+00  0.000E+00
   3.70000E+01  6.95490E-03  3.243E-04  4.53623E-05  6.632E-07  0.00000E+00  0.000E+00
   3.90000E+01  6.65847E-03  3.103E-04  4.68891E-05  6.584E-07  0.00000E+00  0.000E+00
   4.10000E+01  6.45336E-03  2.992E-04  4.78059E-05  6.510E-07  0.00000E+00  0.000E+00
   4.30000E+01  6.93401E-03  3.042E-04  4.97923E-05  6.514E-07  0.00000E+00  0.000E+00
   4.50000E+01  6.40378E-03  2.871E-04  5.36706E-05  6.641E-07  0.00000E+00  0.000E+00
   4.70000E+01  6.84979E-03  2.919E-04  9.05261E-05  8.423E-07  0.00000E+00  0.000E+00
   4.90000E+01  6.71371E-03  2.845E-04  1.37715E-04  1.018E-06  0.00000E+00  0.000E+00
   5.10000E+01  6.92283E-03  2.847E-04  1.83231E-04  1.150E-06  0.00000E+00  0.000E+00
   5.30000E+01  7.34621E-03  2.893E-04  2.28154E-04  1.258E-06  0.00000E+00  0.000E+00
   5.50000E+01  7.90610E-03  2.963E-04  2.69016E-04  1.340E-06  0.00000E+00  0.000E+00
   5.70000E+01  8.90439E-03  3.107E-04  3.06831E-04  1.407E-06  0.00000E+00  0.000E+00
   5.90000E+01  9.76138E-03  3.217E-04  3.42909E-04  1.460E-06  0.00000E+00  0.000E+00
   6.10000E+01  1.04001E-02  3.287E-04  3.76693E-04  1.508E-06  0.00000E+00  0.000E+00
   6.30000E+01  1.15324E-02  3.429E-04  4.11255E-04  1.551E-06  0.00000E+00  0.000E+00
   6.50000E+01  1.25498E-02  3.546E-04  4.43352E-04  1.586E-06  0.00000E+00  0.000E+00
   6.70000E+01  1.37010E-02  3.676E-04  4.73025E-04  1.615E-06  0.00000E+00  0.000E+00
   6.90000E+01  1.51920E-02  3.843E-04  5.02900E-04  1.644E-06  0.00000E+00  0.000E+00
   7.10000E+01  1.64213E-02  3.970E-04  5.34220E-04  1.674E-06  0.00000E+00  0.000E+00
   7.30000E+01  1.81843E-02  4.153E-04  5.62332E-04  1.697E-06  0.00000E+00  0.000E+00
   7.50000E+01  1.94010E-02  4.267E-04  5.85946E-04  1.713E-06  0.00000E+00  0.000E+00
   7.70000E+01  2.12480E-02  4.446E-04  6.11858E-04  1.732E-06  0.00000E+00  0.000E+00
   7.90000E+01  2.25598E-02  4.563E-04  6.34395E-04  1.748E-06  0.00000E+00  0.000E+00
   8.10000E+01  2.46073E-02  4.750E-04  6.60112E-04  1.768E-06  0.00000E+00  0.000E+00
   8.30000E+01  2.67942E-02  4.943E-04  6.80140E-04  1.782E-06  0.00000E+00  0.000E+00
   8.50000E+01  2.83432E-02  5.073E-04  7.00465E-04  1.797E-06  0.00000E+00  0.000E+00
   8.70000E+01  3.06951E-02  5.272E-04  7.18240E-04  1.809E-06  0.00000E+00  0.000E+00
   8.90000E+01  3.29536E-02  5.458E-04  7.23603E-04  1.812E-06  0.00000E+00  0.000E+00
   9.10000E+01  3.47807E-02  5.606E-04  7.23399E-04  1.814E-06  0.00000E+00  0.000E+00
   9.30000E+01  3.72183E-02  5.801E-04  7.49586E-04  1.837E-06  0.00000E+00  0.000E+00
   9.50000E+01  3.98164E-02  6.006E-04  7.74933E-04  1.859E-06  0.00000E+00  0.000E+00
   9.70000E+01  4.28088E-02  6.237E-04  8.01973E-04  1.886E-06  0.00000E+00  0.000E+00
   9.90000E+01  4.47888E-02  6.394E-04  8.28379E-04  1.912E-06  0.00000E+00  0.000E+00
   1.01000E+02  4.70617E-02  6.573E-04  8.53630E-04  1.936E-06  0.00000E+00  0.000E+00
   1.03000E+02  5.04787E-02  6.831E-04  8.79778E-04  1.965E-06  0.00000E+00  0.000E+00
   1.05000E+02  5.32391E-02  7.043E-04  9.03898E-04  1.993E-06  0.00000E+00  0.000E+00
   1.07000E+02  5.52756E-02  7.212E-04  9.26560E-04  2.022E-06  0.00000E+00  0.000E+00
   1.09000E+02  5.82007E-02  7.440E-04  9.50108E-04  2.053E-06  0.00000E+00  0.000E+00
   1.11000E+02  6.10857E-02  7.669E-04  9.74947E-04  2.087E-06  0.00000E+00  0.000E+00
   1.13000E+02  6.35981E-02  7.880E-04  9.98003E-04  2.122E-06  0.00000E+00  0.000E+00
   1.15000E+02  6.61519E-02  8.098E-04  1.02771E-03  2.163E-06  0.00000E+00  0.000E+00
   1.17000E+02  7.02930E-02  8.417E-04  1.05182E-03  2.200E-06  0.00000E+00  0.000E+00
   1.19000E+02  7.25530E-02  8.629E-04  1.08098E-03  2.248E-06  0.00000E+00  0.000E+00
   1.21000E+02  7.64790E-02  8.948E-04  1.11095E-03  2.298E-06  0.00000E+00  0.000E+00
   1.23000E+02  7.96709E-02  9.231E-04  1.14556E-03  2.353E-06  0.00000E+00  0.000E+00
