#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  1.65000E+05   160
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   5.15625E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   1.54688E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.57812E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.60938E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   4.64062E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   5.67188E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   6.70312E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   7.73438E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   8.76562E+03  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   9.79688E+03  3.76718E-08  8.286E-09  2.09303E-08  1.984E-10  0.00000E+00  0.000E+00
   1.08281E+04  1.35942E-07  1.585E-08  6.05185E-08  3.384E-10  0.00000E+00  0.000E+00
   1.18594E+04  1.36432E-07  1.585E-08  3.86927E-08  2.865E-10  0.00000E+00  0.000E+00
   1.28906E+04  1.41780E-07  1.617E-08  3.20921E-08  2.675E-10  0.00000E+00  0.000E+00
   1.39219E+04  1.36573E-07  1.587E-08  3.29655E-08  2.692E-10  0.00000E+00  0.000E+00
   1.49531E+04  1.43790E-07  1.637E-08  3.42124E-08  2.733E-10  0.00000E+00  0.000E+00
   1.59844E+04  1.39462E-07  1.608E-08  3.51327E-08  2.749E-10  0.00000E+00  0.000E+00
   1.70156E+04  1.46896E-07  1.654E-08  3.59079E-08  2.763E-10  0.00000E+00  0.000E+00
   1.80469E+04  1.61553E-07  1.740E-08  3.65982E-08  2.784E-10  0.00000E+00  0.000E+00
   1.90781E+04  1.51260E-07  1.682E-08  3.69639E-08  2.786E-10  0.00000E+00  0.000E+00
   2.01094E+04  1.58252E-07  1.724E-08  3.75312E-08  2.797E-10  0.00000E+00  0.000E+00
   2.11406E+04  1.46256E-07  1.657E-08  3.73333E-08  2.786E-10  0.00000E+00  0.000E+00
   2.21719E+04  1.62129E-07  1.751E-08  3.77861E-08  2.796E-10  0.00000E+00  0.000E+00
   2.32031E+04  1.67819E-07  1.783E-08  3.77579E-08  2.801E-10  0.00000E+00  0.000E+00
   2.42344E+04  1.79164E-07  1.845E-08  3.75412E-08  2.784E-10  0.00000E+00  0.000E+00
   2.52656E+04  1.66162E-07  1.777E-08  3.73888E-08  2.783E-10  0.00000E+00  0.000E+00
   2.62969E+04  1.65958E-07  1.777E-08  3.72039E-08  2.778E-10  0.00000E+00  0.000E+00
   2.73281E+04  1.66566E-07  1.783E-08  3.62367E-08  2.740E-10  0.00000E+00  0.000E+00
   2.83594E+04  1.95885E-07  1.937E-08  3.61470E-08  2.744E-10  0.00000E+00  0.000E+00
   2.93906E+04  2.09240E-07  2.004E-08  3.56930E-08  2.728E-10  0.00000E+00  0.000E+00
   3.04219E+04  2.00411E-07  1.961E-08  3.47530E-08  2.687E-10  0.00000E+00  0.000E+00
   3.14531E+04  2.19170E-07  2.057E-08  3.42264E-08  2.665E-10  0.00000E+00  0.000E+00
   3.24844E+04  2.18573E-07  2.050E-08  3.35248E-08  2.643E-10  0.00000E+00  0.000E+00
   3.35156E+04  2.33979E-07  2.122E-08  3.27918E-08  2.614E-10  0.00000E+00  0.000E+00
   3.45469E+04  2.14489E-07  2.032E-08  3.20758E-08  2.593E-10  0.00000E+00  0.000E+00
   3.55781E+04  2.19776E-07  2.061E-08  3.16458E-08  2.579E-10  0.00000E+00  0.000E+00
   3.66094E+04  2.38684E-07  2.144E-08  3.07933E-08  2.544E-10  0.00000E+00  0.000E+00
   3.76406E+04  2.70622E-07  2.284E-08  3.02312E-08  2.529E-10  0.00000E+00  0.000E+00
   3.86719E+04  2.53578E-07  2.211E-08  2.92885E-08  2.485E-10  0.00000E+00  0.000E+00
   3.97031E+04  2.40342E-07  2.157E-08  2.85067E-08  2.459E-10  0.00000E+00  0.000E+00
   4.07344E+04  2.59248E-07  2.236E-08  2.78212E-08  2.419E-10  0.00000E+00  0.000E+00
   4.17656E+04  2.54825E-07  2.217E-08  2.73470E-08  2.414E-10  0.00000E+00  0.000E+00
   4.27969E+04  2.79998E-07  2.325E-08  2.64609E-08  2.373E-10  0.00000E+00  0.000E+00
   4.38281E+04  2.83817E-07  2.341E-08  2.59030E-08  2.344E-10  0.00000E+00  0.000E+00
   4.48594E+04  2.81365E-07  2.331E-08  2.52406E-08  2.321E-10  0.00000E+00  0.000E+00
   4.58906E+04  3.15751E-07  2.470E-08  2.44809E-08  2.284E-10  0.00000E+00  0.000E+00
   4.69219E+04  3.00217E-07  2.408E-08  2.39588E-08  2.263E-10  0.00000E+00  0.000E+00
   4.79531E+04  3.37475E-07  2.554E-08  2.35539E-08  2.245E-10  0.00000E+00  0.000E+00
   4.89844E+04  3.03414E-07  2.422E-08  2.31633E-08  2.226E-10  0.00000E+00  0.000E+00
   5.00156E+04  3.00460E-07  2.414E-08  2.22930E-08  2.173E-10  0.00000E+00  0.000E+00
   5.10469E+04  3.08171E-07  2.441E-08  2.17645E-08  2.158E-10  0.00000E+00  0.000E+00
   5.20781E+04  3.47391E-07  2.592E-08  2.14082E-08  2.144E-10  0.00000E+00  0.000E+00
