#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 1.65000e+05    160
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  5.15625E+02   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  1.54688E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  2.57812E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  3.60938E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  4.64062E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  5.67188E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  6.70312E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  7.73438E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  8.76562E+03   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00   0.00000E+00   0.000E+00 
  9.79688E+03   6.26127E-08   7.941E-09   3.60779E-08   7.938E-09   2.65348E-08   2.168E-10   0.00000E+00   0.000E+00 
  1.08281E+04   2.01152E-07   1.455E-08   1.21167E-07   1.455E-08   7.99845E-08   3.681E-10   0.00000E+00   0.000E+00 
  1.18594E+04   1.64870E-07   1.445E-08   1.19327E-07   1.445E-08   4.55430E-08   2.827E-10   0.00000E+00   0.000E+00 
  1.28906E+04   1.47232E-07   1.395E-08   1.12427E-07   1.395E-08   3.48042E-08   2.504E-10   0.00000E+00   0.000E+00 
  1.39219E+04   1.53275E-07   1.422E-08   1.16202E-07   1.422E-08   3.70727E-08   2.596E-10   0.00000E+00   0.000E+00 
  1.49531E+04   1.55079E-07   1.422E-08   1.15924E-07   1.422E-08   3.91545E-08   2.681E-10   0.00000E+00   0.000E+00 
  1.59844E+04   1.50155E-07   1.382E-08   1.09791E-07   1.382E-08   4.03639E-08   2.737E-10   0.00000E+00   0.000E+00 
  1.70156E+04   1.53375E-07   1.399E-08   1.11968E-07   1.399E-08   4.14067E-08   2.786E-10   0.00000E+00   0.000E+00 
  1.80469E+04   1.56764E-07   1.419E-08   1.14608E-07   1.419E-08   4.21555E-08   2.822E-10   0.00000E+00   0.000E+00 
  1.90781E+04   1.52928E-07   1.396E-08   1.10521E-07   1.395E-08   4.24070E-08   2.847E-10   0.00000E+00   0.000E+00 
  2.01094E+04   1.53450E-07   1.399E-08   1.10720E-07   1.399E-08   4.27303E-08   2.873E-10   0.00000E+00   0.000E+00 
  2.11406E+04   1.59344E-07   1.448E-08   1.17208E-07   1.448E-08   4.21355E-08   2.857E-10   0.00000E+00   0.000E+00 
  2.21719E+04   1.60903E-07   1.461E-08   1.18811E-07   1.461E-08   4.20918E-08   2.875E-10   0.00000E+00   0.000E+00 
  2.32031E+04   1.60452E-07   1.468E-08   1.19222E-07   1.467E-08   4.12303E-08   2.852E-10   0.00000E+00   0.000E+00 
  2.42344E+04   1.66275E-07   1.512E-08   1.25268E-07   1.512E-08   4.10073E-08   2.864E-10   0.00000E+00   0.000E+00 
  2.52656E+04   1.67149E-07   1.527E-08   1.27061E-07   1.527E-08   4.00882E-08   2.843E-10   0.00000E+00   0.000E+00 
  2.62969E+04   1.56878E-07   1.471E-08   1.17649E-07   1.471E-08   3.92294E-08   2.815E-10   0.00000E+00   0.000E+00 
  2.73281E+04   1.67658E-07   1.549E-08   1.29268E-07   1.548E-08   3.83894E-08   2.795E-10   0.00000E+00   0.000E+00 
  2.83594E+04   1.70072E-07   1.573E-08   1.32711E-07   1.573E-08   3.73606E-08   2.763E-10   0.00000E+00   0.000E+00 
  2.93906E+04   1.67692E-07   1.567E-08   1.31419E-07   1.567E-08   3.62730E-08   2.725E-10   0.00000E+00   0.000E+00 
  3.04219E+04   1.51542E-07   1.474E-08   1.16341E-07   1.474E-08   3.52009E-08   2.691E-10   0.00000E+00   0.000E+00 
  3.14531E+04   1.67561E-07   1.582E-08   1.32984E-07   1.581E-08   3.45773E-08   2.680E-10   0.00000E+00   0.000E+00 
  3.24844E+04   1.68441E-07   1.597E-08   1.35176E-07   1.596E-08   3.32648E-08   2.625E-10   0.00000E+00   0.000E+00 
  3.35156E+04   1.95523E-07   1.759E-08   1.63098E-07   1.759E-08   3.24245E-08   2.602E-10   0.00000E+00   0.000E+00 
  3.45469E+04   1.81096E-07   1.685E-08   1.49792E-07   1.685E-08   3.13045E-08   2.566E-10   0.00000E+00   0.000E+00 
  3.55781E+04   1.89333E-07   1.737E-08   1.58851E-07   1.737E-08   3.04827E-08   2.536E-10   0.00000E+00   0.000E+00 
  3.66094E+04   1.82544E-07   1.705E-08   1.52882E-07   1.704E-08   2.96615E-08   2.499E-10   0.00000E+00   0.000E+00 
  3.76406E+04   1.91186E-07   1.759E-08   1.62554E-07   1.759E-08   2.86318E-08   2.455E-10   0.00000E+00   0.000E+00 
  3.86719E+04   2.04896E-07   1.842E-08   1.77032E-07   1.842E-08   2.78636E-08   2.431E-10   0.00000E+00   0.000E+00 
  3.97031E+04   1.96485E-07   1.799E-08   1.69669E-07   1.798E-08   2.68164E-08   2.385E-10   0.00000E+00   0.000E+00 
  4.07344E+04   1.91369E-07   1.775E-08   1.65235E-07   1.775E-08   2.61342E-08   2.354E-10   0.00000E+00   0.000E+00 
