#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    24
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  7.50000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  2.25000E+01  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  3.75000E+01  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  5.25000E+01  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  6.75000E+01  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  8.25000E+01  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  9.75000E+01  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  1.12500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  1.27500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  1.42500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  1.57500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  1.72500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  1.87500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  2.02500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  2.17500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  2.32500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.00000E+00  2.47500E+02  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
