#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 6.10000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.54167E+04   3.31176E-10   1.507E-11   0.00000E+00   0.000E+00   3.31176E-10   1.507E-11   0.00000E+00   0.000E+00 
  7.62500E+04   7.28994E-09   7.144E-11   2.10406E-11   3.794E-12   7.26838E-09   7.132E-11   5.13186E-13   5.926E-13 
  1.27083E+05   1.90683E-09   3.632E-11   1.09172E-09   2.749E-11   7.92188E-10   2.336E-11   2.29223E-11   3.960E-12 
  1.77917E+05   6.73813E-09   7.003E-11   1.15330E-09   2.817E-11   5.56242E-09   6.387E-11   2.24091E-11   3.916E-12 
  2.28750E+05   2.02517E-08   1.302E-10   1.14851E-09   2.813E-11   1.90734E-08   1.269E-10   2.97648E-11   4.513E-12 
  2.79583E+05   3.43321E-08   1.863E-10   1.05802E-09   2.696E-11   3.32404E-08   1.841E-10   3.36992E-11   4.802E-12 
  3.30417E+05   4.28370E-08   2.240E-10   9.77448E-10   2.596E-11   4.18260E-08   2.223E-10   3.35282E-11   4.790E-12 
  3.81250E+05   4.66389E-08   2.472E-10   8.54968E-10   2.422E-11   4.57497E-08   2.458E-10   3.42124E-11   4.838E-12 
  4.32083E+05   4.76308E-08   2.587E-10   7.79359E-10   2.314E-11   4.68108E-08   2.576E-10   4.07128E-11   5.278E-12 
  4.82917E+05   4.68924E-08   2.631E-10   6.73642E-10   2.151E-11   4.61753E-08   2.621E-10   4.34498E-11   5.452E-12 
  5.33750E+05   5.49624E-08   2.778E-10   6.18731E-10   2.058E-11   5.43036E-08   2.768E-10   4.00285E-11   5.233E-12 
  5.84583E+05   4.26136E-08   2.603E-10   5.65360E-10   1.968E-11   4.20135E-08   2.595E-10   3.47256E-11   4.898E-12 
  6.35417E+05   4.02264E-08   2.552E-10   5.14555E-10   1.877E-11   3.96681E-08   2.544E-10   4.37919E-11   5.495E-12 
  6.86250E+05   3.80493E-08   2.504E-10   4.73500E-10   1.806E-11   3.75325E-08   2.497E-10   4.32787E-11   5.442E-12 
  7.37083E+05   3.61461E-08   2.462E-10   4.24234E-10   1.704E-11   3.56781E-08   2.455E-10   4.37919E-11   5.474E-12 
  7.87917E+05   3.41611E-08   2.413E-10   4.07983E-10   1.672E-11   3.37180E-08   2.406E-10   3.50677E-11   4.898E-12 
  8.38750E+05   3.20488E-08   2.348E-10   3.69152E-10   1.590E-11   3.16482E-08   2.342E-10   3.14754E-11   4.641E-12 
  8.89583E+05   3.01013E-08   2.291E-10   3.53585E-10   1.556E-11   2.97143E-08   2.285E-10   3.33571E-11   4.777E-12 
  9.40417E+05   2.85526E-08   2.239E-10   3.37847E-10   1.522E-11   2.81751E-08   2.233E-10   3.96864E-11   5.211E-12 
