#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  7.10000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.53571E+04  0.00000E+00  0.000E+00  1.49824E-08  3.950E-11  0.00000E+00  0.000E+00
   7.60714E+04  3.32639E-12  4.801E-13  7.01097E-08  1.230E-10  8.57318E-14  7.668E-14
   1.26786E+05  1.78742E-10  4.081E-12  6.05114E-08  1.095E-10  3.78935E-12  5.870E-13
   1.77500E+05  1.55816E-10  3.901E-12  5.92119E-08  1.095E-10  4.11513E-12  6.542E-13
   2.28214E+05  1.23884E-10  3.405E-12  5.02163E-08  9.755E-11  4.76669E-12  6.506E-13
   2.78929E+05  9.85762E-11  2.990E-12  3.49080E-08  7.452E-11  3.82364E-12  5.603E-13
   3.29643E+05  7.87207E-11  2.647E-12  2.00090E-08  5.043E-11  3.63503E-12  5.356E-13
   3.80357E+05  6.54820E-11  2.357E-12  1.08831E-08  3.377E-11  3.73791E-12  5.635E-13
   4.31071E+05  5.22964E-11  2.098E-12  5.74602E-09  2.281E-11  3.66932E-12  5.508E-13
   4.81786E+05  4.22315E-11  1.851E-12  3.01634E-09  1.567E-11  3.22352E-12  5.223E-13
   5.32500E+05  3.44813E-11  1.650E-12  3.62376E-09  2.288E-11  2.81200E-12  4.626E-13
   5.83214E+05  2.89431E-11  1.495E-12  6.86849E-10  7.036E-12  2.40049E-12  4.365E-13
   6.33929E+05  2.52566E-11  1.404E-12  3.55907E-10  5.015E-12  2.34905E-12  4.214E-13
   6.84643E+05  2.03013E-11  1.257E-12  1.85575E-10  3.594E-12  1.81751E-12  3.757E-13
   7.35357E+05  1.71464E-11  1.126E-12  9.58996E-11  2.583E-12  1.83466E-12  3.925E-13
   7.86071E+05  1.56203E-11  1.080E-12  5.05132E-11  1.876E-12  1.68034E-12  3.497E-13
   8.36786E+05  1.38200E-11  1.017E-12  2.98175E-11  1.434E-12  1.32027E-12  3.124E-13
   8.87500E+05  1.06822E-11  8.869E-13  1.75922E-11  1.099E-12  1.32027E-12  3.086E-13
   9.38214E+05  1.08022E-11  9.007E-13  1.15395E-11  8.908E-13  1.08022E-12  2.849E-13
   9.88929E+05  9.41335E-12  8.350E-13  7.49296E-12  7.184E-13  9.43050E-13  2.722E-13
   1.03964E+06  7.63013E-12  7.473E-13  4.74954E-12  5.728E-13  9.25904E-13  2.612E-13
   1.09036E+06  6.56706E-12  6.918E-13  4.33803E-12  5.454E-13  7.88733E-13  2.473E-13
   1.14107E+06  5.26393E-12  6.105E-13  2.96632E-12  4.510E-13  6.85855E-13  2.169E-13
   1.19179E+06  4.38947E-12  5.676E-13  2.24617E-12  3.925E-13  7.88733E-13  2.473E-13
   1.24250E+06  4.50949E-12  5.789E-13  1.85181E-12  3.564E-13  3.77220E-13  1.680E-13
   1.29321E+06  3.73791E-12  5.155E-13  1.38886E-12  3.086E-13  3.25781E-13  1.571E-13
   1.34393E+06  3.53215E-12  4.993E-13  1.21739E-12  2.890E-13  2.74342E-13  1.455E-13
   1.39464E+06  3.36069E-12  4.922E-13  1.18310E-12  2.849E-13  3.42927E-13  1.608E-13
   1.44536E+06  3.08635E-12  4.677E-13  8.23025E-13  2.376E-13  3.42927E-13  1.534E-13
   1.49607E+06  2.38334E-12  4.101E-13  8.23025E-13  2.376E-13  3.42927E-13  1.534E-13
   1.54679E+06  1.92039E-12  3.661E-13  4.80098E-13  1.815E-13  1.54317E-13  1.029E-13
   1.59750E+06  2.05756E-12  3.849E-13  5.14391E-13  1.878E-13  1.71464E-13  1.084E-13
   1.64821E+06  1.74893E-12  3.497E-13  4.62952E-13  1.782E-13  1.37171E-13  9.699E-14
   1.69893E+06  1.16595E-12  2.828E-13  5.14391E-13  1.878E-13  6.85855E-14  6.859E-14
   1.74964E+06  1.20025E-12  2.910E-13  2.22903E-13  1.236E-13  1.20025E-13  9.073E-14
   1.80036E+06  9.08757E-13  2.497E-13  3.25781E-13  1.495E-13  8.57318E-14  7.668E-14
   1.85107E+06  8.74465E-13  2.449E-13  1.88610E-13  1.137E-13  1.02878E-13  1.084E-13
   1.90179E+06  9.08757E-13  2.497E-13  2.40049E-13  1.283E-13  8.57318E-14  7.668E-14
   1.95250E+06  4.62952E-13  1.782E-13  2.05756E-13  1.188E-13  5.14391E-14  5.940E-14
   2.00321E+06  5.82976E-13  2.058E-13  1.37171E-13  9.699E-14  6.85855E-14  6.859E-14
   2.05393E+06  5.82976E-13  2.326E-13  8.57318E-14  7.668E-14  5.14391E-14  5.940E-14
   2.10464E+06  4.45805E-13  1.749E-13  1.20025E-13  9.073E-14  1.71464E-14  3.429E-14
   2.15536E+06  3.94366E-13  1.645E-13  1.37171E-13  9.699E-14  5.14391E-14  5.940E-14
   2.20607E+06  4.28659E-13  1.715E-13  1.71464E-14  3.429E-14  6.85855E-14  6.859E-14
   2.25679E+06  3.60074E-13  1.571E-13  3.42927E-14  4.850E-14  6.85855E-14  6.859E-14
   2.30750E+06  2.40049E-13  1.283E-13  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00
   2.35821E+06  3.42927E-13  1.534E-13  6.85855E-14  6.859E-14  0.00000E+00  0.000E+00
   2.40893E+06  2.91488E-13  1.495E-13  6.85855E-14  6.859E-14  3.42927E-14  4.850E-14
   2.45964E+06  2.40049E-13  1.283E-13  3.42927E-14  4.850E-14  3.42927E-14  4.850E-14
   2.51036E+06  2.74342E-13  1.372E-13  3.42927E-14  4.850E-14  3.42927E-14  4.850E-14
   2.56107E+06  8.57318E-14  7.668E-14  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00
   2.61179E+06  1.54317E-13  1.029E-13  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.66250E+06  8.57318E-14  7.668E-14  5.14391E-14  5.940E-14  3.42927E-14  4.850E-14
   2.71321E+06  1.20025E-13  9.073E-14  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00
   2.76393E+06  8.57318E-14  7.668E-14  5.14391E-14  5.940E-14  0.00000E+00  0.000E+00
   2.81464E+06  1.02878E-13  8.400E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   2.86536E+06  1.02878E-13  8.400E-14  0.00000E+00  0.000E+00  1.71464E-14  3.429E-14
   2.91607E+06  8.57318E-14  7.668E-14  1.71464E-14  3.429E-14  1.71464E-14  3.429E-14
   2.96679E+06  3.42927E-14  4.850E-14  1.71464E-14  3.429E-14  1.71464E-14  3.429E-14
   3.01750E+06  6.85855E-14  6.859E-14  1.71464E-14  3.429E-14  1.71464E-14  3.429E-14
   3.06821E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.11893E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.16964E+06  3.42927E-14  4.850E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.22036E+06  1.71464E-14  3.429E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
   3.27107E+06  3.42927E-14  4.850E-14  0.00000E+00  0.000E+00  0.00000E+00  0.000E+00
