#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  1.46125E-04  5.759E-06  7.31953E-02  2.149E-04  2.61344E-06  7.707E-07
   6.00000E+00  1.38800E-04  3.242E-06  6.09902E-02  1.020E-04  1.78306E-06  3.678E-07
   1.00000E+01  1.27571E-04  2.409E-06  4.91182E-02  6.435E-05  1.95254E-06  2.986E-07
   1.40000E+01  1.13541E-04  1.925E-06  1.74640E-02  2.998E-05  1.53264E-06  2.241E-07
   1.80000E+01  1.00335E-04  1.600E-06  8.27778E-03  1.301E-05  1.30253E-06  1.828E-07
   2.20000E+01  8.62455E-05  1.347E-06  7.17743E-03  1.044E-05  1.22267E-06  1.609E-07
   2.60000E+01  7.38786E-05  1.156E-06  6.56650E-03  9.605E-06  1.08101E-06  1.398E-07
   3.00000E+01  6.46095E-05  1.009E-06  6.10927E-03  9.026E-06  8.44662E-07  1.157E-07
   3.40000E+01  5.49507E-05  8.827E-07  5.74073E-03  8.530E-06  6.80790E-07  9.826E-08
   3.80000E+01  4.72920E-05  7.845E-07  5.40037E-03  8.048E-06  6.53774E-07  9.311E-08
   4.20000E+01  4.06689E-05  7.054E-07  5.11215E-03  7.531E-06  4.91893E-07  8.669E-08
   4.60000E+01  3.55970E-05  6.446E-07  4.85366E-03  7.093E-06  3.99675E-07  6.684E-08
   5.00000E+01  3.03280E-05  5.912E-07  4.61570E-03  6.617E-06  3.88249E-07  8.537E-08
   5.40000E+01  2.61985E-05  5.294E-07  4.40401E-03  6.203E-06  3.45569E-07  5.820E-08
   5.80000E+01  2.20929E-05  4.656E-07  4.20768E-03  5.722E-06  3.08622E-07  7.214E-08
   6.20000E+01  1.99648E-05  4.424E-07  4.03128E-03  5.396E-06  3.14388E-07  6.508E-08
   6.60000E+01  1.78497E-05  4.105E-07  3.89150E-03  5.257E-06  3.71141E-07  5.904E-08
   7.00000E+01  1.86345E-05  4.432E-07  3.71983E-03  4.937E-06  6.20347E-07  8.750E-08
   7.40000E+01  2.09948E-05  5.171E-07  3.55959E-03  4.522E-06  1.03546E-06  1.329E-07
   7.80000E+01  2.04359E-05  5.151E-07  3.40197E-03  4.060E-06  1.02367E-06  1.319E-07
   8.20000E+01  1.77703E-05  4.700E-07  3.24304E-03  3.681E-06  8.66979E-07  1.168E-07
   8.60000E+01  1.45698E-05  4.081E-07  3.08803E-03  3.255E-06  6.65851E-07  9.432E-08
   9.00000E+01  1.22557E-05  3.221E-07  2.97845E-03  3.108E-06  4.61986E-07  6.257E-08
   9.40000E+01  1.15761E-05  3.078E-07  3.01099E-03  3.110E-06  4.67090E-07  6.222E-08
   9.80000E+01  1.11814E-05  3.010E-07  3.06701E-03  3.122E-06  4.80542E-07  6.255E-08
   1.02000E+02  1.10437E-05  3.010E-07  3.12414E-03  3.156E-06  4.96632E-07  6.397E-08
   1.06000E+02  1.07012E-05  2.979E-07  3.16999E-03  3.216E-06  5.01231E-07  6.509E-08
   1.10000E+02  1.04341E-05  2.975E-07  3.20031E-03  3.294E-06  5.31726E-07  6.752E-08
   1.14000E+02  1.01037E-05  2.971E-07  3.21776E-03  3.409E-06  6.44614E-07  7.506E-08
   1.18000E+02  9.64094E-06  2.952E-07  3.20541E-03  3.549E-06  5.81618E-07  7.228E-08
   1.22000E+02  8.85418E-06  2.882E-07  3.13094E-03  3.720E-06  5.44764E-07  7.168E-08
   1.26000E+02  8.20298E-06  2.840E-07  2.98678E-03  3.903E-06  4.68111E-07  6.809E-08
   1.30000E+02  7.73651E-06  2.834E-07  2.80365E-03  4.083E-06  4.65899E-07  6.945E-08
   1.34000E+02  6.59878E-06  2.700E-07  2.59932E-03  4.247E-06  4.16214E-07  6.774E-08
   1.38000E+02  6.04199E-06  2.676E-07  2.38354E-03  4.396E-06  3.70401E-07  6.679E-08
   1.42000E+02  5.74548E-06  2.723E-07  2.18297E-03  4.545E-06  3.60703E-07  6.816E-08
   1.46000E+02  5.06692E-06  2.680E-07  1.97739E-03  4.681E-06  2.97845E-07  6.499E-08
   1.50000E+02  4.67935E-06  2.726E-07  1.78493E-03  4.828E-06  2.49830E-07  6.295E-08
   1.54000E+02  4.21096E-06  2.760E-07  1.59926E-03  4.992E-06  2.48768E-07  6.709E-08
   1.58000E+02  4.02847E-06  2.920E-07  1.44191E-03  5.225E-06  2.22304E-07  6.860E-08
   1.62000E+02  3.86908E-06  3.151E-07  1.30358E-03  5.551E-06  2.43823E-07  7.911E-08
   1.66000E+02  3.49966E-06  3.387E-07  1.19013E-03  6.070E-06  2.04898E-07  8.196E-08
   1.70000E+02  3.15146E-06  3.794E-07  1.10844E-03  6.980E-06  2.62622E-07  1.095E-07
   1.74000E+02  3.20572E-06  4.932E-07  1.05226E-03  8.848E-06  1.70719E-07  1.138E-07
   1.78000E+02  2.44300E-06  7.451E-07  1.00691E-03  1.508E-05  3.40883E-07  2.783E-07
