#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  7.10000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.53571E+04  0.00000E+00  0.000E+00  1.40455E-08  3.732E-11  0.00000E+00  0.000E+00
   7.60714E+04  3.20637E-12  4.689E-13  6.77357E-08  1.205E-10  3.42927E-14  4.850E-14
   1.26786E+05  1.87549E-10  4.030E-12  5.40607E-08  9.937E-11  2.04042E-12  4.614E-13
   1.77500E+05  1.92050E-10  4.227E-12  3.63800E-08  7.296E-11  2.29761E-12  4.825E-13
   2.28214E+05  1.85928E-10  4.186E-12  3.18763E-08  6.758E-11  2.41764E-12  6.163E-13
   2.78929E+05  1.79300E-10  4.221E-12  3.05771E-08  6.701E-11  2.98347E-12  7.880E-13
   3.29643E+05  1.70135E-10  4.114E-12  2.96474E-08  6.672E-11  2.55481E-12  6.425E-13
   3.80357E+05  1.61788E-10  4.097E-12  2.84533E-08  6.563E-11  2.55481E-12  7.902E-13
   4.31071E+05  1.57002E-10  4.023E-12  2.68412E-08  6.382E-11  2.84630E-12  7.714E-13
   4.81786E+05  1.48683E-10  3.857E-12  2.48122E-08  6.123E-11  2.81200E-12  7.160E-13
   5.32500E+05  1.39441E-10  3.814E-12  2.56351E-08  6.692E-11  3.20637E-12  1.006E-12
   5.83214E+05  1.35443E-10  3.758E-12  1.94907E-08  5.408E-11  2.67483E-12  7.371E-13
   6.33929E+05  1.28088E-10  3.680E-12  1.76240E-08  5.202E-11  2.70913E-12  8.101E-13
   6.84643E+05  1.21912E-10  3.516E-12  1.59368E-08  4.994E-11  2.69198E-12  8.006E-13
   7.35357E+05  1.14251E-10  3.587E-12  1.45300E-08  4.828E-11  2.79486E-12  8.936E-13
   7.86071E+05  1.13084E-10  3.362E-12  1.32787E-08  4.684E-11  2.07471E-12  5.707E-13
   8.36786E+05  1.04835E-10  3.242E-12  1.21946E-08  4.561E-11  2.17759E-12  6.479E-13
   8.87500E+05  9.96547E-11  3.270E-12  1.12436E-08  4.462E-11  1.86895E-12  4.689E-13
   9.38214E+05  9.77891E-11  3.299E-12  1.04473E-08  4.396E-11  1.88610E-12  5.635E-13
   9.88929E+05  9.50097E-11  3.174E-12  9.73396E-09  4.313E-11  2.17759E-12  6.918E-13
   1.03964E+06  8.92142E-11  3.224E-12  9.12080E-09  4.265E-11  2.05756E-12  7.371E-13
   1.09036E+06  8.30227E-11  2.929E-12  8.62167E-09  4.245E-11  2.02327E-12  7.011E-13
   1.14107E+06  8.07594E-11  2.956E-12  8.09855E-09  4.203E-11  1.86895E-12  6.370E-13
   1.19179E+06  7.64916E-11  2.833E-12  7.63358E-09  4.146E-11  1.95469E-12  6.858E-13
   1.24250E+06  7.20662E-11  2.707E-12  7.23743E-09  4.123E-11  1.62890E-12  5.582E-13
   1.29321E+06  7.15706E-11  2.792E-12  6.87883E-09  4.110E-11  1.30312E-12  4.445E-13
   1.34393E+06  6.59278E-11  2.599E-12  6.53722E-09  4.069E-11  1.92039E-12  6.286E-13
   1.39464E+06  6.12811E-11  2.492E-12  6.19138E-09  4.037E-11  2.82915E-12  9.657E-13
   1.44536E+06  5.94636E-11  2.450E-12  5.87356E-09  3.998E-11  1.56032E-12  6.239E-13
   1.49607E+06  6.05952E-11  2.570E-12  5.61785E-09  3.988E-11  1.30312E-12  5.086E-13
