#------------------------------------------------------------
# PenRed: Energy spectrum report
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 7.00000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.91667E+04   2.58097E-10   8.660E-12   0.00000E+00   0.000E+00   2.58097E-10   8.660E-12   0.00000E+00   0.000E+00 
  8.75000E+04   6.96315E-10   1.446E-11   2.51032E-11   2.786E-12   6.70824E-10   1.418E-11   3.87578E-13   3.211E-13 
  1.45833E+05   4.43360E-10   1.196E-11   1.01859E-10   5.739E-12   3.38103E-10   1.043E-11   3.39877E-12   1.082E-12 
  2.04167E+05   2.23005E-09   3.222E-11   1.03975E-10   5.786E-12   2.12296E-09   3.168E-11   3.11553E-12   9.573E-13 
  2.62500E+05   4.52352E-09   5.339E-11   1.04080E-10   5.998E-12   4.41580E-09   5.303E-11   3.63727E-12   1.086E-12 
  3.20833E+05   5.78453E-09   6.803E-11   9.34809E-11   5.756E-12   5.68694E-09   6.778E-11   4.11429E-12   1.137E-12 
  3.79167E+05   6.25942E-09   7.529E-11   7.96027E-11   5.255E-12   6.17587E-09   7.510E-11   3.95032E-12   1.095E-12 
  4.37500E+05   6.28892E-09   7.864E-11   7.09865E-11   5.002E-12   6.21443E-09   7.847E-11   3.50311E-12   1.004E-12 
  4.95833E+05   7.62646E-09   8.267E-11   6.02237E-11   4.646E-12   7.56172E-09   8.252E-11   4.51678E-12   1.308E-12 
  5.54167E+05   5.59847E-09   7.880E-11   5.82560E-11   4.658E-12   5.53596E-09   7.865E-11   4.24846E-12   1.173E-12 
  6.12500E+05   5.21609E-09   7.706E-11   5.05641E-11   4.301E-12   5.16097E-09   7.693E-11   4.56150E-12   1.308E-12 
  6.70833E+05   5.02531E-09   7.698E-11   4.92821E-11   4.345E-12   4.97248E-09   7.685E-11   3.54783E-12   1.082E-12 
  7.29167E+05   4.64847E-09   7.463E-11   4.11280E-11   3.918E-12   4.60317E-09   7.451E-11   4.17392E-12   1.205E-12 
  7.87500E+05   4.26032E-09   7.166E-11   3.80572E-11   3.792E-12   4.21846E-09   7.155E-11   3.80125E-12   1.125E-12 
  8.45833E+05   3.99495E-09   7.000E-11   3.63877E-11   3.797E-12   3.95485E-09   6.989E-11   3.71181E-12   1.159E-12 
  9.04167E+05   3.75139E-09   6.824E-11   3.34063E-11   3.612E-12   3.71470E-09   6.813E-11   3.27951E-12   1.075E-12 
  9.62500E+05   3.54833E-09   6.702E-11   3.22585E-11   3.568E-12   3.51225E-09   6.691E-11   3.81616E-12   1.229E-12 
  1.02083E+06   3.26439E-09   6.433E-11   2.57740E-11   3.166E-12   3.23498E-09   6.424E-11   3.63727E-12   1.190E-12 
  1.07917E+06   3.10088E-09   6.280E-11   2.39851E-11   3.097E-12   3.07342E-09   6.271E-11   3.47330E-12   1.152E-12 
  1.13750E+06   2.86403E-09   6.057E-11   2.30907E-11   3.089E-12   2.83809E-09   6.047E-11   2.84721E-12   1.026E-12 
  1.19583E+06   2.72663E-09   5.966E-11   2.18087E-11   2.902E-12   2.70194E-09   5.958E-11   2.87702E-12   1.064E-12 
  1.25417E+06   2.57172E-09   5.858E-11   1.85143E-11   2.711E-12   2.55004E-09   5.851E-11   3.16026E-12   1.178E-12 
  1.31250E+06   2.43316E-09   5.688E-11   1.88274E-11   2.816E-12   2.41145E-09   5.680E-11   2.87702E-12   1.064E-12 
  1.37083E+06   2.24861E-09   5.466E-11   1.90212E-11   2.845E-12   2.22701E-09   5.457E-11   2.57889E-12   1.055E-12 
  1.42917E+06   2.06558E-09   5.247E-11   1.74559E-11   2.728E-12   2.04555E-09   5.239E-11   2.57889E-12   1.017E-12 
  1.48750E+06   1.99815E-09   5.150E-11   1.52348E-11   2.551E-12   1.98112E-09   5.143E-11   1.78882E-12   8.641E-13 
  1.54583E+06   1.91971E-09   5.071E-11   1.44149E-11   2.462E-12   1.90310E-09   5.064E-11   2.19131E-12   9.223E-13 
  1.60417E+06   1.78999E-09   4.908E-11   1.41466E-11   2.507E-12   1.77380E-09   4.900E-11   2.04224E-12   9.601E-13 
  1.66250E+06   1.72070E-09   4.844E-11   1.21789E-11   2.351E-12   1.70687E-09   4.838E-11   1.65466E-12   8.594E-13 
  1.72083E+06   1.64266E-09   4.765E-11   1.51156E-11   2.658E-12   1.62565E-09   4.757E-11   1.89317E-12   9.554E-13 
  1.77917E+06   1.56099E-09   4.669E-11   1.19255E-11   2.314E-12   1.54690E-09   4.662E-11   2.16150E-12   1.043E-12 
  1.83750E+06   1.47011E-09   4.542E-11   1.24472E-11   2.421E-12   1.45551E-09   4.535E-11   2.16150E-12   1.043E-12 
  1.89583E+06   1.35691E-09   4.319E-11   1.04050E-11   2.150E-12   1.34481E-09   4.313E-11   1.69938E-12   9.063E-13 
  1.95417E+06   1.36381E-09   4.407E-11   7.94536E-12   1.853E-12   1.35401E-09   4.402E-11   1.86336E-12   9.545E-13 
  2.01250E+06   1.30852E-09   4.300E-11   1.00323E-11   2.181E-12   1.29730E-09   4.294E-11   1.19255E-12   7.424E-13 
  2.07083E+06   1.21433E-09   4.170E-11   8.63107E-12   1.989E-12   1.20437E-09   4.165E-11   1.32671E-12   7.994E-13 
  2.12917E+06   1.15240E-09   4.114E-11   7.37890E-12   1.908E-12   1.14291E-09   4.108E-11   2.11677E-12   1.081E-12 
  2.18750E+06   1.09472E-09   3.954E-11   9.25716E-12   2.171E-12   1.08380E-09   3.947E-11   1.65466E-12   9.480E-13 
  2.24583E+06   1.08482E-09   3.967E-11   7.64722E-12   1.933E-12   1.07592E-09   3.961E-11   1.25218E-12   7.978E-13 
  2.30417E+06   1.02434E-09   3.832E-11   7.11057E-12   1.861E-12   1.01648E-09   3.827E-11   7.45343E-13   6.037E-13 
  2.36250E+06   9.98208E-10   3.837E-11   6.82734E-12   1.878E-12   9.90129E-10   3.832E-11   1.25218E-12   8.454E-13 
  2.42083E+06   9.32544E-10   3.677E-11   8.03480E-12   2.039E-12   9.23659E-10   3.671E-11   8.49691E-13   6.713E-13 
  2.47917E+06   8.99078E-10   3.631E-11   5.59007E-12   1.677E-12   8.92578E-10   3.626E-11   9.09319E-13   6.739E-13 
  2.53750E+06   8.46978E-10   3.496E-11   5.23231E-12   1.647E-12   8.41090E-10   3.492E-11   6.55902E-13   5.992E-13 
  2.59583E+06   8.23083E-10   3.477E-11   4.02485E-12   1.386E-12   8.17955E-10   3.473E-11   1.10311E-12   7.910E-13 
  2.65417E+06   8.13960E-10   3.473E-11   3.83106E-12   1.352E-12   8.08697E-10   3.470E-11   1.43106E-12   8.974E-13 
  2.71250E+06   7.90168E-10   3.397E-11   3.16026E-12   1.276E-12   7.85651E-10   3.393E-11   1.35652E-12   8.949E-13 
  2.77083E+06   7.53736E-10   3.343E-11   3.98013E-12   1.442E-12   7.49458E-10   3.340E-11   2.98137E-13   4.216E-13 
  2.82917E+06   6.88742E-10   3.177E-11   5.02361E-12   1.643E-12   6.83346E-10   3.173E-11   3.72672E-13   4.269E-13 
  2.88750E+06   6.92379E-10   3.247E-11   3.69690E-12   1.379E-12   6.88175E-10   3.244E-11   5.06833E-13   5.198E-13 
  2.94583E+06   6.26148E-10   3.005E-11   4.62113E-12   1.586E-12   6.20916E-10   3.000E-11   6.11181E-13   5.970E-13 
  3.00417E+06   6.39177E-10   3.130E-11   3.93541E-12   1.440E-12   6.34153E-10   3.125E-11   1.08820E-12   7.905E-13 
  3.06250E+06   6.09035E-10   3.007E-11   4.27827E-12   1.528E-12   6.04712E-10   3.003E-11   4.47206E-14   5.164E-14 
  3.12083E+06   6.04294E-10   3.000E-11   3.89069E-12   1.467E-12   5.99778E-10   2.996E-11   6.26088E-13   5.978E-13 
  3.17917E+06   5.55489E-10   2.833E-11   2.38510E-12   1.123E-12   5.52955E-10   2.830E-11   1.49069E-13   2.981E-13 
  3.23750E+06   5.40925E-10   2.812E-11   4.23355E-12   1.527E-12   5.36528E-10   2.808E-11   1.63976E-13   2.996E-13 
  3.29583E+06   5.24915E-10   2.834E-11   2.38510E-12   1.159E-12   5.22068E-10   2.832E-11   4.62113E-13   5.172E-13 
  3.35417E+06   5.09069E-10   2.780E-11   2.78758E-12   1.235E-12   5.06133E-10   2.777E-11   1.49069E-13   2.981E-13 
  3.41250E+06   5.19460E-10   2.823E-11   2.16150E-12   1.081E-12   5.16851E-10   2.820E-11   4.47206E-13   5.164E-13 
  3.47083E+06   4.98441E-10   2.743E-11   2.16150E-12   1.118E-12   4.96130E-10   2.741E-11   1.49069E-13   2.981E-13 
  3.52917E+06   4.59907E-10   2.611E-11   1.50559E-12   8.999E-13   4.58103E-10   2.609E-11   2.98137E-13   4.216E-13 
  3.58750E+06   4.64289E-10   2.661E-11   1.86336E-12   1.035E-12   4.62277E-10   2.659E-11   1.49069E-13   2.981E-13 
  3.64583E+06   4.13025E-10   2.481E-11   1.44597E-12   8.979E-13   4.11579E-10   2.479E-11   0.00000E+00   0.000E+00 
  3.70417E+06   4.37039E-10   2.590E-11   1.14783E-12   7.927E-13   4.35743E-10   2.589E-11   1.49069E-13   2.981E-13 
  3.76250E+06   3.98938E-10   2.459E-11   2.11677E-12   1.116E-12   3.96672E-10   2.456E-11   1.49069E-13   2.981E-13 
  3.82083E+06   4.00682E-10   2.487E-11   1.02857E-12   7.357E-13   3.99653E-10   2.486E-11   0.00000E+00   0.000E+00 
  3.87917E+06   3.73149E-10   2.372E-11   1.52050E-12   9.437E-13   3.71628E-10   2.371E-11   0.00000E+00   0.000E+00 
  3.93750E+06   3.61730E-10   2.303E-11   1.28199E-12   8.464E-13   3.60448E-10   2.302E-11   0.00000E+00   0.000E+00 
  3.99583E+06   3.40055E-10   2.266E-11   1.37143E-12   8.954E-13   3.38684E-10   2.264E-11   0.00000E+00   0.000E+00 
  4.05417E+06   3.28756E-10   2.175E-11   6.55902E-13   5.992E-13   3.28100E-10   2.174E-11   0.00000E+00   0.000E+00 
  4.11250E+06   3.42754E-10   2.304E-11   9.39132E-13   7.321E-13   3.41814E-10   2.303E-11   0.00000E+00   0.000E+00 
  4.17083E+06   3.19916E-10   2.185E-11   6.11181E-13   5.970E-13   3.19305E-10   2.184E-11   0.00000E+00   0.000E+00 
  4.22917E+06   3.03951E-10   2.121E-11   2.98137E-13   4.216E-13   3.03653E-10   2.121E-11   0.00000E+00   0.000E+00 
  4.28750E+06   2.90252E-10   2.094E-11   1.05839E-12   7.894E-13   2.89193E-10   2.093E-11   0.00000E+00   0.000E+00 
  4.34583E+06   2.88030E-10   2.099E-11   4.77020E-13   5.181E-13   2.87553E-10   2.098E-11   0.00000E+00   0.000E+00 
  4.40417E+06   2.89819E-10   2.131E-11   1.35652E-12   8.949E-13   2.88463E-10   2.129E-11   0.00000E+00   0.000E+00 
  4.46250E+06   2.66535E-10   2.020E-11   1.49069E-13   2.981E-13   2.66386E-10   2.020E-11   0.00000E+00   0.000E+00 
  4.52083E+06   2.53163E-10   1.956E-11   1.93789E-13   3.026E-13   2.52969E-10   1.955E-11   0.00000E+00   0.000E+00 
  4.57917E+06   2.56875E-10   1.988E-11   4.77020E-13   5.181E-13   2.56398E-10   1.987E-11   0.00000E+00   0.000E+00 
  4.63750E+06   2.23752E-10   1.788E-11   7.45343E-13   6.667E-13   2.23007E-10   1.787E-11   0.00000E+00   0.000E+00 
  4.69583E+06   2.17789E-10   1.800E-11   4.47206E-13   5.164E-13   2.17342E-10   1.799E-11   0.00000E+00   0.000E+00 
  4.75417E+06   2.27643E-10   1.887E-11   6.11181E-13   5.970E-13   2.27032E-10   1.886E-11   0.00000E+00   0.000E+00 
  4.81250E+06   2.15851E-10   1.831E-11   2.98137E-13   4.216E-13   2.15553E-10   1.831E-11   0.00000E+00   0.000E+00 
  4.87083E+06   2.01094E-10   1.758E-11   1.49069E-13   2.981E-13   2.00945E-10   1.758E-11   0.00000E+00   0.000E+00 
  4.92917E+06   1.91404E-10   1.718E-11   1.49069E-13   2.981E-13   1.91255E-10   1.718E-11   0.00000E+00   0.000E+00 
  4.98750E+06   1.77988E-10   1.673E-11   0.00000E+00   0.000E+00   1.77988E-10   1.673E-11   0.00000E+00   0.000E+00 
  5.04583E+06   1.68149E-10   1.626E-11   1.49069E-13   2.981E-13   1.68000E-10   1.625E-11   0.00000E+00   0.000E+00 
  5.10417E+06   1.68746E-10   1.628E-11   0.00000E+00   0.000E+00   1.68746E-10   1.628E-11   0.00000E+00   0.000E+00 
  5.16250E+06   1.59802E-10   1.594E-11   0.00000E+00   0.000E+00   1.59802E-10   1.594E-11   0.00000E+00   0.000E+00 
  5.22083E+06   1.52944E-10   1.515E-11   0.00000E+00   0.000E+00   1.52944E-10   1.515E-11   0.00000E+00   0.000E+00 
  5.27917E+06   1.47727E-10   1.514E-11   0.00000E+00   0.000E+00   1.47727E-10   1.514E-11   0.00000E+00   0.000E+00 
  5.33750E+06   1.49069E-10   1.552E-11   0.00000E+00   0.000E+00   1.49069E-10   1.552E-11   0.00000E+00   0.000E+00 
  5.39583E+06   1.34907E-10   1.477E-11   0.00000E+00   0.000E+00   1.34907E-10   1.477E-11   0.00000E+00   0.000E+00 
  5.45417E+06   1.24174E-10   1.384E-11   0.00000E+00   0.000E+00   1.24174E-10   1.384E-11   0.00000E+00   0.000E+00 
  5.51250E+06   1.14336E-10   1.361E-11   0.00000E+00   0.000E+00   1.14336E-10   1.361E-11   0.00000E+00   0.000E+00 
  5.57083E+06   8.58635E-11   1.116E-11   0.00000E+00   0.000E+00   8.58635E-11   1.116E-11   0.00000E+00   0.000E+00 
  5.62917E+06   8.86958E-11   1.191E-11   0.00000E+00   0.000E+00   8.86958E-11   1.191E-11   0.00000E+00   0.000E+00 
  5.68750E+06   8.94412E-11   1.200E-11   0.00000E+00   0.000E+00   8.94412E-11   1.200E-11   0.00000E+00   0.000E+00 
  5.74583E+06   7.18511E-11   1.067E-11   0.00000E+00   0.000E+00   7.18511E-11   1.067E-11   0.00000E+00   0.000E+00 
  5.80417E+06   6.57393E-11   1.064E-11   0.00000E+00   0.000E+00   6.57393E-11   1.064E-11   0.00000E+00   0.000E+00 
