#------------------------------------------------------------
# PenRed: Energy spectrum report
# detector number:  1
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        0.00000e+00 7.00000e+06    120
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  2.91667E+04   2.60080E-10   8.797E-12   0.00000E+00   0.000E+00   2.60080E-10   8.797E-12   0.00000E+00   0.000E+00 
  8.75000E+04   6.97319E-10   1.449E-11   2.30012E-11   2.547E-12   6.73483E-10   1.425E-11   8.34783E-13   6.081E-13 
  1.45833E+05   4.49158E-10   1.198E-11   1.01188E-10   5.621E-12   3.46017E-10   1.055E-11   1.95280E-12   7.199E-13 
  2.04167E+05   2.20824E-09   3.203E-11   1.04094E-10   5.758E-12   2.10170E-09   3.149E-11   2.44472E-12   7.495E-13 
  2.62500E+05   4.53588E-09   5.351E-11   1.01426E-10   5.829E-12   4.43146E-09   5.317E-11   2.99627E-12   9.048E-13 
  3.20833E+05   5.71410E-09   6.734E-11   9.57168E-11   5.814E-12   5.61521E-09   6.707E-11   3.17516E-12   9.126E-13 
  3.79167E+05   6.24877E-09   7.521E-11   8.63702E-11   5.580E-12   6.15915E-09   7.499E-11   3.24969E-12   9.559E-13 
  4.37500E+05   6.31659E-09   7.909E-11   7.63528E-11   5.292E-12   6.23617E-09   7.890E-11   4.06957E-12   1.097E-12 
  4.95833E+05   7.54839E-09   8.174E-11   6.46062E-11   4.849E-12   7.48035E-09   8.159E-11   3.42857E-12   1.041E-12 
  5.54167E+05   5.65146E-09   7.888E-11   5.92248E-11   4.704E-12   5.58672E-09   7.872E-11   5.51553E-12   1.446E-12 
  6.12500E+05   5.34480E-09   7.829E-11   5.33068E-11   4.493E-12   5.28674E-09   7.814E-11   4.75528E-12   1.314E-12 
  6.70833E+05   4.90316E-09   7.545E-11   4.73590E-11   4.255E-12   4.85174E-09   7.533E-11   4.05466E-12   1.099E-12 
  7.29167E+05   4.62109E-09   7.427E-11   4.34683E-11   4.057E-12   4.57309E-09   7.414E-11   4.53168E-12   1.368E-12 
  7.87500E+05   4.29630E-09   7.215E-11   4.02932E-11   4.013E-12   4.25214E-09   7.202E-11   3.86087E-12   1.196E-12 
  8.45833E+05   3.98109E-09   6.998E-11   3.60894E-11   3.710E-12   3.94087E-09   6.986E-11   4.12919E-12   1.235E-12 
  9.04167E+05   3.82128E-09   6.938E-11   3.23478E-11   3.536E-12   3.78492E-09   6.927E-11   4.00994E-12   1.232E-12 
  9.62500E+05   3.45624E-09   6.551E-11   3.07528E-11   3.544E-12   3.42016E-09   6.540E-11   5.32174E-12   1.548E-12 
  1.02083E+06   3.25365E-09   6.428E-11   2.77118E-11   3.334E-12   3.22257E-09   6.419E-11   3.36894E-12   1.149E-12 
  1.07917E+06   3.05247E-09   6.246E-11   2.53416E-11   3.150E-12   3.02346E-09   6.236E-11   3.66708E-12   1.257E-12 
  1.13750E+06   2.90358E-09   6.137E-11   2.66087E-11   3.404E-12   2.87228E-09   6.126E-11   4.69565E-12   1.456E-12 
  1.19583E+06   2.63639E-09   5.839E-11   2.04969E-11   2.875E-12   2.61277E-09   5.830E-11   3.13043E-12   1.178E-12 
  1.25417E+06   2.54886E-09   5.725E-11   2.10186E-11   2.950E-12   2.52495E-09   5.716E-11   2.89193E-12   1.101E-12 
  1.31250E+06   2.41260E-09   5.653E-11   1.97814E-11   2.881E-12   2.39092E-09   5.645E-11   1.89317E-12   8.203E-13 
  1.37083E+06   2.27074E-09   5.544E-11   1.92596E-11   2.903E-12   2.24917E-09   5.535E-11   2.31056E-12   9.693E-13 
  1.42917E+06   2.09250E-09   5.269E-11   1.68894E-11   2.707E-12   2.07244E-09   5.260E-11   3.17516E-12   1.245E-12 
  1.48750E+06   1.98514E-09   5.146E-11   1.65168E-11   2.688E-12   1.96706E-09   5.139E-11   1.56522E-12   7.572E-13 
  1.54583E+06   1.92297E-09   5.135E-11   1.62484E-11   2.670E-12   1.90475E-09   5.127E-11   1.96770E-12   9.160E-13 
  1.60417E+06   1.82844E-09   5.005E-11   1.33267E-11   2.399E-12   1.81357E-09   4.999E-11   1.55031E-12   8.077E-13 
  1.66250E+06   1.75181E-09   4.932E-11   1.38783E-11   2.488E-12   1.73565E-09   4.924E-11   2.28075E-12   1.047E-12 
  1.72083E+06   1.62887E-09   4.715E-11   1.42957E-11   2.556E-12   1.61232E-09   4.706E-11   2.25093E-12   1.084E-12 
  1.77917E+06   1.51513E-09   4.539E-11   1.54435E-11   2.735E-12   1.49785E-09   4.529E-11   1.83354E-12   8.656E-13 
  1.83750E+06   1.50796E-09   4.592E-11   1.12696E-11   2.270E-12   1.49516E-09   4.586E-11   1.53540E-12   8.553E-13 
  1.89583E+06   1.40953E-09   4.430E-11   1.00174E-11   2.163E-12   1.39798E-09   4.424E-11   1.53540E-12   8.553E-13 
