#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    72
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.00000E+00  2.50000E+00  0.00000E+00  0.000E+00  1.50488E-03  6.730E-04  0.00000E+00  0.000E+00
   1.00000E+00  7.50000E+00  0.00000E+00  0.000E+00  1.42964E-03  6.560E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.25000E+01  0.00000E+00  0.000E+00  1.65537E-03  7.059E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.75000E+01  0.00000E+00  0.000E+00  1.65537E-03  7.059E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.25000E+01  0.00000E+00  0.000E+00  1.65537E-03  7.059E-04  0.00000E+00  0.000E+00
   1.00000E+00  2.75000E+01  0.00000E+00  0.000E+00  1.42964E-03  6.560E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.25000E+01  0.00000E+00  0.000E+00  1.58012E-03  6.896E-04  0.00000E+00  0.000E+00
   1.00000E+00  3.75000E+01  0.00000E+00  0.000E+00  1.88110E-03  7.524E-04  0.00000E+00  0.000E+00
   1.00000E+00  4.25000E+01  0.00000E+00  0.000E+00  1.27915E-03  6.205E-04  0.00000E+00  0.000E+00
   1.00000E+00  4.75000E+01  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  5.25000E+01  0.00000E+00  0.000E+00  1.95634E-03  7.673E-04  0.00000E+00  0.000E+00
   1.00000E+00  5.75000E+01  0.00000E+00  0.000E+00  1.42964E-03  6.560E-04  0.00000E+00  0.000E+00
   1.00000E+00  6.25000E+01  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  6.75000E+01  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  7.25000E+01  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  7.75000E+01  0.00000E+00  0.000E+00  1.12866E-03  5.828E-04  0.00000E+00  0.000E+00
   1.00000E+00  8.25000E+01  0.00000E+00  0.000E+00  1.95634E-03  7.673E-04  0.00000E+00  0.000E+00
   1.00000E+00  8.75000E+01  0.00000E+00  0.000E+00  1.65537E-03  7.059E-04  0.00000E+00  0.000E+00
   1.00000E+00  9.25000E+01  0.00000E+00  0.000E+00  1.50488E-03  6.730E-04  0.00000E+00  0.000E+00
   1.00000E+00  9.75000E+01  0.00000E+00  0.000E+00  1.42964E-03  6.560E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.02500E+02  0.00000E+00  0.000E+00  1.65537E-03  7.059E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.07500E+02  0.00000E+00  0.000E+00  1.20390E-03  6.020E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.12500E+02  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.17500E+02  0.00000E+00  0.000E+00  1.50488E-03  6.730E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.22500E+02  0.00000E+00  0.000E+00  1.73061E-03  7.217E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.27500E+02  0.00000E+00  0.000E+00  2.03159E-03  7.820E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.32500E+02  0.00000E+00  0.000E+00  1.35439E-03  6.385E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.37500E+02  0.00000E+00  0.000E+00  1.50488E-03  6.730E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.42500E+02  0.00000E+00  0.000E+00  1.35439E-03  6.385E-04  0.00000E+00  0.000E+00
   1.00000E+00  1.47500E+02  0.00000E+00  0.000E+00  1.95634E-03  7.673E-04  0.00000E+00  0.000E+00
