#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  3.00000E+04  4.01000E+04   200
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   3.00252E+04  0.00000E+00  0.000E+00  1.10891E-09  5.927E-10  0.00000E+00  0.000E+00
   3.00758E+04  0.00000E+00  0.000E+00  9.50495E-10  5.488E-10  0.00000E+00  0.000E+00
   3.01262E+04  0.00000E+00  0.000E+00  1.34653E-09  6.532E-10  0.00000E+00  0.000E+00
   3.01768E+04  0.00000E+00  0.000E+00  1.26733E-09  6.337E-10  0.00000E+00  0.000E+00
   3.02272E+04  0.00000E+00  0.000E+00  1.50495E-09  6.905E-10  0.00000E+00  0.000E+00
   3.02778E+04  0.00000E+00  0.000E+00  1.02970E-09  5.712E-10  0.00000E+00  0.000E+00
   3.03282E+04  0.00000E+00  0.000E+00  1.82178E-09  7.597E-10  0.00000E+00  0.000E+00
   3.03788E+04  0.00000E+00  0.000E+00  1.74257E-09  7.430E-10  0.00000E+00  0.000E+00
   3.04292E+04  0.00000E+00  0.000E+00  1.82178E-09  7.597E-10  0.00000E+00  0.000E+00
   3.04798E+04  0.00000E+00  0.000E+00  1.58416E-09  7.085E-10  0.00000E+00  0.000E+00
   3.05302E+04  0.00000E+00  0.000E+00  1.98020E-09  7.921E-10  0.00000E+00  0.000E+00
   3.05808E+04  0.00000E+00  0.000E+00  1.66337E-09  7.260E-10  0.00000E+00  0.000E+00
   3.06312E+04  0.00000E+00  0.000E+00  1.58416E-09  7.085E-10  0.00000E+00  0.000E+00
   3.06818E+04  0.00000E+00  0.000E+00  1.98020E-09  7.921E-10  0.00000E+00  0.000E+00
   3.07322E+04  0.00000E+00  0.000E+00  9.50495E-10  5.488E-10  0.00000E+00  0.000E+00
   3.07828E+04  0.00000E+00  0.000E+00  2.37624E-09  8.677E-10  0.00000E+00  0.000E+00
   3.08332E+04  0.00000E+00  0.000E+00  2.45545E-09  8.820E-10  0.00000E+00  0.000E+00
   3.08838E+04  0.00000E+00  0.000E+00  1.98020E-09  7.921E-10  0.00000E+00  0.000E+00
   3.09342E+04  0.00000E+00  0.000E+00  2.37624E-09  8.677E-10  0.00000E+00  0.000E+00
   3.09848E+04  0.00000E+00  0.000E+00  2.45545E-09  8.820E-10  0.00000E+00  0.000E+00
   3.10352E+04  0.00000E+00  0.000E+00  7.92079E-10  5.010E-10  0.00000E+00  0.000E+00
   3.10858E+04  0.00000E+00  0.000E+00  1.18812E-09  6.135E-10  0.00000E+00  0.000E+00
   3.11362E+04  0.00000E+00  0.000E+00  1.26733E-09  6.337E-10  0.00000E+00  0.000E+00
   3.11868E+04  0.00000E+00  0.000E+00  1.82178E-09  7.597E-10  0.00000E+00  0.000E+00
   3.12372E+04  0.00000E+00  0.000E+00  1.66337E-09  7.260E-10  0.00000E+00  0.000E+00
   3.12878E+04  0.00000E+00  0.000E+00  9.50495E-10  5.488E-10  0.00000E+00  0.000E+00
   3.13382E+04  0.00000E+00  0.000E+00  1.26733E-09  6.337E-10  0.00000E+00  0.000E+00
   3.13888E+04  0.00000E+00  0.000E+00  1.74257E-09  7.430E-10  0.00000E+00  0.000E+00
   3.14392E+04  0.00000E+00  0.000E+00  1.82178E-09  7.597E-10  0.00000E+00  0.000E+00
   3.14898E+04  0.00000E+00  0.000E+00  1.66337E-09  7.260E-10  0.00000E+00  0.000E+00
   3.15402E+04  0.00000E+00  0.000E+00  1.82178E-09  7.597E-10  0.00000E+00  0.000E+00
   3.15908E+04  0.00000E+00  0.000E+00  2.37624E-09  8.677E-10  0.00000E+00  0.000E+00
   3.16412E+04  0.00000E+00  0.000E+00  2.13861E-09  8.232E-10  0.00000E+00  0.000E+00
   3.16918E+04  0.00000E+00  0.000E+00  2.53465E-09  8.961E-10  0.00000E+00  0.000E+00
   3.17422E+04  0.00000E+00  0.000E+00  1.26733E-09  6.337E-10  0.00000E+00  0.000E+00
   3.17928E+04  0.00000E+00  0.000E+00  2.69307E-09  9.237E-10  0.00000E+00  0.000E+00
   3.18432E+04  0.00000E+00  0.000E+00  2.05941E-09  8.078E-10  0.00000E+00  0.000E+00
   3.18938E+04  0.00000E+00  0.000E+00  1.98020E-09  7.921E-10  0.00000E+00  0.000E+00
   3.19442E+04  0.00000E+00  0.000E+00  3.00990E-09  9.765E-10  0.00000E+00  0.000E+00
   3.19948E+04  0.00000E+00  0.000E+00  2.05941E-09  8.078E-10  0.00000E+00  0.000E+00
   3.20452E+04  0.00000E+00  0.000E+00  3.32673E-09  1.027E-09  0.00000E+00  0.000E+00
   3.20958E+04  0.00000E+00  0.000E+00  2.21782E-09  8.383E-10  0.00000E+00  0.000E+00
   3.21462E+04  0.00000E+00  0.000E+00  1.98020E-09  7.921E-10  0.00000E+00  0.000E+00
   3.21968E+04  0.00000E+00  0.000E+00  2.93069E-09  9.636E-10  0.00000E+00  0.000E+00
   3.22472E+04  0.00000E+00  0.000E+00  3.40594E-09  1.039E-09  0.00000E+00  0.000E+00
   3.22978E+04  0.00000E+00  0.000E+00  2.77228E-09  9.372E-10  0.00000E+00  0.000E+00
   3.23482E+04  0.00000E+00  0.000E+00  2.93069E-09  9.636E-10  0.00000E+00  0.000E+00
   3.23988E+04  0.00000E+00  0.000E+00  3.72277E-09  1.086E-09  0.00000E+00  0.000E+00
   3.24492E+04  0.00000E+00  0.000E+00  3.56436E-09  1.063E-09  0.00000E+00  0.000E+00
   3.24998E+04  0.00000E+00  0.000E+00  3.80198E-09  1.098E-09  0.00000E+00  0.000E+00
   3.25502E+04  0.00000E+00  0.000E+00  4.27723E-09  1.164E-09  0.00000E+00  0.000E+00
   3.26008E+04  0.00000E+00  0.000E+00  3.80198E-09  1.098E-09  0.00000E+00  0.000E+00
   3.26512E+04  0.00000E+00  0.000E+00  3.00990E-09  9.765E-10  0.00000E+00  0.000E+00
   3.27018E+04  0.00000E+00  0.000E+00  4.35644E-09  1.175E-09  0.00000E+00  0.000E+00
   3.27522E+04  0.00000E+00  0.000E+00  3.56436E-09  1.063E-09  0.00000E+00  0.000E+00
   3.28028E+04  0.00000E+00  0.000E+00  3.96040E-09  1.120E-09  0.00000E+00  0.000E+00
   3.28532E+04  0.00000E+00  0.000E+00  3.88119E-09  1.109E-09  0.00000E+00  0.000E+00
   3.29038E+04  0.00000E+00  0.000E+00  4.27723E-09  1.164E-09  0.00000E+00  0.000E+00
   3.29542E+04  0.00000E+00  0.000E+00  4.27723E-09  1.164E-09  0.00000E+00  0.000E+00
   3.30048E+04  0.00000E+00  0.000E+00  4.83168E-09  1.237E-09  0.00000E+00  0.000E+00
   3.30552E+04  0.00000E+00  0.000E+00  4.11881E-09  1.142E-09  0.00000E+00  0.000E+00
   3.31058E+04  0.00000E+00  0.000E+00  4.27723E-09  1.164E-09  0.00000E+00  0.000E+00
   3.31562E+04  0.00000E+00  0.000E+00  3.56436E-09  1.063E-09  0.00000E+00  0.000E+00
   3.32068E+04  0.00000E+00  0.000E+00  5.46535E-09  1.316E-09  0.00000E+00  0.000E+00
   3.32572E+04  0.00000E+00  0.000E+00  5.86139E-09  1.363E-09  0.00000E+00  0.000E+00
   3.33078E+04  0.00000E+00  0.000E+00  5.06931E-09  1.267E-09  0.00000E+00  0.000E+00
   3.33582E+04  0.00000E+00  0.000E+00  5.78218E-09  1.354E-09  0.00000E+00  0.000E+00
   3.34088E+04  0.00000E+00  0.000E+00  5.14851E-09  1.277E-09  0.00000E+00  0.000E+00
   3.34592E+04  0.00000E+00  0.000E+00  5.78218E-09  1.354E-09  0.00000E+00  0.000E+00
   3.35098E+04  0.00000E+00  0.000E+00  5.46535E-09  1.316E-09  0.00000E+00  0.000E+00
   3.35602E+04  0.00000E+00  0.000E+00  6.41584E-09  1.426E-09  0.00000E+00  0.000E+00
   3.36108E+04  0.00000E+00  0.000E+00  6.65347E-09  1.452E-09  0.00000E+00  0.000E+00
   3.36612E+04  0.00000E+00  0.000E+00  7.20792E-09  1.511E-09  0.00000E+00  0.000E+00
   3.37118E+04  0.00000E+00  0.000E+00  7.76238E-09  1.568E-09  0.00000E+00  0.000E+00
   3.37622E+04  0.00000E+00  0.000E+00  8.15842E-09  1.608E-09  0.00000E+00  0.000E+00
   3.38128E+04  0.00000E+00  0.000E+00  8.79208E-09  1.669E-09  0.00000E+00  0.000E+00
   3.38632E+04  0.00000E+00  0.000E+00  8.79208E-09  1.669E-09  0.00000E+00  0.000E+00
   3.39138E+04  0.00000E+00  0.000E+00  8.71287E-09  1.661E-09  0.00000E+00  0.000E+00
   3.39642E+04  0.00000E+00  0.000E+00  9.98020E-09  1.778E-09  0.00000E+00  0.000E+00
   3.40148E+04  0.00000E+00  0.000E+00  9.90099E-09  1.771E-09  0.00000E+00  0.000E+00
   3.40652E+04  0.00000E+00  0.000E+00  9.10891E-09  1.699E-09  0.00000E+00  0.000E+00
   3.41158E+04  0.00000E+00  0.000E+00  1.01386E-08  1.792E-09  0.00000E+00  0.000E+00
   3.41662E+04  0.00000E+00  0.000E+00  1.05347E-08  1.827E-09  0.00000E+00  0.000E+00
   3.42168E+04  0.00000E+00  0.000E+00  1.16436E-08  1.921E-09  0.00000E+00  0.000E+00
   3.42672E+04  0.00000E+00  0.000E+00  1.15644E-08  1.914E-09  0.00000E+00  0.000E+00
   3.43178E+04  0.00000E+00  0.000E+00  1.17228E-08  1.927E-09  0.00000E+00  0.000E+00
   3.43682E+04  0.00000E+00  0.000E+00  1.33069E-08  2.053E-09  0.00000E+00  0.000E+00
   3.44188E+04  0.00000E+00  0.000E+00  1.33069E-08  2.053E-09  0.00000E+00  0.000E+00
   3.44692E+04  0.00000E+00  0.000E+00  1.36238E-08  2.078E-09  0.00000E+00  0.000E+00
   3.45198E+04  0.00000E+00  0.000E+00  1.57624E-08  2.235E-09  0.00000E+00  0.000E+00
   3.45702E+04  0.00000E+00  0.000E+00  1.58416E-08  2.240E-09  0.00000E+00  0.000E+00
   3.46208E+04  0.00000E+00  0.000E+00  1.60792E-08  2.257E-09  0.00000E+00  0.000E+00
   3.46712E+04  0.00000E+00  0.000E+00  1.88515E-08  2.444E-09  0.00000E+00  0.000E+00
   3.47218E+04  0.00000E+00  0.000E+00  1.79010E-08  2.382E-09  0.00000E+00  0.000E+00
   3.47722E+04  0.00000E+00  0.000E+00  1.74257E-08  2.350E-09  0.00000E+00  0.000E+00
   3.48228E+04  0.00000E+00  0.000E+00  1.98020E-08  2.505E-09  0.00000E+00  0.000E+00
   3.48732E+04  0.00000E+00  0.000E+00  2.12277E-08  2.593E-09  0.00000E+00  0.000E+00
   3.49238E+04  0.00000E+00  0.000E+00  2.20198E-08  2.641E-09  0.00000E+00  0.000E+00
   3.49742E+04  0.00000E+00  0.000E+00  2.17030E-08  2.622E-09  0.00000E+00  0.000E+00
   3.50248E+04  0.00000E+00  0.000E+00  2.34455E-08  2.725E-09  0.00000E+00  0.000E+00
   3.50752E+04  0.00000E+00  0.000E+00  2.27327E-08  2.684E-09  0.00000E+00  0.000E+00
   3.51258E+04  0.00000E+00  0.000E+00  2.14653E-08  2.608E-09  0.00000E+00  0.000E+00
   3.51762E+04  0.00000E+00  0.000E+00  2.74851E-08  2.951E-09  0.00000E+00  0.000E+00
   3.52268E+04  0.00000E+00  0.000E+00  2.69307E-08  2.921E-09  0.00000E+00  0.000E+00
   3.52772E+04  0.00000E+00  0.000E+00  2.61386E-08  2.878E-09  0.00000E+00  0.000E+00
   3.53278E+04  0.00000E+00  0.000E+00  3.06535E-08  3.116E-09  0.00000E+00  0.000E+00
   3.53782E+04  0.00000E+00  0.000E+00  3.04950E-08  3.108E-09  0.00000E+00  0.000E+00
   3.54288E+04  0.00000E+00  0.000E+00  2.92277E-08  3.043E-09  0.00000E+00  0.000E+00
   3.54792E+04  0.00000E+00  0.000E+00  3.13663E-08  3.152E-09  0.00000E+00  0.000E+00
   3.55298E+04  0.00000E+00  0.000E+00  3.47723E-08  3.319E-09  0.00000E+00  0.000E+00
   3.55802E+04  0.00000E+00  0.000E+00  3.84950E-08  3.492E-09  0.00000E+00  0.000E+00
   3.56308E+04  0.00000E+00  0.000E+00  3.90495E-08  3.517E-09  0.00000E+00  0.000E+00
   3.56812E+04  0.00000E+00  0.000E+00  3.99208E-08  3.556E-09  0.00000E+00  0.000E+00
   3.57318E+04  0.00000E+00  0.000E+00  4.54653E-08  3.795E-09  0.00000E+00  0.000E+00
   3.57822E+04  0.00000E+00  0.000E+00  4.75248E-08  3.880E-09  0.00000E+00  0.000E+00
   3.58328E+04  0.00000E+00  0.000E+00  5.25941E-08  4.082E-09  0.00000E+00  0.000E+00
   3.58832E+04  0.00000E+00  0.000E+00  5.47327E-08  4.164E-09  0.00000E+00  0.000E+00
   3.59338E+04  0.00000E+00  0.000E+00  5.94851E-08  4.341E-09  0.00000E+00  0.000E+00
