#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    90
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   1.00000E+00  0.00000E+00  0.000E+00  1.58430E-03  8.138E-05  0.00000E+00  0.000E+00
   3.00000E+00  0.00000E+00  0.000E+00  1.56752E-03  4.674E-05  0.00000E+00  0.000E+00
   5.00000E+00  0.00000E+00  0.000E+00  1.58393E-03  3.641E-05  0.00000E+00  0.000E+00
   7.00000E+00  0.00000E+00  0.000E+00  1.53878E-03  3.035E-05  0.00000E+00  0.000E+00
   9.00000E+00  0.00000E+00  0.000E+00  1.52115E-03  2.663E-05  0.00000E+00  0.000E+00
   1.10000E+01  0.00000E+00  0.000E+00  1.52651E-03  2.416E-05  0.00000E+00  0.000E+00
   1.30000E+01  0.00000E+00  0.000E+00  1.52258E-03  2.222E-05  0.00000E+00  0.000E+00
   1.50000E+01  0.00000E+00  0.000E+00  1.46533E-03  2.032E-05  0.00000E+00  0.000E+00
   1.70000E+01  0.00000E+00  0.000E+00  1.42749E-03  1.887E-05  0.00000E+00  0.000E+00
   1.90000E+01  0.00000E+00  0.000E+00  1.40815E-03  1.776E-05  0.00000E+00  0.000E+00
   2.10000E+01  0.00000E+00  0.000E+00  1.36391E-03  1.666E-05  0.00000E+00  0.000E+00
   2.30000E+01  0.00000E+00  0.000E+00  1.32926E-03  1.575E-05  0.00000E+00  0.000E+00
   2.50000E+01  0.00000E+00  0.000E+00  1.28719E-03  1.491E-05  0.00000E+00  0.000E+00
   2.70000E+01  0.00000E+00  0.000E+00  1.22467E-03  1.403E-05  0.00000E+00  0.000E+00
   2.90000E+01  0.00000E+00  0.000E+00  1.18106E-03  1.333E-05  0.00000E+00  0.000E+00
   3.10000E+01  0.00000E+00  0.000E+00  1.13061E-03  1.265E-05  0.00000E+00  0.000E+00
   3.30000E+01  0.00000E+00  0.000E+00  1.09230E-03  1.210E-05  0.00000E+00  0.000E+00
   3.50000E+01  0.00000E+00  0.000E+00  1.05376E-03  1.158E-05  0.00000E+00  0.000E+00
   3.70000E+01  0.00000E+00  0.000E+00  1.02359E-03  1.114E-05  0.00000E+00  0.000E+00
   3.90000E+01  0.00000E+00  0.000E+00  1.00268E-03  1.078E-05  0.00000E+00  0.000E+00
   4.10000E+01  0.00000E+00  0.000E+00  9.71515E-04  1.039E-05  0.00000E+00  0.000E+00
   4.30000E+01  0.00000E+00  0.000E+00  9.40019E-04  1.003E-05  0.00000E+00  0.000E+00
   4.50000E+01  0.00000E+00  0.000E+00  9.17164E-04  9.727E-06  0.00000E+00  0.000E+00
