#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  3.00000E+04  4.01000E+04   200
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   3.00252E+04  0.00000E+00  0.000E+00  2.19406E-08  2.637E-09  0.00000E+00  0.000E+00
   3.00758E+04  0.00000E+00  0.000E+00  2.46337E-08  2.794E-09  0.00000E+00  0.000E+00
   3.01262E+04  0.00000E+00  0.000E+00  2.61386E-08  2.878E-09  0.00000E+00  0.000E+00
   3.01768E+04  0.00000E+00  0.000E+00  2.41584E-08  2.767E-09  0.00000E+00  0.000E+00
   3.02272E+04  0.00000E+00  0.000E+00  2.55842E-08  2.847E-09  0.00000E+00  0.000E+00
   3.02778E+04  0.00000E+00  0.000E+00  2.41584E-08  2.767E-09  0.00000E+00  0.000E+00
   3.03282E+04  0.00000E+00  0.000E+00  2.74059E-08  2.947E-09  0.00000E+00  0.000E+00
   3.03788E+04  0.00000E+00  0.000E+00  2.64554E-08  2.895E-09  0.00000E+00  0.000E+00
   3.04292E+04  0.00000E+00  0.000E+00  2.55050E-08  2.843E-09  0.00000E+00  0.000E+00
   3.04798E+04  0.00000E+00  0.000E+00  2.89109E-08  3.027E-09  0.00000E+00  0.000E+00
   3.05302E+04  0.00000E+00  0.000E+00  3.12871E-08  3.148E-09  0.00000E+00  0.000E+00
   3.05808E+04  0.00000E+00  0.000E+00  3.00198E-08  3.084E-09  0.00000E+00  0.000E+00
   3.06312E+04  0.00000E+00  0.000E+00  3.29505E-08  3.231E-09  0.00000E+00  0.000E+00
   3.06818E+04  0.00000E+00  0.000E+00  3.52475E-08  3.342E-09  0.00000E+00  0.000E+00
   3.07322E+04  0.00000E+00  0.000E+00  3.67525E-08  3.412E-09  0.00000E+00  0.000E+00
   3.07828E+04  0.00000E+00  0.000E+00  3.40594E-08  3.285E-09  0.00000E+00  0.000E+00
   3.08332E+04  0.00000E+00  0.000E+00  3.45347E-08  3.308E-09  0.00000E+00  0.000E+00
   3.08838E+04  0.00000E+00  0.000E+00  3.54851E-08  3.353E-09  0.00000E+00  0.000E+00
   3.09342E+04  0.00000E+00  0.000E+00  3.97624E-08  3.549E-09  0.00000E+00  0.000E+00
   3.09848E+04  0.00000E+00  0.000E+00  3.70693E-08  3.427E-09  0.00000E+00  0.000E+00
   3.10352E+04  0.00000E+00  0.000E+00  3.20792E-08  3.188E-09  0.00000E+00  0.000E+00
   3.10858E+04  0.00000E+00  0.000E+00  3.35842E-08  3.262E-09  0.00000E+00  0.000E+00
   3.11362E+04  0.00000E+00  0.000E+00  2.94653E-08  3.055E-09  0.00000E+00  0.000E+00
   3.11868E+04  0.00000E+00  0.000E+00  3.17624E-08  3.172E-09  0.00000E+00  0.000E+00
   3.12372E+04  0.00000E+00  0.000E+00  3.42970E-08  3.296E-09  0.00000E+00  0.000E+00
   3.12878E+04  0.00000E+00  0.000E+00  3.37426E-08  3.270E-09  0.00000E+00  0.000E+00
   3.13382E+04  0.00000E+00  0.000E+00  3.52475E-08  3.342E-09  0.00000E+00  0.000E+00
   3.13888E+04  0.00000E+00  0.000E+00  3.58020E-08  3.368E-09  0.00000E+00  0.000E+00
   3.14392E+04  0.00000E+00  0.000E+00  3.99208E-08  3.556E-09  0.00000E+00  0.000E+00
   3.14898E+04  0.00000E+00  0.000E+00  3.65149E-08  3.401E-09  0.00000E+00  0.000E+00
   3.15402E+04  0.00000E+00  0.000E+00  4.10297E-08  3.605E-09  0.00000E+00  0.000E+00
   3.15908E+04  0.00000E+00  0.000E+00  4.37228E-08  3.722E-09  0.00000E+00  0.000E+00
   3.16412E+04  0.00000E+00  0.000E+00  4.49109E-08  3.772E-09  0.00000E+00  0.000E+00
   3.16918E+04  0.00000E+00  0.000E+00  4.99010E-08  3.976E-09  0.00000E+00  0.000E+00
   3.17422E+04  0.00000E+00  0.000E+00  4.65743E-08  3.841E-09  0.00000E+00  0.000E+00
   3.17928E+04  0.00000E+00  0.000E+00  4.88713E-08  3.935E-09  0.00000E+00  0.000E+00
   3.18432E+04  0.00000E+00  0.000E+00  5.56832E-08  4.200E-09  0.00000E+00  0.000E+00
