#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - ENERGY SPECTRUM]
# detector number:  2
# Units are 1/(eV*history)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#        3.00000e+04 4.01000e+04    100
#
#             |      Total spectrum     |            electron     |               gamma     |            positron     |
#             |                         |                         |                         |                         |
# Energy (eV) |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |     prob    : +-2sigma  |
  3.00505E+04   3.56436E-10   2.376E-10   0.00000E+00   0.000E+00   3.56436E-10   2.376E-10   0.00000E+00   0.000E+00 
  3.01515E+04   6.33663E-10   3.168E-10   0.00000E+00   0.000E+00   6.33663E-10   3.168E-10   0.00000E+00   0.000E+00 
  3.02525E+04   7.12871E-10   3.361E-10   0.00000E+00   0.000E+00   7.12871E-10   3.361E-10   0.00000E+00   0.000E+00 
  3.03535E+04   1.10891E-09   4.191E-10   0.00000E+00   0.000E+00   1.10891E-09   4.191E-10   0.00000E+00   0.000E+00 
  3.04545E+04   8.31683E-10   3.630E-10   0.00000E+00   0.000E+00   8.31683E-10   3.630E-10   0.00000E+00   0.000E+00 
  3.05555E+04   6.73267E-10   3.266E-10   0.00000E+00   0.000E+00   6.73267E-10   3.266E-10   0.00000E+00   0.000E+00 
  3.06565E+04   5.94059E-10   3.068E-10   0.00000E+00   0.000E+00   5.94059E-10   3.068E-10   0.00000E+00   0.000E+00 
  3.07575E+04   9.50495E-10   3.880E-10   0.00000E+00   0.000E+00   9.50495E-10   3.880E-10   0.00000E+00   0.000E+00 
  3.08585E+04   1.22772E-09   4.410E-10   0.00000E+00   0.000E+00   1.22772E-09   4.410E-10   0.00000E+00   0.000E+00 
  3.09595E+04   1.30693E-09   4.550E-10   0.00000E+00   0.000E+00   1.30693E-09   4.550E-10   0.00000E+00   0.000E+00 
  3.10605E+04   6.33663E-10   3.168E-10   0.00000E+00   0.000E+00   6.33663E-10   3.168E-10   0.00000E+00   0.000E+00 
  3.11615E+04   5.94059E-10   3.068E-10   0.00000E+00   0.000E+00   5.94059E-10   3.068E-10   0.00000E+00   0.000E+00 
  3.12625E+04   6.33663E-10   3.168E-10   0.00000E+00   0.000E+00   6.33663E-10   3.168E-10   0.00000E+00   0.000E+00 
  3.13635E+04   8.71287E-10   3.715E-10   0.00000E+00   0.000E+00   8.71287E-10   3.715E-10   0.00000E+00   0.000E+00 
  3.14645E+04   7.52475E-10   3.453E-10   0.00000E+00   0.000E+00   7.52475E-10   3.453E-10   0.00000E+00   0.000E+00 
  3.15655E+04   7.92079E-10   3.542E-10   0.00000E+00   0.000E+00   7.92079E-10   3.542E-10   0.00000E+00   0.000E+00 
  3.16665E+04   7.12871E-10   3.361E-10   0.00000E+00   0.000E+00   7.12871E-10   3.361E-10   0.00000E+00   0.000E+00 
  3.17675E+04   1.14851E-09   4.265E-10   0.00000E+00   0.000E+00   1.14851E-09   4.265E-10   0.00000E+00   0.000E+00 
  3.18685E+04   9.10891E-10   3.799E-10   0.00000E+00   0.000E+00   9.10891E-10   3.799E-10   0.00000E+00   0.000E+00 
  3.19695E+04   1.06931E-09   4.116E-10   0.00000E+00   0.000E+00   1.06931E-09   4.116E-10   0.00000E+00   0.000E+00 
  3.20705E+04   1.14851E-09   4.265E-10   0.00000E+00   0.000E+00   1.14851E-09   4.265E-10   0.00000E+00   0.000E+00 
  3.21715E+04   1.62376E-09   5.072E-10   0.00000E+00   0.000E+00   1.62376E-09   5.072E-10   0.00000E+00   0.000E+00 
  3.22725E+04   1.34653E-09   4.619E-10   0.00000E+00   0.000E+00   1.34653E-09   4.619E-10   0.00000E+00   0.000E+00 
  3.23735E+04   1.30693E-09   4.550E-10   0.00000E+00   0.000E+00   1.30693E-09   4.550E-10   0.00000E+00   0.000E+00 
  3.24745E+04   1.74257E-09   5.254E-10   0.00000E+00   0.000E+00   1.74257E-09   5.254E-10   0.00000E+00   0.000E+00 
  3.25755E+04   1.66337E-09   5.133E-10   0.00000E+00   0.000E+00   1.66337E-09   5.133E-10   0.00000E+00   0.000E+00 
  3.26765E+04   2.05941E-09   5.712E-10   0.00000E+00   0.000E+00   2.05941E-09   5.712E-10   0.00000E+00   0.000E+00 
  3.27775E+04   1.58416E-09   5.010E-10   0.00000E+00   0.000E+00   1.58416E-09   5.010E-10   0.00000E+00   0.000E+00 
  3.28785E+04   2.33663E-09   6.084E-10   0.00000E+00   0.000E+00   2.33663E-09   6.084E-10   0.00000E+00   0.000E+00 
  3.29795E+04   2.13861E-09   5.821E-10   0.00000E+00   0.000E+00   2.13861E-09   5.821E-10   0.00000E+00   0.000E+00 
  3.30805E+04   2.97030E-09   6.860E-10   0.00000E+00   0.000E+00   2.97030E-09   6.860E-10   0.00000E+00   0.000E+00 
  3.31815E+04   2.81188E-09   6.674E-10   0.00000E+00   0.000E+00   2.81188E-09   6.674E-10   0.00000E+00   0.000E+00 
  3.32825E+04   2.93069E-09   6.814E-10   0.00000E+00   0.000E+00   2.93069E-09   6.814E-10   0.00000E+00   0.000E+00 
