#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING ANGULAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
# Azimuthal angle minimum, maximum, azimuthal bins:
#  0.00000E+00  3.60000E+02    18
#
# theta (deg) :  phi (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  1.00000E+01  4.52543E-03  2.918E-04  7.13536E+00  1.155E-02  0.00000E+00  0.000E+00
   2.00000E+00  3.00000E+01  4.99584E-03  3.066E-04  7.14175E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  5.00000E+01  4.97232E-03  3.059E-04  7.13275E+00  1.155E-02  0.00000E+00  0.000E+00
   2.00000E+00  7.00000E+01  4.92058E-03  3.043E-04  7.13464E+00  1.155E-02  0.00000E+00  0.000E+00
   2.00000E+00  9.00000E+01  4.64303E-03  2.956E-04  7.14794E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  1.10000E+02  4.91587E-03  3.041E-04  7.12874E+00  1.155E-02  0.00000E+00  0.000E+00
   2.00000E+00  1.30000E+02  5.02407E-03  3.075E-04  7.14312E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  1.50000E+02  5.04759E-03  3.082E-04  7.14130E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  1.70000E+02  4.87353E-03  3.028E-04  7.14283E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  1.90000E+02  4.96762E-03  3.057E-04  7.15624E+00  1.157E-02  0.00000E+00  0.000E+00
   2.00000E+00  2.10000E+02  4.94410E-03  3.050E-04  7.13860E+00  1.155E-02  0.00000E+00  0.000E+00
   2.00000E+00  2.30000E+02  4.95821E-03  3.054E-04  7.14091E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  2.50000E+02  4.86883E-03  3.027E-04  7.14611E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  2.70000E+02  5.02877E-03  3.076E-04  7.13831E+00  1.155E-02  0.00000E+00  0.000E+00
   2.00000E+00  2.90000E+02  5.10404E-03  3.099E-04  7.14332E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  3.10000E+02  4.83120E-03  3.015E-04  7.15282E+00  1.157E-02  0.00000E+00  0.000E+00
   2.00000E+00  3.30000E+02  5.06641E-03  3.088E-04  7.14370E+00  1.156E-02  0.00000E+00  0.000E+00
   2.00000E+00  3.50000E+02  4.93939E-03  3.049E-04  7.14718E+00  1.156E-02  0.00000E+00  0.000E+00

   6.00000E+00  1.00000E+01  4.67257E-03  1.713E-04  7.12667E+00  6.630E-03  0.00000E+00  0.000E+00
   6.00000E+00  3.00000E+01  4.76995E-03  1.731E-04  7.12719E+00  6.630E-03  0.00000E+00  0.000E+00
   6.00000E+00  5.00000E+01  4.75110E-03  1.728E-04  7.12885E+00  6.631E-03  0.00000E+00  0.000E+00
   6.00000E+00  7.00000E+01  4.59561E-03  1.699E-04  7.12682E+00  6.630E-03  0.00000E+00  0.000E+00
   6.00000E+00  9.00000E+01  4.78565E-03  1.734E-04  7.13335E+00  6.633E-03  0.00000E+00  0.000E+00
   6.00000E+00  1.10000E+02  4.91759E-03  1.758E-04  7.13113E+00  6.632E-03  0.00000E+00  0.000E+00
   6.00000E+00  1.30000E+02  4.73540E-03  1.725E-04  7.12606E+00  6.630E-03  0.00000E+00  0.000E+00
   6.00000E+00  1.50000E+02  4.76052E-03  1.729E-04  7.12982E+00  6.632E-03  0.00000E+00  0.000E+00
   6.00000E+00  1.70000E+02  4.85162E-03  1.746E-04  7.12812E+00  6.631E-03  0.00000E+00  0.000E+00
   6.00000E+00  1.90000E+02  4.68042E-03  1.715E-04  7.12392E+00  6.629E-03  1.57061E-06  3.141E-06
   6.00000E+00  2.10000E+02  4.74325E-03  1.726E-04  7.12954E+00  6.632E-03  0.00000E+00  0.000E+00
   6.00000E+00  2.30000E+02  4.81707E-03  1.740E-04  7.12671E+00  6.630E-03  0.00000E+00  0.000E+00
   6.00000E+00  2.50000E+02  4.81078E-03  1.738E-04  7.12360E+00  6.629E-03  0.00000E+00  0.000E+00
   6.00000E+00  2.70000E+02  4.72597E-03  1.723E-04  7.12964E+00  6.632E-03  0.00000E+00  0.000E+00
   6.00000E+00  2.90000E+02  4.82021E-03  1.740E-04  7.12312E+00  6.629E-03  0.00000E+00  0.000E+00
   6.00000E+00  3.10000E+02  4.73068E-03  1.724E-04  7.11969E+00  6.627E-03  0.00000E+00  0.000E+00
   6.00000E+00  3.30000E+02  4.66629E-03  1.712E-04  7.12508E+00  6.630E-03  0.00000E+00  0.000E+00
   6.00000E+00  3.50000E+02  4.74011E-03  1.726E-04  7.12938E+00  6.631E-03  0.00000E+00  0.000E+00

   1.00000E+01  1.00000E+01  4.45963E-03  1.299E-04  3.26542E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  3.00000E+01  4.39345E-03  1.289E-04  3.26565E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  5.00000E+01  4.42654E-03  1.294E-04  3.26525E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  7.00000E+01  4.48232E-03  1.302E-04  3.26528E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  9.00000E+01  4.37927E-03  1.287E-04  3.26307E+00  3.489E-03  0.00000E+00  0.000E+00
   1.00000E+01  1.10000E+02  4.44167E-03  1.296E-04  3.26777E+00  3.491E-03  9.45438E-07  1.891E-06
   1.00000E+01  1.30000E+02  4.43883E-03  1.296E-04  3.26487E+00  3.489E-03  9.45438E-07  1.891E-06
   1.00000E+01  1.50000E+02  4.38305E-03  1.287E-04  3.26286E+00  3.488E-03  0.00000E+00  0.000E+00
   1.00000E+01  1.70000E+02  4.48516E-03  1.302E-04  3.26512E+00  3.490E-03  9.45438E-07  1.891E-06
   1.00000E+01  1.90000E+02  4.46436E-03  1.299E-04  3.26502E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  2.10000E+02  4.54283E-03  1.311E-04  3.26283E+00  3.488E-03  0.00000E+00  0.000E+00
   1.00000E+01  2.30000E+02  4.41803E-03  1.293E-04  3.26349E+00  3.489E-03  0.00000E+00  0.000E+00
   1.00000E+01  2.50000E+02  4.50407E-03  1.305E-04  3.26515E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  2.70000E+02  4.35658E-03  1.284E-04  3.26536E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  2.90000E+02  4.45680E-03  1.298E-04  3.26669E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  3.10000E+02  4.44923E-03  1.297E-04  3.26553E+00  3.490E-03  0.00000E+00  0.000E+00
   1.00000E+01  3.30000E+02  4.37738E-03  1.287E-04  3.26330E+00  3.489E-03  0.00000E+00  0.000E+00
   1.00000E+01  3.50000E+02  4.47476E-03  1.301E-04  3.26594E+00  3.490E-03  9.45438E-07  1.891E-06

   1.40000E+01  1.00000E+01  4.01473E-03  1.044E-04  1.11703E-01  5.505E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.00000E+01  4.05681E-03  1.049E-04  1.12505E-01  5.524E-04  0.00000E+00  0.000E+00
   1.40000E+01  5.00000E+01  4.02016E-03  1.045E-04  1.12077E-01  5.514E-04  0.00000E+00  0.000E+00
   1.40000E+01  7.00000E+01  3.96994E-03  1.038E-04  1.11351E-01  5.496E-04  0.00000E+00  0.000E+00
   1.40000E+01  9.00000E+01  4.03373E-03  1.046E-04  1.11356E-01  5.496E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.10000E+02  4.02152E-03  1.045E-04  1.12231E-01  5.518E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.30000E+02  4.05816E-03  1.050E-04  1.11304E-01  5.495E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.50000E+02  4.03238E-03  1.046E-04  1.11388E-01  5.497E-04  0.00000E+00  0.000E+00
   1.40000E+01  1.70000E+02  3.97469E-03  1.039E-04  1.11438E-01  5.498E-04  6.78623E-07  1.357E-06
   1.40000E+01  1.90000E+02  4.06698E-03  1.051E-04  1.11485E-01  5.499E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.10000E+02  4.04595E-03  1.048E-04  1.11988E-01  5.512E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.30000E+02  4.09209E-03  1.054E-04  1.11412E-01  5.498E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.50000E+02  4.00862E-03  1.043E-04  1.11342E-01  5.496E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.70000E+02  4.00387E-03  1.043E-04  1.11294E-01  5.495E-04  0.00000E+00  0.000E+00
   1.40000E+01  2.90000E+02  4.04391E-03  1.048E-04  1.11878E-01  5.509E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.10000E+02  4.04391E-03  1.048E-04  1.11737E-01  5.506E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.30000E+02  4.18574E-03  1.066E-04  1.11289E-01  5.495E-04  0.00000E+00  0.000E+00
   1.40000E+01  3.50000E+02  4.06359E-03  1.050E-04  1.11973E-01  5.511E-04  0.00000E+00  0.000E+00

   1.80000E+01  1.00000E+01  3.55743E-03  8.695E-05  1.02726E-01  4.670E-04  0.00000E+00  0.000E+00
   1.80000E+01  3.00000E+01  3.53777E-03  8.671E-05  1.02289E-01  4.661E-04  0.00000E+00  0.000E+00
   1.80000E+01  5.00000E+01  3.66528E-03  8.825E-05  1.02405E-01  4.663E-04  5.31277E-07  1.063E-06
   1.80000E+01  7.00000E+01  3.58771E-03  8.732E-05  1.02187E-01  4.658E-04  0.00000E+00  0.000E+00
   1.80000E+01  9.00000E+01  3.61375E-03  8.763E-05  1.02748E-01  4.671E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.10000E+02  3.60418E-03  8.752E-05  1.02801E-01  4.672E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.30000E+02  3.55796E-03  8.695E-05  1.02700E-01  4.670E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.50000E+02  3.57603E-03  8.717E-05  1.03038E-01  4.678E-04  5.31277E-07  1.063E-06
   1.80000E+01  1.70000E+02  3.64562E-03  8.802E-05  1.02345E-01  4.662E-04  0.00000E+00  0.000E+00
   1.80000E+01  1.90000E+02  3.59250E-03  8.737E-05  1.02434E-01  4.664E-04  5.31277E-07  1.063E-06
   1.80000E+01  2.10000E+02  3.64137E-03  8.797E-05  1.03016E-01  4.677E-04  5.31277E-07  1.063E-06
   1.80000E+01  2.30000E+02  3.67484E-03  8.837E-05  1.02662E-01  4.669E-04  0.00000E+00  0.000E+00
   1.80000E+01  2.50000E+02  3.57815E-03  8.720E-05  1.02721E-01  4.670E-04  0.00000E+00  0.000E+00
   1.80000E+01  2.70000E+02  3.54734E-03  8.682E-05  1.02753E-01  4.671E-04  0.00000E+00  0.000E+00
   1.80000E+01  2.90000E+02  3.62597E-03  8.778E-05  1.02797E-01  4.672E-04  0.00000E+00  0.000E+00
   1.80000E+01  3.10000E+02  3.58559E-03  8.729E-05  1.02567E-01  4.667E-04  5.31277E-07  1.063E-06
   1.80000E+01  3.30000E+02  3.58081E-03  8.724E-05  1.02349E-01  4.662E-04  0.00000E+00  0.000E+00
   1.80000E+01  3.50000E+02  3.62437E-03  8.776E-05  1.02553E-01  4.667E-04  0.00000E+00  0.000E+00

   2.20000E+01  1.00000E+01  3.10548E-03  7.379E-05  9.30738E-02  4.038E-04  0.00000E+00  0.000E+00
   2.20000E+01  3.00000E+01  3.16377E-03  7.447E-05  9.24874E-02  4.025E-04  4.38256E-07  8.765E-07
   2.20000E+01  5.00000E+01  3.15720E-03  7.439E-05  9.29695E-02  4.035E-04  0.00000E+00  0.000E+00
   2.20000E+01  7.00000E+01  3.19007E-03  7.479E-05  9.31439E-02  4.039E-04  0.00000E+00  0.000E+00
   2.20000E+01  9.00000E+01  3.12389E-03  7.400E-05  9.23371E-02  4.022E-04  0.00000E+00  0.000E+00
   2.20000E+01  1.10000E+02  3.13704E-03  7.416E-05  9.32614E-02  4.042E-04  0.00000E+00  0.000E+00
   2.20000E+01  1.30000E+02  3.17560E-03  7.462E-05  9.26846E-02  4.029E-04  0.00000E+00  0.000E+00
   2.20000E+01  1.50000E+02  3.11951E-03  7.395E-05  9.27346E-02  4.030E-04  8.76512E-07  1.240E-06
   2.20000E+01  1.70000E+02  3.24660E-03  7.544E-05  9.27512E-02  4.031E-04  0.00000E+00  0.000E+00
   2.20000E+01  1.90000E+02  3.22863E-03  7.523E-05  9.25606E-02  4.026E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.10000E+02  3.15457E-03  7.436E-05  9.27297E-02  4.030E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.30000E+02  3.13748E-03  7.416E-05  9.28235E-02  4.032E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.50000E+02  3.15676E-03  7.439E-05  9.30413E-02  4.037E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.70000E+02  3.19138E-03  7.480E-05  9.24799E-02  4.025E-04  0.00000E+00  0.000E+00
   2.20000E+01  2.90000E+02  3.10855E-03  7.382E-05  9.27372E-02  4.030E-04  0.00000E+00  0.000E+00
   2.20000E+01  3.10000E+02  3.28298E-03  7.586E-05  9.27977E-02  4.032E-04  0.00000E+00  0.000E+00
