#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING DOWNBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy minimum, maximum, energy bins:
#  0.00000E+00  1.41000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   5.03571E+03  0.00000E+00  0.000E+00  8.73759E-12  3.726E-12  0.00000E+00  0.000E+00
   1.51071E+04  0.00000E+00  0.000E+00  3.68567E-09  7.656E-11  0.00000E+00  0.000E+00
   2.51786E+04  0.00000E+00  0.000E+00  9.48148E-09  1.228E-10  0.00000E+00  0.000E+00
   3.52500E+04  0.00000E+00  0.000E+00  1.70534E-08  1.646E-10  0.00000E+00  0.000E+00
   4.53214E+04  1.15177E-11  4.278E-12  3.71701E-08  2.431E-10  0.00000E+00  0.000E+00
   5.53929E+04  8.45163E-10  3.666E-11  7.16736E-08  3.376E-10  7.94326E-13  1.123E-12
   6.54643E+04  8.99972E-10  3.785E-11  1.08175E-07  4.146E-10  3.97163E-13  7.943E-13
   7.55357E+04  9.04738E-10  3.793E-11  1.45401E-07  4.806E-10  3.97163E-13  7.943E-13
   8.56071E+04  9.36113E-10  3.856E-11  1.79619E-07  5.340E-10  3.97163E-13  7.943E-13
   9.56786E+04  8.61050E-10  3.699E-11  2.02154E-07  5.663E-10  0.00000E+00  0.000E+00
   1.05750E+05  8.30468E-10  3.632E-11  2.05909E-07  5.715E-10  0.00000E+00  0.000E+00
   1.15821E+05  7.27603E-10  3.402E-11  1.99718E-07  5.629E-10  0.00000E+00  0.000E+00
   1.25893E+05  6.59688E-10  3.237E-11  1.94106E-07  5.549E-10  7.94326E-13  1.123E-12
   1.35964E+05  6.31489E-10  3.167E-11  1.95269E-07  5.565E-10  3.97163E-13  7.943E-13
   1.46036E+05  5.61191E-10  2.986E-11  2.19541E-07  5.900E-10  3.97163E-13  7.943E-13
   1.56107E+05  4.97248E-10  2.811E-11  2.52705E-07  6.329E-10  0.00000E+00  0.000E+00
   1.66179E+05  4.45617E-10  2.661E-11  2.75560E-07  6.608E-10  7.94326E-13  1.123E-12
   1.76250E+05  4.09872E-10  2.552E-11  2.89274E-07  6.770E-10  0.00000E+00  0.000E+00
   1.86321E+05  4.06695E-10  2.542E-11  2.98252E-07  6.874E-10  0.00000E+00  0.000E+00
   1.96393E+05  3.67773E-10  2.417E-11  3.10142E-07  7.009E-10  0.00000E+00  0.000E+00
   2.06464E+05  3.59830E-10  2.391E-11  3.96343E-07  7.920E-10  0.00000E+00  0.000E+00
   2.16536E+05  3.60624E-10  2.394E-11  7.63149E-07  1.097E-09  0.00000E+00  0.000E+00
   2.26607E+05  3.31234E-10  2.294E-11  7.73458E-07  1.104E-09  0.00000E+00  0.000E+00
   2.36679E+05  3.13362E-10  2.231E-11  6.91865E-07  1.045E-09  0.00000E+00  0.000E+00
   2.46750E+05  2.87943E-10  2.139E-11  6.15489E-07  9.858E-10  0.00000E+00  0.000E+00
   2.56821E+05  2.82780E-10  2.120E-11  5.45591E-07  9.285E-10  0.00000E+00  0.000E+00
   2.66893E+05  2.81589E-10  2.115E-11  4.80426E-07  8.715E-10  3.97163E-13  7.943E-13
   2.76964E+05  2.51801E-10  2.000E-11  4.20900E-07  8.160E-10  0.00000E+00  0.000E+00
   2.87036E+05  2.68085E-10  2.064E-11  3.63757E-07  7.588E-10  0.00000E+00  0.000E+00
   2.97107E+05  2.54979E-10  2.013E-11  3.11542E-07  7.024E-10  0.00000E+00  0.000E+00
   3.07179E+05  2.27574E-10  1.901E-11  2.61493E-07  6.437E-10  0.00000E+00  0.000E+00
   3.17250E+05  2.10496E-10  1.829E-11  2.13699E-07  5.820E-10  0.00000E+00  0.000E+00
   3.27321E+05  2.13277E-10  1.841E-11  1.68808E-07  5.174E-10  0.00000E+00  0.000E+00
   3.37393E+05  1.89844E-10  1.737E-11  1.29698E-07  4.536E-10  0.00000E+00  0.000E+00
   3.47464E+05  1.78326E-10  1.683E-11  9.76493E-08  3.937E-10  0.00000E+00  0.000E+00
   3.57536E+05  1.68397E-10  1.636E-11  7.12610E-08  3.363E-10  0.00000E+00  0.000E+00
   3.67607E+05  1.55291E-10  1.571E-11  5.08166E-08  2.841E-10  0.00000E+00  0.000E+00
   3.77679E+05  1.57674E-10  1.583E-11  3.58321E-08  2.385E-10  0.00000E+00  0.000E+00
   3.87750E+05  1.26695E-10  1.419E-11  2.49359E-08  1.990E-10  0.00000E+00  0.000E+00
   3.97821E+05  1.49730E-10  1.542E-11  1.76209E-08  1.673E-10  0.00000E+00  0.000E+00
   4.07893E+05  1.17163E-10  1.364E-11  1.28502E-08  1.429E-10  0.00000E+00  0.000E+00
   4.17964E+05  1.21135E-10  1.387E-11  9.64749E-09  1.238E-10  0.00000E+00  0.000E+00
   4.28036E+05  1.12397E-10  1.336E-11  7.31813E-09  1.078E-10  0.00000E+00  0.000E+00
   4.38107E+05  1.03660E-10  1.283E-11  5.51699E-09  9.362E-11  0.00000E+00  0.000E+00
   4.48179E+05  9.57163E-11  1.233E-11  4.13844E-09  8.108E-11  0.00000E+00  0.000E+00
   4.58250E+05  9.53191E-11  1.231E-11  3.15864E-09  7.084E-11  0.00000E+00  0.000E+00
   4.68321E+05  8.65816E-11  1.173E-11  2.31864E-09  6.069E-11  0.00000E+00  0.000E+00
   4.78393E+05  8.38014E-11  1.154E-11  1.63949E-09  5.103E-11  0.00000E+00  0.000E+00
   4.88464E+05  7.66525E-11  1.104E-11  1.24431E-09  4.446E-11  0.00000E+00  0.000E+00
   4.98536E+05  6.91064E-11  1.048E-11  9.12681E-10  3.808E-11  0.00000E+00  0.000E+00
   5.08607E+05  6.19574E-11  9.921E-12  8.55052E-09  1.165E-10  0.00000E+00  0.000E+00
   5.18679E+05  5.87801E-11  9.663E-12  3.43149E-10  2.335E-11  0.00000E+00  0.000E+00
   5.28750E+05  5.60000E-11  9.432E-12  2.48227E-10  1.986E-11  0.00000E+00  0.000E+00
   5.38821E+05  6.19574E-11  9.921E-12  1.56879E-10  1.579E-11  0.00000E+00  0.000E+00
   5.48893E+05  5.71915E-11  9.532E-12  1.08028E-10  1.310E-11  0.00000E+00  0.000E+00
   5.58964E+05  4.60709E-11  8.555E-12  7.78440E-11  1.112E-11  0.00000E+00  0.000E+00
