#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING POLAR PARTICLES DISTRIBUTION]
# Units are particles/(sr history)
#
# Polar angle minimum, maximum, polar bins:
#  0.00000E+00  1.80000E+02    45
#
# theta (deg) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   2.00000E+00  4.92371E-03  7.174E-05  7.14198E+00  2.579E-03  0.00000E+00  0.000E+00
   6.00000E+00  4.75416E-03  4.073E-05  7.12715E+00  1.294E-03  8.72562E-08  1.745E-07
   1.00000E+01  4.44078E-03  3.054E-05  3.26492E+00  7.179E-04  2.10097E-07  2.101E-07
   1.40000E+01  4.04093E-03  2.468E-05  1.11653E-01  1.290E-04  3.77013E-08  7.540E-08
   1.80000E+01  3.59982E-03  2.061E-05  1.02616E-01  1.093E-04  1.47577E-07  1.320E-07
   2.20000E+01  3.16755E-03  1.756E-05  9.28117E-02  9.435E-05  1.21738E-07  1.089E-07
   2.60000E+01  2.74123E-03  1.510E-05  8.30676E-02  8.248E-05  8.32241E-08  8.322E-08
   3.00000E+01  2.36328E-03  1.313E-05  7.37906E-02  7.278E-05  3.64830E-08  5.159E-08
   3.40000E+01  2.01341E-03  1.146E-05  6.53331E-02  6.476E-05  8.15529E-08  7.294E-08
   3.80000E+01  1.69968E-03  1.003E-05  5.76878E-02  5.801E-05  0.00000E+00  0.000E+00
   4.20000E+01  1.43408E-03  8.841E-06  5.09815E-02  5.233E-05  1.36308E-08  2.726E-08
   4.60000E+01  1.19413E-03  7.781E-06  4.50708E-02  4.747E-05  2.53587E-08  3.586E-08
   5.00000E+01  9.79758E-04  6.830E-06  3.98956E-02  4.330E-05  4.76252E-08  4.763E-08
   5.40000E+01  7.97379E-04  5.996E-06  3.53507E-02  3.968E-05  0.00000E+00  0.000E+00
   5.80000E+01  6.38342E-04  5.240E-06  3.11386E-02  3.639E-05  5.37750E-08  4.810E-08
   6.20000E+01  5.04770E-04  4.566E-06  2.72279E-02  3.337E-05  0.00000E+00  0.000E+00
   6.60000E+01  3.84121E-04  3.916E-06  2.34493E-02  3.046E-05  1.99678E-08  2.824E-08
   7.00000E+01  2.84991E-04  3.326E-06  1.96860E-02  2.753E-05  9.70611E-09  1.941E-08
   7.40000E+01  2.00650E-04  2.759E-06  1.58304E-02  2.443E-05  0.00000E+00  0.000E+00
   7.80000E+01  1.30236E-04  2.204E-06  1.18089E-02  2.093E-05  0.00000E+00  0.000E+00
   8.20000E+01  7.22187E-05  1.631E-06  7.63141E-03  1.674E-05  0.00000E+00  0.000E+00
   8.60000E+01  2.74931E-05  1.003E-06  3.57975E-03  1.143E-05  0.00000E+00  0.000E+00
   9.00000E+01  3.04633E-06  3.334E-07  8.96461E-04  5.718E-06  0.00000E+00  0.000E+00
   9.40000E+01  1.33488E-06  2.210E-07  3.39817E-03  1.114E-05  0.00000E+00  0.000E+00
   9.80000E+01  4.11705E-06  3.895E-07  6.77515E-03  1.578E-05  0.00000E+00  0.000E+00
   1.02000E+02  6.91880E-06  5.080E-07  9.81032E-03  1.909E-05  9.32452E-09  1.865E-08
   1.06000E+02  1.00861E-05  6.187E-07  1.23361E-02  2.158E-05  0.00000E+00  0.000E+00
   1.10000E+02  1.39962E-05  7.372E-07  1.44196E-02  2.359E-05  9.70611E-09  1.941E-08
   1.14000E+02  1.83704E-05  8.565E-07  1.60420E-02  2.523E-05  0.00000E+00  0.000E+00
   1.18000E+02  2.25708E-05  9.657E-07  1.73678E-02  2.670E-05  0.00000E+00  0.000E+00
   1.22000E+02  2.67584E-05  1.073E-06  1.84176E-02  2.805E-05  1.07550E-08  2.151E-08
   1.26000E+02  3.02027E-05  1.167E-06  1.92146E-02  2.934E-05  2.25478E-08  3.189E-08
   1.30000E+02  3.59332E-05  1.308E-06  1.98673E-02  3.066E-05  0.00000E+00  0.000E+00
   1.34000E+02  3.94835E-05  1.415E-06  2.04430E-02  3.210E-05  0.00000E+00  0.000E+00
   1.38000E+02  4.13148E-05  1.501E-06  2.07831E-02  3.356E-05  0.00000E+00  0.000E+00
   1.42000E+02  4.56437E-05  1.645E-06  2.11383E-02  3.529E-05  1.48146E-08  2.963E-08
   1.46000E+02  4.96168E-05  1.799E-06  2.13911E-02  3.726E-05  3.26212E-08  4.613E-08
   1.50000E+02  5.30646E-05  1.968E-06  2.15626E-02  3.957E-05  1.82415E-08  3.648E-08
   1.54000E+02  5.55105E-05  2.149E-06  2.16878E-02  4.240E-05  0.00000E+00  0.000E+00
   1.58000E+02  5.66324E-05  2.348E-06  2.18209E-02  4.602E-05  2.43476E-08  4.870E-08
   1.62000E+02  5.69647E-05  2.593E-06  2.18960E-02  5.077E-05  2.95154E-08  5.903E-08
   1.66000E+02  6.03220E-05  3.016E-06  2.19128E-02  5.742E-05  0.00000E+00  0.000E+00
   1.70000E+02  5.93000E-05  3.530E-06  2.19831E-02  6.790E-05  0.00000E+00  0.000E+00
   1.74000E+02  6.35225E-05  4.709E-06  2.20472E-02  8.768E-05  0.00000E+00  0.000E+00
   1.78000E+02  5.77569E-05  7.770E-06  2.20987E-02  1.520E-04  2.61344E-07  5.227E-07
