#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT EMERGING UPBOUND PARTICLES DISTRIBUTION]
# Units are particles/(eV history)
# Energy window (eV), energy bins:
#  0.00000E+00  1.41000E+06   140
#
# Energy (eV) :     e-     : +-2sigma :   photons  : +-2sigma :     e+     : +-2sigma :
   5.03571E+03  0.00000E+00  0.000E+00  3.81277E-11  7.783E-12  0.00000E+00  0.000E+00
   1.51071E+04  0.00000E+00  0.000E+00  1.02976E-08  1.280E-10  0.00000E+00  0.000E+00
   2.51786E+04  0.00000E+00  0.000E+00  1.94344E-08  1.758E-10  0.00000E+00  0.000E+00
   3.52500E+04  0.00000E+00  0.000E+00  2.84750E-08  2.128E-10  0.00000E+00  0.000E+00
   4.53214E+04  5.20284E-11  9.091E-12  4.87768E-08  2.786E-10  0.00000E+00  0.000E+00
   5.53929E+04  2.49498E-09  6.306E-11  8.13692E-08  3.598E-10  3.97163E-13  7.943E-13
   6.54643E+04  2.86672E-09  6.761E-11  1.19494E-07  4.359E-10  7.94326E-13  1.123E-12
   7.55357E+04  3.18843E-09  7.127E-11  1.49534E-07  4.875E-10  3.97163E-13  7.943E-13
   8.56071E+04  3.38304E-09  7.340E-11  1.67936E-07  5.165E-10  3.97163E-13  7.943E-13
   9.56786E+04  3.65549E-09  7.628E-11  1.89889E-07  5.491E-10  1.19149E-12  1.376E-12
   1.05750E+05  4.00579E-09  7.986E-11  2.17462E-07  5.875E-10  7.94326E-13  1.123E-12
   1.15821E+05  4.18292E-09  8.159E-11  2.44712E-07  6.231E-10  3.97163E-13  7.943E-13
   1.25893E+05  4.43433E-09  8.403E-11  2.76374E-07  6.620E-10  7.94326E-13  1.123E-12
   1.35964E+05  4.65912E-09  8.608E-11  2.67694E-07  6.515E-10  1.19149E-12  1.376E-12
   1.46036E+05  4.91887E-09  8.845E-11  2.48523E-07  6.278E-10  7.94326E-13  1.123E-12
   1.56107E+05  5.04953E-09  8.963E-11  2.33247E-07  6.082E-10  3.97163E-13  7.943E-13
   1.66179E+05  5.29935E-09  9.179E-11  2.16991E-07  5.866E-10  7.94326E-13  1.123E-12
   1.76250E+05  5.38911E-09  9.256E-11  2.01167E-07  5.649E-10  3.97163E-13  7.943E-13
   1.86321E+05  5.65282E-09  9.480E-11  1.85687E-07  5.427E-10  1.19149E-12  1.376E-12
   1.96393E+05  5.88675E-09  9.677E-11  1.71876E-07  5.222E-10  7.94326E-13  1.123E-12
   2.06464E+05  6.03330E-09  9.796E-11  1.60115E-07  5.040E-10  1.58865E-12  1.589E-12
   2.16536E+05  6.06865E-09  9.820E-11  1.50528E-07  4.887E-10  1.19149E-12  1.376E-12
   2.26607E+05  6.32760E-09  1.003E-10  1.41959E-07  4.746E-10  3.97163E-13  7.943E-13
   2.36679E+05  6.48210E-09  1.015E-10  1.34998E-07  4.629E-10  3.97163E-13  7.943E-13
   2.46750E+05  6.59330E-09  1.024E-10  1.28606E-07  4.518E-10  7.94326E-13  1.123E-12
   2.56821E+05  6.65645E-09  1.029E-10  1.23275E-07  4.423E-10  1.19149E-12  1.376E-12
   2.66893E+05  6.81572E-09  1.041E-10  1.18451E-07  4.336E-10  0.00000E+00  0.000E+00
   2.76964E+05  6.99881E-09  1.055E-10  1.13762E-07  4.249E-10  0.00000E+00  0.000E+00
   2.87036E+05  7.08738E-09  1.061E-10  1.10057E-07  4.179E-10  3.97163E-13  7.943E-13
   2.97107E+05  7.19699E-09  1.069E-10  1.06283E-07  4.107E-10  0.00000E+00  0.000E+00
   3.07179E+05  7.23750E-09  1.072E-10  1.03247E-07  4.048E-10  0.00000E+00  0.000E+00
   3.17250E+05  7.30860E-09  1.078E-10  1.00267E-07  3.989E-10  0.00000E+00  0.000E+00
   3.27321E+05  7.41742E-09  1.086E-10  9.75973E-08  3.936E-10  0.00000E+00  0.000E+00
   3.37393E+05  7.64221E-09  1.102E-10  9.63637E-08  3.911E-10  0.00000E+00  0.000E+00
   3.47464E+05  7.67399E-09  1.104E-10  9.86100E-08  3.956E-10  0.00000E+00  0.000E+00
   3.57536E+05  7.67955E-09  1.105E-10  1.02865E-07  4.040E-10  0.00000E+00  0.000E+00
   3.67607E+05  7.78043E-09  1.112E-10  1.09496E-07  4.169E-10  0.00000E+00  0.000E+00
   3.77679E+05  7.82848E-09  1.115E-10  1.17866E-07  4.325E-10  0.00000E+00  0.000E+00
   3.87750E+05  7.85748E-09  1.117E-10  1.26512E-07  4.480E-10  0.00000E+00  0.000E+00
   3.97821E+05  7.99410E-09  1.127E-10  1.35897E-07  4.643E-10  0.00000E+00  0.000E+00
   4.07893E+05  8.01396E-09  1.128E-10  1.46531E-07  4.821E-10  0.00000E+00  0.000E+00
   4.17964E+05  8.01555E-09  1.128E-10  1.55198E-07  4.962E-10  0.00000E+00  0.000E+00
   4.28036E+05  8.11881E-09  1.136E-10  1.63929E-07  5.099E-10  0.00000E+00  0.000E+00
   4.38107E+05  8.04017E-09  1.130E-10  1.70977E-07  5.207E-10  0.00000E+00  0.000E+00
   4.48179E+05  8.18156E-09  1.140E-10  1.76934E-07  5.297E-10  0.00000E+00  0.000E+00
   4.58250E+05  8.27370E-09  1.146E-10  1.83166E-07  5.389E-10  0.00000E+00  0.000E+00
   4.68321E+05  8.18752E-09  1.140E-10  1.87631E-07  5.455E-10  0.00000E+00  0.000E+00
   4.78393E+05  8.27728E-09  1.147E-10  1.92060E-07  5.518E-10  0.00000E+00  0.000E+00
   4.88464E+05  8.29157E-09  1.148E-10  1.95246E-07  5.564E-10  0.00000E+00  0.000E+00
   4.98536E+05  8.25623E-09  1.145E-10  1.98636E-07  5.612E-10  0.00000E+00  0.000E+00
   5.08607E+05  8.32295E-09  1.150E-10  2.08609E-07  5.751E-10  0.00000E+00  0.000E+00
   5.18679E+05  8.36664E-09  1.153E-10  2.03060E-07  5.674E-10  0.00000E+00  0.000E+00
   5.28750E+05  8.31818E-09  1.150E-10  2.04342E-07  5.692E-10  0.00000E+00  0.000E+00
   5.38821E+05  8.27767E-09  1.147E-10  2.06499E-07  5.722E-10  0.00000E+00  0.000E+00
   5.48893E+05  8.26735E-09  1.146E-10  2.07573E-07  5.736E-10  0.00000E+00  0.000E+00
   5.58964E+05  8.32811E-09  1.150E-10  2.08122E-07  5.744E-10  0.00000E+00  0.000E+00
   5.69036E+05  8.32533E-09  1.150E-10  2.09413E-07  5.762E-10  0.00000E+00  0.000E+00
   5.79107E+05  8.21889E-09  1.143E-10  2.10135E-07  5.772E-10  0.00000E+00  0.000E+00
   5.89179E+05  8.20976E-09  1.142E-10  2.10412E-07  5.776E-10  0.00000E+00  0.000E+00
   5.99250E+05  8.31262E-09  1.149E-10  2.11188E-07  5.786E-10  0.00000E+00  0.000E+00
   6.09321E+05  8.21016E-09  1.142E-10  2.11094E-07  5.785E-10  0.00000E+00  0.000E+00
   6.19393E+05  8.14304E-09  1.137E-10  2.11321E-07  5.788E-10  0.00000E+00  0.000E+00
   6.29464E+05  8.16170E-09  1.139E-10  2.11626E-07  5.792E-10  0.00000E+00  0.000E+00
   6.39536E+05  8.16170E-09  1.139E-10  2.11692E-07  5.793E-10  0.00000E+00  0.000E+00
   6.49607E+05  8.17521E-09  1.140E-10  2.11331E-07  5.788E-10  0.00000E+00  0.000E+00
   6.59679E+05  7.95121E-09  1.124E-10  2.11651E-07  5.792E-10  0.00000E+00  0.000E+00
   6.69750E+05  7.92102E-09  1.122E-10  2.11922E-07  5.796E-10  0.00000E+00  0.000E+00
   6.79821E+05  7.95637E-09  1.124E-10  2.11848E-07  5.795E-10  0.00000E+00  0.000E+00
   6.89893E+05  7.89203E-09  1.120E-10  2.11895E-07  5.796E-10  0.00000E+00  0.000E+00
   6.99964E+05  7.88051E-09  1.119E-10  2.11801E-07  5.794E-10  0.00000E+00  0.000E+00
   7.10036E+05  7.82292E-09  1.115E-10  2.11983E-07  5.797E-10  0.00000E+00  0.000E+00
   7.20107E+05  7.71688E-09  1.107E-10  2.11980E-07  5.797E-10  0.00000E+00  0.000E+00
   7.30179E+05  7.63149E-09  1.101E-10  2.12366E-07  5.802E-10  0.00000E+00  0.000E+00
   7.40250E+05  7.50599E-09  1.092E-10  2.11718E-07  5.793E-10  0.00000E+00  0.000E+00
   7.50321E+05  7.39081E-09  1.084E-10  2.12172E-07  5.800E-10  0.00000E+00  0.000E+00
