#>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>>
# [SECTION REPORT IMPACT DETECTOR - DEPOSITED ENERGY SPECTRUM]
# detector number:  1
# Mean energy deposited: 7.34573e+04  +- 9.292e+00
# Units are 1/(eV*particle)
#
# Linear scale
# Energy     min    ,    max    , number of bins
#       0.00000e+00  1.41000e+06      140
#
# deposited E (eV) :     prob     : +-2sigma
  5.03571E+03   3.56137E-07   7.508E-10 
  1.51071E+04   3.24679E-07   7.170E-10 
  2.51786E+04   3.00581E-07   6.900E-10 
  3.52500E+04   2.79462E-07   6.654E-10 
  4.53214E+04   2.63956E-07   6.467E-10 
  5.53929E+04   2.53622E-07   6.339E-10 
  6.54643E+04   2.44926E-07   6.230E-10 
  7.55357E+04   2.38540E-07   6.149E-10 
  8.56071E+04   2.36428E-07   6.121E-10 
  9.56786E+04   2.35466E-07   6.109E-10 
  1.05750E+05   2.26172E-07   5.987E-10 
  1.15821E+05   2.14909E-07   5.837E-10 
  1.25893E+05   2.03299E-07   5.677E-10 
  1.35964E+05   1.91890E-07   5.516E-10 
  1.46036E+05   1.80517E-07   5.350E-10 
  1.56107E+05   1.69029E-07   5.178E-10 
  1.66179E+05   1.58420E-07   5.013E-10 
  1.76250E+05   1.47699E-07   4.840E-10 
  1.86321E+05   1.38682E-07   4.691E-10 
  1.96393E+05   1.31251E-07   4.563E-10 
  2.06464E+05   1.24709E-07   4.448E-10 
  2.16536E+05   1.19894E-07   4.362E-10 
  2.26607E+05   1.14885E-07   4.270E-10 
  2.36679E+05   1.11651E-07   4.209E-10 
  2.46750E+05   1.08460E-07   4.149E-10 
  2.56821E+05   1.05863E-07   4.099E-10 
  2.66893E+05   1.04073E-07   4.064E-10 
  2.76964E+05   1.02229E-07   4.028E-10 
  2.87036E+05   1.00906E-07   4.002E-10 
  2.97107E+05   1.00359E-07   3.991E-10 
  3.07179E+05   1.01169E-07   4.007E-10 
  3.17250E+05   9.84806E-08   3.953E-10 
  3.27321E+05   9.75969E-08   3.936E-10 
  3.37393E+05   9.72851E-08   3.929E-10 
  3.47464E+05   9.67338E-08   3.918E-10 
  3.57536E+05   9.61075E-08   3.906E-10 
  3.67607E+05   9.56663E-08   3.897E-10 
  3.77679E+05   9.52207E-08   3.888E-10 
  3.87750E+05   9.47814E-08   3.879E-10 
  3.97821E+05   9.41924E-08   3.866E-10 
  4.07893E+05   9.36459E-08   3.855E-10 
  4.17964E+05   9.37297E-08   3.857E-10 
  4.28036E+05   9.29664E-08   3.841E-10 
  4.38107E+05   9.27439E-08   3.837E-10 
  4.48179E+05   9.22264E-08   3.826E-10 
  4.58250E+05   9.18805E-08   3.819E-10 
  4.68321E+05   9.16859E-08   3.815E-10 
  4.78393E+05   9.12772E-08   3.806E-10 
  4.88464E+05   9.11227E-08   3.803E-10 
  4.98536E+05   9.07125E-08   3.794E-10 
  5.08607E+05   9.06032E-08   3.792E-10 
  5.18679E+05   9.02243E-08   3.784E-10 
  5.28750E+05   9.01397E-08   3.782E-10 
  5.38821E+05   9.00659E-08   3.781E-10 
  5.48893E+05   8.95273E-08   3.770E-10 
  5.58964E+05   8.92287E-08   3.763E-10 
  5.69036E+05   8.92171E-08   3.763E-10 
  5.79107E+05   8.88303E-08   3.755E-10 
  5.89179E+05   8.83918E-08   3.746E-10 
  5.99250E+05   8.87429E-08   3.753E-10 
  6.09321E+05   8.84125E-08   3.746E-10 
  6.19393E+05   8.84832E-08   3.748E-10 
  6.29464E+05   8.80948E-08   3.739E-10 
  6.39536E+05   8.78414E-08   3.734E-10 
  6.49607E+05   8.76777E-08   3.731E-10 
  6.59679E+05   8.75101E-08   3.727E-10 
  6.69750E+05   8.71638E-08   3.720E-10 
  6.79821E+05   8.69191E-08   3.714E-10 
  6.89893E+05   8.68234E-08   3.712E-10 
  6.99964E+05   8.63159E-08   3.701E-10 
  7.10036E+05   8.59592E-08   3.694E-10 
  7.20107E+05   8.54631E-08   3.683E-10 
  7.30179E+05   8.45918E-08   3.664E-10 
  7.40250E+05   8.34468E-08   3.639E-10 
  7.50321E+05   8.25011E-08   3.619E-10 
  7.60393E+05   8.08715E-08   3.583E-10 
  7.70464E+05   7.84489E-08   3.529E-10 
  7.80536E+05   7.69873E-08   3.496E-10 
  7.90607E+05   7.61739E-08   3.477E-10 
  8.00679E+05   7.65286E-08   3.485E-10 
  8.10750E+05   7.85350E-08   3.531E-10 
  8.20821E+05   8.29876E-08   3.629E-10 
  8.30893E+05   8.88629E-08   3.756E-10 
  8.40964E+05   9.79214E-08   3.942E-10 
  8.51036E+05   1.08566E-07   4.151E-10 
  8.61107E+05   1.18777E-07   4.341E-10 
  8.71179E+05   1.26935E-07   4.488E-10 
  8.81250E+05   1.35022E-07   4.628E-10 
  8.91321E+05   1.42312E-07   4.751E-10 
  9.01393E+05   1.48927E-07   4.860E-10 
  9.11464E+05   1.55800E-07   4.971E-10 
  9.21536E+05   1.63751E-07   5.096E-10 
  9.31607E+05   1.72707E-07   5.233E-10 
  9.41679E+05   1.83351E-07   5.392E-10 
  9.51750E+05   1.93832E-07   5.544E-10 
  9.61821E+05   1.27649E-07   4.500E-10 
  9.71893E+05   8.82473E-08   3.743E-10 
  9.81964E+05   9.30323E-08   3.843E-10 
  9.92036E+05   1.01354E-07   4.011E-10 
  1.00211E+06   1.10371E-07   4.185E-10 
  1.01218E+06   1.16708E-07   4.303E-10 
  1.02225E+06   1.16666E-07   4.303E-10 
  1.03232E+06   1.15634E-07   4.284E-10 
  1.04239E+06   1.18314E-07   4.333E-10 
  1.05246E+06   1.20193E-07   4.367E-10 
  1.06254E+06   1.22574E-07   4.410E-10 
  1.07261E+06   1.25609E-07   4.464E-10 
  1.08268E+06   1.27029E-07   4.489E-10 
  1.09275E+06   1.31487E-07   4.567E-10 
  1.10282E+06   1.37236E-07   4.666E-10 
  1.11289E+06   1.18797E-07   4.342E-10 
  1.12296E+06   4.42873E-08   2.652E-10 
  1.13304E+06   4.08530E-08   2.547E-10 
  1.14311E+06   4.12418E-08   2.559E-10 
  1.15318E+06   4.19519E-08   2.581E-10 
  1.16325E+06   4.15333E-08   2.568E-10 
  1.17332E+06   4.07422E-08   2.544E-10 
  1.18339E+06   3.11555E-08   2.224E-10 
  1.19346E+06   2.57604E-08   2.023E-10 
  1.20354E+06   2.31979E-08   1.919E-10 
  1.21361E+06   1.90527E-08   1.740E-10 
  1.22368E+06   1.64362E-08   1.616E-10 
  1.23375E+06   1.22350E-08   1.394E-10 
  1.24382E+06   8.06757E-09   1.132E-10 
  1.25389E+06   5.27949E-09   9.158E-11 
  1.26396E+06   2.74519E-09   6.604E-11 
  1.27404E+06   1.27847E-09   4.507E-11 
  1.28411E+06   4.48000E-10   2.668E-11 
  1.29418E+06   2.12085E-10   1.836E-11 
  1.30425E+06   1.65220E-10   1.620E-11 
  1.31432E+06   1.50525E-10   1.546E-11 
  1.32439E+06   6.63262E-11   1.026E-11 
  1.33446E+06   2.03387E-09   5.684E-11 
  1.34454E+06   0.00000E+00   0.000E+00 
  1.35461E+06   0.00000E+00   0.000E+00 
  1.36468E+06   0.00000E+00   0.000E+00 
  1.37475E+06   0.00000E+00   0.000E+00 
  1.38482E+06   0.00000E+00   0.000E+00 
  1.39489E+06   0.00000E+00   0.000E+00 
  1.40496E+06   0.00000E+00   0.000E+00 
